cohort,arm,reading,families,stage1_regression,grand_median,conditioned,fold_vs_regression,fold_vs_grand
"all fits, every family with a descriptor",deposited,pooled_forms,7,12.29479257512826,9.006453169869719,15.28001543393099,0.8046322091943895,0.5894269681082833
"all fits, every family with a descriptor",deposited,pooled_flat,7,12.29479257512826,9.006453169869719,14.88120684878206,0.8261959329014043,0.6052233035526178
"all fits, every family with a descriptor",deposited,nearest_family,7,12.29479257512826,9.006453169869719,11.542700896025101,1.0651573393331324,0.7802725939967156
"all fits, every family with a descriptor",deposited,nearest_no_form,7,12.29479257512826,9.006453169869719,11.54270089851192,1.0651573391036495,0.7802725938286096
"all fits, every family with a descriptor",repaired,pooled_forms,7,12.014967389589378,10.181826917749381,16.020496611931517,0.7499747155553869,0.6355500184785974
"all fits, every family with a descriptor",repaired,pooled_flat,7,12.014967389589378,10.181826917749381,16.508546797443895,0.7278028488521908,0.6167609446596406
"all fits, every family with a descriptor",repaired,nearest_family,7,12.014967389589378,10.181826917749381,12.230074643439798,0.9824116156179142,0.8325236938117059
"all fits, every family with a descriptor",repaired,nearest_no_form,7,12.014967389589378,10.181826917749381,12.230074645926619,0.982411615418154,0.8325236936424233
"all fits, every family with a descriptor",admitted,pooled_forms,3,1.5645108757260493,0.9811059620185715,0.5542493584076403,2.822756313549722,1.7701526346143028
"all fits, every family with a descriptor",admitted,pooled_flat,3,1.5645108757260493,0.9811059620185715,0.669364901061538,2.3373064127576897,1.4657266320099052
"all fits, every family with a descriptor",admitted,nearest_family,4,1.5881289611134946,1.217291680854623,1.5787054444050963,1.0059691418318693,0.7710695400264076
"all fits, every family with a descriptor",admitted,nearest_no_form,4,1.5881289611134946,1.217291680854623,1.5787054444050963,1.0059691418318693,0.7710695400264076
physicality == ok only,deposited,pooled_forms,3,1.190800036129489,0.5048547277605387,0.617975411876088,1.9269375661960153,0.8169495388625084
physicality == ok only,deposited,pooled_flat,3,1.190800036129489,0.5048547277605387,0.5479142600758672,2.173332805692271,0.9214119152340255
physicality == ok only,deposited,nearest_family,4,1.2284161506770448,0.7109997701420541,1.134980028493778,1.0823240231876723,0.6264425384520779
physicality == ok only,deposited,nearest_no_form,4,1.2284161506770448,0.7109997701420541,1.134980028493778,1.0823240231876723,0.6264425384520779
physicality == ok only,repaired,pooled_forms,3,1.558050663556454,0.863778272215813,0.5802319129766973,2.6852205621772254,1.488677635437993
physicality == ok only,repaired,pooled_flat,3,1.558050663556454,0.863778272215813,0.8857233113349717,1.7590715335335854,0.975223595406919
physicality == ok only,repaired,nearest_family,4,1.5656126582367513,1.065784942732301,1.5688889936960728,0.997911684336823,0.6793246348305801
physicality == ok only,repaired,nearest_no_form,4,1.5656126582367513,1.065784942732301,1.5688889936960728,0.997911684336823,0.6793246348305801
physicality == ok only,admitted,pooled_forms,3,1.5645108757260493,0.9811059620185715,0.5542493584076403,2.822756313549722,1.7701526346143028
physicality == ok only,admitted,pooled_flat,3,1.5645108757260493,0.9811059620185715,0.669364901061538,2.3373064127576897,1.4657266320099052
physicality == ok only,admitted,nearest_family,4,1.5881289611134946,1.217291680854623,1.5787054444050963,1.0059691418318693,0.7710695400264076
physicality == ok only,admitted,nearest_no_form,4,1.5881289611134946,1.217291680854623,1.5787054444050963,1.0059691418318693,0.7710695400264076
cuprates removed,deposited,pooled_forms,3,2.0657955989691366,0.8838074646054371,1.0420884199699698,1.9823611503414147,0.8481117798342929
cuprates removed,deposited,pooled_flat,3,2.0657955989691366,0.8838074646054371,0.9803780895460527,2.1071417456153756,0.9014965491677492
cuprates removed,deposited,nearest_family,4,1.7954398791935822,0.8155312837379223,1.0129314376761802,1.7725186645530482,0.8051199255981983
cuprates removed,deposited,nearest_no_form,4,1.7954398791935822,0.8155312837379223,1.0129314376761802,1.7725186645530482,0.8051199255981983
cuprates removed,repaired,pooled_forms,3,7.9479020990790765,2.6337399889592397,4.612283315543755,1.7232033583656983,0.571027365141107
cuprates removed,repaired,pooled_flat,3,7.9479020990790765,2.6337399889592397,2.4954971002268924,3.184897349051797,1.055396934229969
cuprates removed,repaired,nearest_family,4,6.035646073425388,2.1052825195893505,3.2950072114670212,1.8317550421196696,0.6389310810194024
cuprates removed,repaired,nearest_no_form,4,6.035646073425388,2.1052825195893505,3.2950072114670212,1.8317550421196696,0.6389310810194024
cuprates removed,admitted,pooled_forms,3,1.5645108757260493,0.9811059620185715,0.5542493584076403,2.822756313549722,1.7701526346143028
cuprates removed,admitted,pooled_flat,3,1.5645108757260493,0.9811059620185715,0.669364901061538,2.3373064127576897,1.4657266320099052
cuprates removed,admitted,nearest_family,4,1.5881289611134946,1.217291680854623,1.5787054444050963,1.0059691418318693,0.7710695400264076
cuprates removed,admitted,nearest_no_form,4,1.5881289611134946,1.217291680854623,1.5787054444050963,1.0059691418318693,0.7710695400264076
