cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,paper_key,Tc_repaired,Hc2_repaired,withdrawn,repair,reproduced,range_repaired,beta_repaired,n_pts_repaired,lever_H,clears_field_clause,passing_repaired,beta_protocol
B,MAGLAB_11_6K,FeSe_Te_doped,thin_film,unspecified,14.0,26.86,47.0,Tier_2_per_substructure_Hirr_ratio_0.7,36,36,0.595677148175726,T,6.0,2.219476930292429,0.127518455150479,6.269466010567023,0.024887156485815,0.0882461938805511,True,ok,MAGLAB_11_6K,14.0,26.86,,,True,0.595677148175726,2.219476930292429,36,0.3932719932777939,True,True,2.219476930292429
B,MAGLAB_Ni122_4_2K,BaFe2_NiAs2,thin_film,unspecified,20.0,24.09,60.0,Tier_2_per_substructure_Hirr_ratio_0.6,24,12,0.933997509339975,T,4.2,2.173233653060218,0.3671701049107111,5.343066567343083,0.1734188265827653,0.6001644239158043,True,ok,MAGLAB_Ni122_4_2K,20.0,24.09,,,True,0.933997509339975,2.173233653060218,24,1.1804396756778917,True,True,2.173233653060218
B,MAGLAB_P122_4_2K,BaFe2_PAs2,thin_film,unspecified,30.0,20.59,35.0,Tier_2_per_substructure_Hirr_ratio_0.6,30,16,0.4371053909664886,T,4.2,3.0080533156722784,0.3248616004739282,6.567441677034202,0.0369232196643171,0.1410027010320707,True,ok,MAGLAB_P122_4_2K,30.0,20.59,,,True,0.4371053909664886,3.0080533156722784,30,0.2495729106544353,True,True,3.0080533156722784
B,MAGLAB_Sm1111_4_2K,SmFeAsO_F_doped,thin_film,unspecified,55.0,51.3,150.0,Tier_2_per_substructure_Hirr_ratio_0.6,44,28,0.8771929824561404,T,4.2,0.6839222564322321,0.1624377612796877,5.907679974059799,0.0615533337446014,0.2712094714927741,True,ok,MAGLAB_Sm1111_4_2K,55.0,51.3,,,True,0.8771929824561404,0.6839222564322321,44,0.9107768156582348,True,True,0.6839222564322321
B,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO,single_crystal,LaFeAsO_2K,26.0,9.2,86.0,Tier_1_direct_match_at_2.0K_term_both_Hc2_and_H_irr,13,13,0.6512817462677691,T,2.0,3.1626650935592844,0.1892680333245923,6.324598106936781,0.0451692379688394,0.088242835242476,True,ok,elsevier_10.1016_j.jallcom.2023.170384,13.3,9.2,,,True,0.6512817462677691,3.1626650935592844,13,0.4582502129742951,True,True,3.1626650935592844
B,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO,single_crystal,LaFeAsO_5K,26.0,8.0,86.0,Tier_1_direct_match_at_5.0K_term_both_Hc2_and_H_irr,7,7,0.3744870041039671,T,5.0,10.692565358594251,1.3416066726189408,6.222245789063345,0.156849789968264,0.2034388773623215,True,ok,elsevier_10.1016_j.jallcom.2023.170384,13.3,8.0,,,True,0.3744870041039671,10.692565358594251,7,0.2037636628094059,True,True,10.692565358594251
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,4.2,0.306508460644906,0.044608650772612,5.887064559451677,0.0221955714110408,0.0227717377227254,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.306508460644906,4,0.9030899869919432,True,True,0.306508460644906
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,6.0,0.3381881762260805,0.0469880332045984,5.858914894613055,0.0233794619484157,0.023986359622168,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.3381881762260805,4,0.9030899869919432,True,True,0.3381881762260805
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,8.0,0.3775417225663746,0.0494584555997802,5.829125433590956,0.0246086502086876,0.0252474567058803,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.3775417225663746,4,0.9030899869919432,True,True,0.3775417225663746
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,10.0,0.4279302736604867,0.0518834002608832,5.797653148949851,0.0258152090791993,0.0264853359525123,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.4279302736604867,4,0.9030899869919432,True,True,0.4279302736604867
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,12.0,0.4951735148451809,0.053930907380449,5.764626466926182,0.026833972522974,0.0275305453505172,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.4951735148451809,4,0.9030899869919432,True,True,0.4951735148451809
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,14.0,0.5905290818595167,0.0547673897200724,5.730662083288469,0.0272501727502513,0.0279575491659855,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.5905290818595167,4,0.9030899869919432,True,True,0.5905290818595167
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,16.0,0.7400032499979288,0.0520709521465022,5.697954146705582,0.0259085278395549,0.0265810770277037,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.7400032499979288,4,0.9030899869919432,True,True,0.7400032499979288
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,4.2,0.2584991129740444,0.040298581558324,5.938873932801721,0.0200510446993078,0.0205715413818731,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.2584991129740444,4,0.9030899869919432,True,True,0.2584991129740444
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,6.0,0.306508460644906,0.044608650772612,5.887064559451677,0.0221955714110408,0.0227717377227254,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.306508460644906,4,0.9030899869919432,True,True,0.306508460644906
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,8.0,0.3775417225663746,0.0494584555997802,5.829125433590956,0.0246086502086876,0.0252474567058803,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.3775417225663746,4,0.9030899869919432,True,True,0.3775417225663746
