cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,paper_key,substructure
B,MAGLAB_Co122_4_2K,Ba_Fe_Co_2As2,thin_film,unspecified,22.0,39.89,50.0,Tier_2_per_substructure_Hirr_ratio_0.6,18,9,0.2005515166708448,T,4.2,1.041648755608123,0.1045102534471966,6.530873278485046,0.0070605642846553,0.0134864587956757,True,H_axis_applicability_bound,MAGLAB_Co122_4_2K,iron_pnictide_122
B,MAGLAB_La1111_4_2K,LaFeAsO_F_doped,thin_film,unspecified,26.0,50.25,86.0,Tier_2_per_substructure_Hirr_ratio_0.6,14,8,0.1691542288557214,T,4.2,14.319678312687174,6.432764518595824,4.491151112498312,0.2950371633461441,0.6334131093178511,True,H_axis_applicability_bound,MAGLAB_La1111_4_2K,iron_pnictide_1111
B,MAGLAB_Nd1111_10K,NdFeAsO_F_doped,thin_film,unspecified,50.0,115.2,200.0,Tier_2_per_substructure_Hirr_ratio_0.6,72,60,0.1388877326388888,T,10.0,13.037687268649494,1.822557884927336,6.580653084631403,0.0647609434052607,0.3086985964976597,True,H_axis_applicability_bound,MAGLAB_Nd1111_10K,iron_pnictide_1111
B,MAGLAB_Nd1111_4_2K,NdFeAsO_F_doped,thin_film,unspecified,50.0,119.15,200.0,Tier_2_per_substructure_Hirr_ratio_0.6,10,10,0.0755350398657154,T,4.2,15.959569941022975,0.877692678962948,6.48420415519303,0.0176112058446617,0.0270216965112726,True,H_axis_applicability_bound,MAGLAB_Nd1111_4_2K,iron_pnictide_1111
B,MAGLAB_Ni122_4_2K,BaFe2_NiAs2,thin_film,unspecified,20.0,24.09,60.0,Tier_2_per_substructure_Hirr_ratio_0.6,24,12,0.933997509339975,T,4.2,2.173233649253015,0.3671701049107111,5.343066567343083,0.1734188265827653,0.6001644239158043,True,ok,MAGLAB_Ni122_4_2K,iron_pnictide_122
B,MAGLAB_P122_4_2K,BaFe2_PAs2,thin_film,unspecified,30.0,20.59,35.0,Tier_2_per_substructure_Hirr_ratio_0.6,30,16,0.4371053909664886,T,4.2,3.008053302362028,0.3248616004739282,6.567441677034202,0.0369232196643171,0.1410027010320707,True,ok,MAGLAB_P122_4_2K,iron_pnictide_122
B,MAGLAB_Sm1111_4_2K,SmFeAsO_F_doped,thin_film,unspecified,55.0,51.3,150.0,Tier_2_per_substructure_Hirr_ratio_0.6,44,28,0.8771929824561404,T,4.2,0.6839222465432688,0.1624377612796877,5.907679974059799,0.0615533337446014,0.2712094714927741,True,ok,MAGLAB_Sm1111_4_2K,iron_pnictide_1111
B,elsevier_10.1016_0921-4534(96)00225-0,YBaCuO,bulk,CeO2 + PtO2 doped sample,92.0,130.0,130.0,Tier_3_literature_default,7,7,0.0384615384615384,T,77.0,29.999999807116104,19.15862876443117,4.525563123928183,0.1826976907426942,0.25225670352831,True,H_axis_applicability_bound,elsevier_10.1016_0921-4534(96)00225-0,cuprate_RBCO
B,elsevier_10.1016_0921-4534(96)00225-0,YBaCuO,bulk,CeO2 doped sample,92.0,130.0,130.0,Tier_3_literature_default,7,7,0.0384615384615384,T,77.0,29.99999999189082,25.65988387714313,4.354312611780031,0.2446939997307356,0.3378570433444236,True,H_axis_applicability_bound,elsevier_10.1016_0921-4534(96)00225-0,cuprate_RBCO
B,elsevier_10.1016_0921-4534(96)00225-0,YBaCuO,bulk,PtO2 doped sample,92.0,130.0,130.0,Tier_3_literature_default,7,7,0.0384615384615384,T,77.0,29.999999995246128,27.044281501398647,4.294295837567184,0.2578956903824398,0.3560850691569786,True,H_axis_applicability_bound,elsevier_10.1016_0921-4534(96)00225-0,cuprate_RBCO
