arm,cohort,letter,best_reading,fold_as_best,fold_fixed_reading,fold_matched,families_scored,families_total,stage1,stage2
deposited,"all fits, every family with a descriptor",1.07,nearest_family,1.0651573393331324,0.8261959329014043,0.8261959329014043,7,7,,
deposited,physicality == ok only,2.24,pooled_flat,2.2419860919607233,2.2419860919607233,2.173332805692271,3,4,,
deposited,cuprates removed,1.83,pooled_flat,1.8313749545595517,1.8313749545595517,2.1071417456153756,3,4,,
deposited,"all fits, every family with a descriptor",,,,,0.8261959329014043,7,7,12.29479257512826,14.88120684878206
repaired,"all fits, every family with a descriptor",,,,,0.7278028488521908,7,7,12.014967389589378,16.508546797443895
admitted,"all fits, every family with a descriptor",,,,,2.3373064127576897,3,4,1.5645108757260493,0.669364901061538
deposited,physicality == ok only,,,,,2.173332805692271,3,4,1.190800036129489,0.5479142600758672
repaired,physicality == ok only,,,,,1.7590715335335854,3,4,1.558050663556454,0.8857233113349717
admitted,physicality == ok only,,,,,2.3373064127576897,3,4,1.5645108757260493,0.669364901061538
deposited,cuprates removed,,,,,2.1071417456153756,3,4,2.0657955989691366,0.9803780895460527
repaired,cuprates removed,,,,,3.184897349051797,3,4,7.9479020990790765,2.4954971002268924
admitted,cuprates removed,,,,,2.3373064127576897,3,4,1.5645108757260493,0.669364901061538
