paper,Tc,n_fits,deposited_half_range,note,n_T,n_H,extraction_half_range,q_median_sigfig,q_min_sigfig,q_max_sigfig,q_own_sigfig,q_own_ladder,sig_min,sig_med,sig_max,n_mantissas,figure_note,figure_half_range,extraction_paired,figure_interior,extraction_interior,trace_scatter_dex,figure_floor,figure_n_H,figure_n_T
0806.2839v1.pdf,55.0,11,0.063,"11 cells duplicated, worst 60x apart, medianed",3.0,11.0,0.088,0.252,0.252,0.0,0.031,0.062,1.0,1.0,4.0,21.0,,0.555,0.031,0.364,0.0,0.022,0.243,9.0,3.0
0903.0004v2.pdf,38.0,15,1.041,,3.0,15.0,1.041,1.474,1.474,0.185,0.79,0.439,1.0,1.0,2.0,14.0,,1.78,0.927,1.542,0.927,0.017,0.362,13.0,3.0
0906.0444v1.pdf,38.0,11,0.85,,8.0,11.0,0.85,0.282,0.282,0.034,0.211,0.227,1.0,1.0,2.0,10.0,,1.062,0.287,0.794,0.228,0.024,0.121,7.0,8.0
0907.0147v2.pdf,14.5,14,0.395,,5.0,14.0,0.395,0.534,0.534,0.04,0.252,0.149,1.0,1.0,2.0,16.0,no trace,,,,,,,,
1002.0208v2.pdf,51.0,17,0.538,,7.0,17.0,0.538,0.357,0.357,0.028,0.185,0.112,1.0,1.0,2.0,13.0,the extraction's fields (1e-06 to 0.0016) and the figure's (0.209 to 15) overlap on 0 points,,,,,,,,
1009.4896v1.pdf,18.0,11,0.29,,5.0,11.0,0.29,0.262,0.262,0.027,0.176,0.163,1.0,1.0,2.0,12.0,,2.398,0.262,0.96,0.188,0.082,0.309,7.0,5.0
1104.0477v2.pdf,14.5,19,0.377,,4.0,19.0,0.377,0.321,0.321,0.026,0.206,0.163,1.0,1.0,2.0,13.0,the extraction's fields (0 to 18) and the figure's (0.206 to 14) overlap on 0 points,,,,,,,,
1108.0407v1.pdf,8.0,11,0.215,,6.0,11.0,0.215,0.425,0.425,0.02,0.137,0.092,1.0,1.0,2.0,18.0,the extraction's fields (0 to 0.005) and the figure's (0.04 to 4.99) overlap on 0 points,,,,,,,,
1111.3923v1.pdf,14.5,9,0.108,,3.0,9.0,0.108,0.389,0.389,0.037,0.106,0.108,1.0,1.0,2.0,14.0,only 2 isotherm labels match the figure's,,,,,,,,
1502.05345v1.pdf,38.0,18,0.341,"two field scales, kept 2 to 34, the one 94% of its own fits use",5.0,17.0,0.049,0.004,0.387,0.0,0.039,0.027,1.0,3.0,5.0,20.0,the extraction's fields (2 to 34) and the figure's (-0.205 to 35) overlap on 2 points,,,,,,,,
1611.08455v1.pdf,14.5,15,0.592,,4.0,15.0,0.592,0.601,0.601,0.046,0.326,0.219,1.0,1.0,2.0,14.0,,1.539,0.076,,,0.185,1.287,5.0,4.0
1903.00866v2.pdf,38.0,21,1.425,"the deposited fits straddle two field scales, 0 to 0.005, 0.5 to 5, which are the same physical fields in two unit systems; its deposited half-range is a spread across unit systems and is excluded",,,,,,,,,,,,,,,,,,,,,
2012.13723v3.pdf,38.0,8,0.209,,6.0,8.0,0.209,0.267,0.267,0.041,0.11,0.112,1.0,1.0,2.0,18.0,,0.337,0.117,,,0.09,0.32,5.0,6.0
2207.06629v1.pdf,38.0,17,0.263,,6.0,17.0,0.263,0.299,0.299,0.041,0.242,0.263,1.0,1.0,2.0,8.0,,0.289,0.263,0.269,0.263,0.016,0.08,13.0,6.0
2305.10034v1.pdf,28.0,13,0.028,,3.0,13.0,0.028,1.099,1.099,0.111,0.146,0.396,1.0,1.0,2.0,22.0,no trace,,,,,,,,
2308.10492v1.pdf,38.0,16,0.939,,5.0,16.0,0.939,0.809,0.809,0.113,0.314,0.475,1.0,1.0,2.0,9.0,,2.525,0.441,1.489,0.441,0.089,0.919,8.0,5.0
2510.10264v1.pdf,51.0,13,1.395,,4.0,13.0,1.395,0.744,0.744,0.053,0.746,0.277,1.0,1.0,2.0,12.0,only 2 isotherm labels match the figure's,,,,,,,,
2511.19058v1.pdf,8.0,19,0.257,,4.0,19.0,0.257,0.052,0.482,0.052,0.127,0.069,1.0,2.0,2.0,34.0,the extraction's fields (0.0001 to 0.01) and the figure's (0.0965 to 4.6) overlap on 0 points,,,,,,,,
elsevier_10.1016_j.jallcom.2022.165358,14.0,1,,no extraction in the window,,,,,,,,,,,,,,,,,,,,,
elsevier_10.1016_j.mtcomm.2022.103433,14.5,1,,no extraction in the window,,,,,,,,,,,,,,,,,,,,,
