axis,statistic,label,n_dep,n_rep,value_dep,value_rep,dev_dep,dev_rep,compounds_dep,compounds_rep,frac_dep,frac_rep,ci_lo_dep,ci_hi_dep,ci_lo_rep,ci_hi_rep,above_0_9_rep
T,leave_one_compound_out,iron_chalcogenide_11,89.0,87,0.5880938940339523,0.5463755652377464,0.3649169043106159,0.33048616586859497,5.0,3.0,0.9979909593169262,1.0,,,,,
T,leave_one_compound_out,iron_pnictide_122,106.0,105,1.314362897725905,0.57966338706348,0.961061991071204,0.4664508573763328,2.0,2.0,0.30305343511450383,0.9847328244274809,,,,,
T,leave_one_compound_out,iron_pnictide_1111,54.0,54,3.1201737077470875,0.5129359721270709,1.455606817712972,0.43833709723621084,3.0,3.0,0.2113127001067236,1.0,,,,,
H,leave_one_compound_out,conventional_AlB2,20.0,17,0.7531793918356584,1.2296772604924975,,,7.0,6.0,,,,,,,
H,leave_one_compound_out,iron_chalcogenide_11,21.0,9,1.0934874826615542,0.7072739687753693,,,3.0,2.0,,,,,,,
H,leave_one_compound_out,iron_pnictide_1111,17.0,9,2.5713216112927606,3.327279727880604,,,4.0,3.0,,,,,,,
H,leave_one_compound_out,iron_pnictide_122,36.0,17,0.9728593350331054,1.9569558936671845,,,5.0,3.0,,,,,,,
H,per_paper_stage2,per_paper_stage2,82.0,19,1.2566204273398942,1.5723738283516897,,,,,,,1.0062406281275498,1.611549322809956,1.2014599002207798,1.9580338614454507,
H,per_paper_pooled,per_paper_pooled,94.0,52,1.1578103275780431,1.361451082581186,,,,,,,0.9001851869187484,1.4967057875217746,1.03904147858639,1.788872066089935,
H,scale_ratio,"published rule, Hc2_T_used",,52,,0.8830409356725146,,,,,,,,,,,11.0
H,scale_ratio,repaired scale,,52,,0.8355017758729999,,,,,,,,,,,8.0
H,scale_ratio,the fit's own points,,52,,0.8355017758729999,,,,,,,,,,,7.0
H,scale_ratio,the protocol's retained points,,52,,0.8355017758729999,,,,,,,,,,,7.0
