identifier,recorded,provenance,verdict,pages,printed,comment,printed_doi
10.1016/j.physc.2013.04.060,39.0,paper-reported (Cohort B extraction),NOT PRINTED,6,,no Tc for the measured strands anywhere,
10.1016/j.jallcom.2023.170146,39.0,paper-reported (Cohort B extraction),UNCHECKABLE,3,,"the PDF filed under this DOI is a different paper, physc.2009.11.051",
10.1016/j.matchemphys.2023.128348,39.0,paper-reported (Cohort B extraction),DISAGREES,8,X01-X04=37.7,"40 K on page 1 is the MgB2 discovery value, cited to reference [5]",
10.1016/j.matpr.2019.05.078,39.0,paper-reported (Cohort B extraction),NOT PRINTED,4,,"39 K is a generic value in the introduction, not a measurement",
10.1016/j.jpcs.2026.113652,110.0,paper-reported (Cohort B extraction),MATCHES ONE OF SEVERAL,15,Co0 Bi-2223=110.0; Co1 Bi-2223=103.0; Co2 Bi-2223=95.0; Co1 Bi-2212=68.0,eight sample-and-phase values from 68 to 110 K,
10.1016/j.jallcom.2013.04.183,110.0,paper-reported (Cohort B extraction),DISAGREES,6,N1=74.38; N2=64.11; N3=66.0; N4=74.18,a Bi-2212 paper; 85 K is Presland's constant inside a fit,
10.1016/j.ceramint.2024.10.058,38.0,paper-reported (Cohort B extraction),MATCHES ONE OF SEVERAL,8,LSCO-CS=38.5; Vac-1=36.7; Vac-2=39.3; Nitrogen-1=29.9,"five pellets, 29.9 to 39.3 K",
10.1016/0921-4534(96)00225-0,92.0,paper-reported (Cohort B extraction),MATCHES,7,CeO2+PtO2 YBaCuO=92.0,,
10.1016/j.jallcom.2022.165358,14.0,paper-reported (v3.2.1 / Cohort A vision pass),MATCHES,8,Fe(1-x)KxSe0.5Te0.5=14.0,all samples about 14 K,
10.1016/j.physc.2016.05.023,9.0,paper-reported (Cohort B extraction),MATCHES ONE OF SEVERAL,3,FeSe=9.0; FeSe0.86S0.14=9.5,the anchor is the undoped crystal while the compound string is doped,
10.1016/j.cjph.2024.09.042,14.0,paper-reported (Cohort B extraction),DISAGREES,11,Hx-FeSe sample 2=44.5; Hx-FeSe=41.0; FeSe=10.0,no sample near 14 K; the paper contains no tellurium,
10.1016/j.physc.2010.05.048,14.0,paper-reported (Cohort B extraction),DISAGREES,3,FeTe0.59Se0.41=12.0,one sample; 26 K in the introduction belongs to LaFeAsO(1-x)Fx,
10.1016/j.jallcom.2023.170384,26.0,paper-reported (Cohort B extraction),DISAGREES,10,La0.87Sm0.13FeAs0.91P0.09O=13.3,"26 K is the literature LaFeAsO(1-x)Fx value, not this crystal",
10.1016/j.physc.2011.02.004,51.0,paper-reported (Cohort B extraction),UNCHECKABLE,1,,page 1 of a 7-page article,
10.1016/j.physc.2009.05.098,55.0,paper-reported (Cohort B extraction),UNCHECKABLE,1,,page 1 of a 6-page article; the deposited page says only 'above 50 K',
10.1016/j.mtphys.2022.100783,22.0,paper-reported (Cohort B extraction),DISAGREES,13,powder=24.1; polycrystal=25.7; single_crystal=24.4,22 K appears only in the title of reference [22],
10.1016/j.phpro.2012.03.421,20.0,paper-reported (Cohort B extraction),MATCHES,4,Ba(Fe1-xRux)2As2=20.0,,
10.1016/j.physc.2009.11.051,22.0,paper-reported (Cohort B extraction),DISAGREES,3,Ba(Fe0.93Co0.07)2As2=24.0,"one crystal, measured unirradiated and irradiated",
10.1016/j.phpro.2015.06.160,20.0,paper-reported (Cohort B extraction),DISAGREES,6,BaFe1.91Ni0.09As2=18.9; Ba0.64K0.36Fe2As2=25.5,two crystals; the anchor matches neither,
