paper,sample,compound,scale,n_temps,rho,abs_rho,beta_lo,beta_hi,t_lo,t_hi,at_ceiling,has_bound,banned
elsevier_10.1016_j.cjph.2024.09.042,FeSe,FeSeTe,47.0,3,0.5,0.5,27.28263020849558,29.999999994447386,4.5,8.0,True,True,False
elsevier_10.1016_j.cjph.2024.09.042,H_x-FeSe 1#,FeSeTe,47.0,3,1.0,1.0,20.994529460046834,30.0,4.5,30.0,True,True,False
elsevier_10.1016_j.jpcs.2026.113652,Co0,Bi1.6Pb0.4Sr2Ca2Cu3O10,100.0,3,-1.0,1.0,29.999997562355304,29.99999997124596,5.0,50.0,True,True,True
elsevier_10.1016_j.mtphys.2022.100783,Polycrystal,"Ba(Fe,Co)2As2",4.5,7,1.0,1.0,0.3065084603671735,0.7400032498568847,4.2,16.0,False,False,False
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,"Ba(Fe,Co)2As2",4.5,9,1.0,1.0,0.2584991142801328,0.8608719111058379,4.2,18.0,False,False,False
elsevier_10.1016_j.phpro.2015.06.160,BaFe1.91Ni0.09As2,BaFe2As2,9.0,4,0.7999999999999999,0.7999999999999999,2.035454786765152,2.2161404136399403,7.0,15.0,False,False,True
elsevier_10.1016_j.physc.2016.05.023,FeSe,FeSe1-xSx,30.0,5,0.3,0.3,14.677107918232323,16.61759515470278,2.0,7.0,False,True,False
elsevier_10.1016_j.physc.2016.05.023,FeSe0.86S0.14,FeSe1-xSx,30.0,5,0.7999999999999999,0.7999999999999999,9.814859145491932,15.218838511494043,2.0,7.0,False,True,False
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=0%",FeTe0.5Se0.5,9.2,3,1.0,1.0,1.3956391988452888,2.1483043416192205,5.0,10.0,False,False,True
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=1%",FeTe0.5Se0.5,9.2,3,1.0,1.0,1.194117794824607,1.5458359149464524,5.0,10.0,False,False,True
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=2%",FeTe0.5Se0.5,9.2,3,0.5,0.5,1.443937725865531,1.605175620502339,5.0,10.0,False,False,True
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=3%",FeTe0.5Se0.5,9.2,3,0.5,0.5,1.6005673710692063,1.85731319641739,5.0,10.0,False,False,True
springer_10.1038_s41598-025-95932-9,Sample A,Bi2Sr2CaCu2O8,100.0,6,-0.3714285714285715,0.3714285714285715,29.999994840934697,29.999999999992404,45.0,70.0,True,True,True
