file,route,verdict,tier,n_points,n_series,round_fraction,signatures,detail
0904.2442v1_BETA_T_LONG.csv,named,FAIL,B,20,4,0.9000,arithmetic grid_quantized,arithmetic: unspecified/20 K/T=20.0 step -1e+08 over 6 pts | grid_quantized: unspecified/20 K/T=20.0 all multiples of 1e+08 (20% of range)
1802.09868v1_BETA_T_LONG.csv,named,FAIL,B,99,9,0.6970,arithmetic non_monotonic shifted_series,"shifted_series: unspecified/T = 15 K, θ_CD = ±/T=15.0 = unspecified/T = 15 K, θ_CD = ±/T=15.0 +1e+06 | shifted_series: unspecified/T = 15 K, θ_CD = ±/T=15.0 = unspecified/T = 25 K, θ_CD = ±/T=25.0 -500000 | shifted_series: unspecified/T = 15 K, θ_CD = ±/T=15.0 = unspecified/T = 25 K, θ_CD = ±/T=25.0 +500000 | shifted_series: unspecified/T = 15 K, θ_CD = ±/T=15.0 = unspecified/T = 25 K, θ_CD = ±/T=25.0 -1.5e+06 | shifted_series: unspecified/T = 15 K, θ_CD = ±/T=15.0 = unspecified/T = 25 K, θ_CD = ±/T=25.0 -500000 | shifted_series: unspecified/T = 25 K, θ_CD = ±/T=25.0 = unspecified/T = 25 K, θ_CD = ±/T=25.0 +1e+06 | arithmetic: unspecified/T = 15 K, θ_CD = ±/T=15.0 step +1e+06 over 11 pts | non_monotonic: unspecified/T = 15 K, θ_CD = ±/T=15.0 10 rises with field | arithmetic: unspecified/T = 25 K, θ_CD = ±/T=25.0 step +1e+06 over 11 pts | non_monotonic: unspecified/T = 25 K, θ_CD = ±/T=25.0 10 rises with field | arithmetic: unspecified/T = 15 K, θ_CD = ±/T=15.0 step +1e+06 over 11 pts | non_monotonic: unspecified/T = 15 K, θ_CD = ±/T=15.0 10 rises with field | arithmetic: unspecified/T = 25 K, θ_CD = ±/T=25.0 step +1e+06 over 11 pts | non_monotonic: unspecified/T = 25 K, θ_CD = ±/T=25.0 10 rises with field"
1612.02839v1_BETA_T_LONG.csv,named,FAIL,B,57,3,0.5789,arithmetic,arithmetic: unspecified/1.5 K/T=1.5 step -0.5 over 19 pts
2110.15577v1_BETA_T_LONG.csv,named,FAIL,B,68,4,0.5735,arithmetic,arithmetic: unspecified/20 K/T=20.0 step -500000 over 17 pts
1204.0339v2_BETA_T_LONG.csv,named,FAIL,A,170,10,0.5647,arithmetic duplicate_series shifted_series,shifted_series: unspecified/10K H||ab/T=10.0 = unspecified/4K H||ab/T=4.0 -10000 | shifted_series: unspecified/10K H||ab/T=10.0 = unspecified/7K H||ab/T=7.0 -5000 | duplicate_series: unspecified/10K H||ab/T=10.0 == unspecified/7K H||c/T=7.0 | duplicate_series: unspecified/10K H||c/T=10.0 == unspecified/15K H||ab/T=15.0 | shifted_series: unspecified/4K H||ab/T=4.0 = unspecified/7K H||ab/T=7.0 +5000 | shifted_series: unspecified/4K H||ab/T=4.0 = unspecified/7K H||c/T=7.0 +10000 | shifted_series: unspecified/7K H||ab/T=7.0 = unspecified/7K H||c/T=7.0 +5000 | arithmetic: unspecified/7K H||c/T=7.0 step -5000 over 17 pts | arithmetic: unspecified/4K H||ab/T=4.0 step -5000 over 17 pts | arithmetic: unspecified/7K H||ab/T=7.0 step -5000 over 17 pts | arithmetic: unspecified/10K H||ab/T=10.0 step -5000 over 17 pts
1108.5583v3_BETA_T_LONG.csv,named,FAIL,B,30,3,0.4667,arithmetic,arithmetic: unspecified/4.2 K/T=4.2 step -50 over 10 pts | arithmetic: unspecified/8 K/T=8.0 step -40 over 10 pts | arithmetic: unspecified/12 K/T=12.0 step -30 over 10 pts
1002.0248v1_BETA_T_LONG.csv,named,FAIL,B,104,8,0.4519,arithmetic,arithmetic: unspecified/2K/T=2.0 step -5000 over 13 pts | arithmetic: unspecified/6K/T=6.0 step -2000 over 13 pts | arithmetic: unspecified/7K/T=7.0 step -1000 over 13 pts | arithmetic: unspecified/8K/T=8.0 step -500 over 13 pts | arithmetic: unspecified/9K/T=9.0 step -200 over 13 pts | arithmetic: unspecified/10K/T=10.0 step -100 over 13 pts | arithmetic: unspecified/11K/T=11.0 step -50 over 13 pts
1003.0946v2_BETA_T_LONG.csv,named,FAIL,B,158,9,0.2785,arithmetic non_monotonic shifted_series,shifted_series: unspecified/AP 20K/T=20.0 = unspecified/AP 30K/T=30.0 +2 | shifted_series: unspecified/AP 20K/T=20.0 = unspecified/HP 10K/T=10.0 -6 | shifted_series: unspecified/AP 20K/T=20.0 = unspecified/HP 20K/T=20.0 -4 | shifted_series: unspecified/AP 20K/T=20.0 = unspecified/HP 30K/T=30.0 -2 | shifted_series: unspecified/AP 30K/T=30.0 = unspecified/HP 10K/T=10.0 -8 | shifted_series: unspecified/AP 30K/T=30.0 = unspecified/HP 20K/T=20.0 -6 | shifted_series: unspecified/AP 30K/T=30.0 = unspecified/HP 30K/T=30.0 -4 | shifted_series: unspecified/HP 10K/T=10.0 = unspecified/HP 20K/T=20.0 +2 | shifted_series: unspecified/HP 10K/T=10.0 = unspecified/HP 30K/T=30.0 +4 | shifted_series: unspecified/HP 20K/T=20.0 = unspecified/HP 30K/T=30.0 +2 | non_monotonic: unspecified/HP 5K/T=5.0 4 rises with field | arithmetic: unspecified/HP 10K/T=10.0 step -1 over 19 pts | arithmetic: unspecified/HP 20K/T=20.0 step -1 over 19 pts | arithmetic: unspecified/HP 30K/T=30.0 step -1 over 19 pts | arithmetic: unspecified/AP 20K/T=20.0 step -1 over 19 pts | arithmetic: unspecified/AP 30K/T=30.0 step -1 over 19 pts
1801.05074v1_BETA_T_LONG.csv,named,FAIL,B,156,12,0.2372,arithmetic shifted_series,shifted_series: unspecified/11 K/T=11.0 = unspecified/13 K/T=13.0 +20000 | shifted_series: unspecified/11 K/T=11.0 = unspecified/15 K/T=15.0 +40000 | shifted_series: unspecified/11 K/T=11.0 = unspecified/16 K/T=16.0 +60000 | shifted_series: unspecified/11 K/T=11.0 = unspecified/17 K/T=17.0 +80000 | shifted_series: unspecified/11 K/T=11.0 = unspecified/18 K/T=18.0 +100000 | shifted_series: unspecified/11 K/T=11.0 = unspecified/19 K/T=19.0 +120000 | shifted_series: unspecified/11 K/T=11.0 = unspecified/2 K/T=2.0 -100000 | shifted_series: unspecified/11 K/T=11.0 = unspecified/3.5 K/T=3.5 -80000 | shifted_series: unspecified/11 K/T=11.0 = unspecified/5 K/T=5.0 -60000 | shifted_series: unspecified/11 K/T=11.0 = unspecified/7 K/T=7.0 -40000 | shifted_series: unspecified/11 K/T=11.0 = unspecified/9 K/T=9.0 -20000 | shifted_series: unspecified/13 K/T=13.0 = unspecified/15 K/T=15.0 +20000 | shifted_series: unspecified/13 K/T=13.0 = unspecified/16 K/T=16.0 +40000 | shifted_series: unspecified/13 K/T=13.0 = unspecified/17 K/T=17.0 +60000 | shifted_series: unspecified/13 K/T=13.0 = unspecified/18 K/T=18.0 +80000 | shifted_series: unspecified/13 K/T=13.0 = unspecified/19 K/T=19.0 +100000 | shifted_series: unspecified/13 K/T=13.0 = unspecified/2 K/T=2.0 -120000 | shifted_series: unspecified/13 K/T=13.0 = unspecified/3.5 K/T=3.5 -100000 | shifted_series: unspecified/13 K/T=13.0 = unspecified/5 K/T=5.0 -80000 | shifted_series: unspecified/13 K/T=13.0 = unspecified/7 K/T=7.0 -60000 | shifted_series: unspecified/13 K/T=13.0 = unspecified/9 K/T=9.0 -40000 | shifted_series: unspecified/15 K/T=15.0 = unspecified/16 K/T=16.0 +20000 | shifted_series: unspecified/15 K/T=15.0 = unspecified/17 K/T=17.0 +40000 | shifted_series: unspecified/15 K/T=15.0 = unspecified/18 K/T=18.0 +60000 | shifted_series: unspecified/15 K/T=15.0 = unspecified/19 K/T=19.0 +80000 | shifted_series: unspecified/15 K/T=15.0 = unspecified/2 K/T=2.0 -140000 | shifted_series: unspecified/15 K/T=15.0 = unspecified/3.5 K/T=3.5 -120000 | shifted_series: unspecified/15 K/T=15.0 = unspecified/5 K/T=5.0 -100000 | shifted_series: unspecified/15 K/T=15.0 = unspecified/7 K/T=7.0 -80000 | shifted_series: unspecified/15 K/T=15.0 = unspecified/9 K/T=9.0 -60000 | shifted_series: unspecified/16 K/T=16.0 = unspecified/17 K/T=17.0 +20000 | shifted_series: unspecified/16 K/T=16.0 = unspecified/18 K/T=18.0 +40000 | shifted_series: unspecified/16 K/T=16.0 = unspecified/19 K/T=19.0 +60000 | shifted_series: unspecified/16 K/T=16.0 = unspecified/2 K/T=2.0 -160000 | shifted_series: unspecified/16 K/T=16.0 = unspecified/3.5 K/T=3.5 -140000 | shifted_series: unspecified/16 K/T=16.0 = unspecified/5 K/T=5.0 -120000 | shifted_series: unspecified/16 K/T=16.0 = unspecified/7 K/T=7.0 -100000 | shifted_series: unspecified/16 K/T=16.0 = unspecified/9 K/T=9.0 -80000 | shifted_series: unspecified/17 K/T=17.0 = unspecified/18 K/T=18.0 +20000 | shifted_series: unspecified/17 K/T=17.0 = unspecified/19 K/T=19.0 +40000 | shifted_series: unspecified/17 K/T=17.0 = unspecified/2 K/T=2.0 -180000 | shifted_series: unspecified/17 K/T=17.0 = unspecified/3.5 K/T=3.5 -160000 | shifted_series: unspecified/17 K/T=17.0 = unspecified/5 K/T=5.0 -140000 | shifted_series: unspecified/17 K/T=17.0 = unspecified/7 K/T=7.0 -120000 | shifted_series: unspecified/17 K/T=17.0 = unspecified/9 K/T=9.0 -100000 | shifted_series: unspecified/18 K/T=18.0 = unspecified/19 K/T=19.0 +20000 | shifted_series: unspecified/18 K/T=18.0 = unspecified/2 K/T=2.0 -200000 | shifted_series: unspecified/18 K/T=18.0 = unspecified/3.5 K/T=3.5 -180000 | shifted_series: unspecified/18 K/T=18.0 = unspecified/5 K/T=5.0 -160000 | shifted_series: unspecified/18 K/T=18.0 = unspecified/7 K/T=7.0 -140000 | shifted_series: unspecified/18 K/T=18.0 = unspecified/9 K/T=9.0 -120000 | shifted_series: unspecified/19 K/T=19.0 = unspecified/2 K/T=2.0 -220000 | shifted_series: unspecified/19 K/T=19.0 = unspecified/3.5 K/T=3.5 -200000 | shifted_series: unspecified/19 K/T=19.0 = unspecified/5 K/T=5.0 -180000 | shifted_series: unspecified/19 K/T=19.0 = unspecified/7 K/T=7.0 -160000 | shifted_series: unspecified/19 K/T=19.0 = unspecified/9 K/T=9.0 -140000 | shifted_series: unspecified/2 K/T=2.0 = unspecified/3.5 K/T=3.5 +20000 | shifted_series: unspecified/2 K/T=2.0 = unspecified/5 K/T=5.0 +40000 | shifted_series: unspecified/2 K/T=2.0 = unspecified/7 K/T=7.0 +60000 | shifted_series: unspecified/2 K/T=2.0 = unspecified/9 K/T=9.0 +80000 | shifted_series: unspecified/3.5 K/T=3.5 = unspecified/5 K/T=5.0 +20000 | shifted_series: unspecified/3.5 K/T=3.5 = unspecified/7 K/T=7.0 +40000 | shifted_series: unspecified/3.5 K/T=3.5 = unspecified/9 K/T=9.0 +60000 | shifted_series: unspecified/5 K/T=5.0 = unspecified/7 K/T=7.0 +20000 | shifted_series: unspecified/5 K/T=5.0 = unspecified/9 K/T=9.0 +40000 | shifted_series: unspecified/7 K/T=7.0 = unspecified/9 K/T=9.0 +20000 | arithmetic: unspecified/2 K/T=2.0 step -20000 over 13 pts | arithmetic: unspecified/3.5 K/T=3.5 step -20000 over 13 pts | arithmetic: unspecified/5 K/T=5.0 step -20000 over 13 pts | arithmetic: unspecified/7 K/T=7.0 step -20000 over 13 pts | arithmetic: unspecified/9 K/T=9.0 step -20000 over 13 pts | arithmetic: unspecified/11 K/T=11.0 step -20000 over 13 pts | arithmetic: unspecified/13 K/T=13.0 step -20000 over 13 pts | arithmetic: unspecified/15 K/T=15.0 step -20000 over 13 pts | arithmetic: unspecified/16 K/T=16.0 step -20000 over 13 pts | arithmetic: unspecified/17 K/T=17.0 step -20000 over 13 pts | arithmetic: unspecified/18 K/T=18.0 step -20000 over 13 pts | arithmetic: unspecified/19 K/T=19.0 step -20000 over 13 pts
0906.0444v1_BETA_T_LONG.csv,named,CHECK,C,88,8,0.9091,,
