compound_formula,substructure,Tc_anchor_K,Hc2_T_anchor,T_K,H_T,withheld_reduced_field,refusal_flag,withheld_log_Jc,withheld_log_Jc_lower_95,withheld_log_Jc_upper_95
Co0.05Fe0.95Se1,iron_chalcogenide_11,10.0,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Co0.05Fe0.95Se1,iron_chalcogenide_11,10.0,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.96084211542598,5.843659858350076,6.085475382656883
Co0.05Fe0.95Se1,iron_chalcogenide_11,10.0,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.771923410007387,5.665413914623919,5.897399953205208
Co0.05Fe0.95Se1,iron_chalcogenide_11,10.0,16.0,7.7,0.1,0.00625,H_below_validated_reduced_field,5.806967537993907,5.710977496196544,5.946515512050161
Co0.05Fe0.95Se1,iron_chalcogenide_11,10.0,16.0,7.7,1.0,0.0625,H_below_validated_reduced_field,5.771649680469697,5.67823227271878,5.91110803773744
Co0.05Fe0.95Se1,iron_chalcogenide_11,10.0,16.0,7.7,5.0,0.3125,family_field_axis_unvalidated,5.591967978918046,5.499244425505327,5.728172910710815
Co0.1Fe0.9Se1,iron_chalcogenide_11,5.0,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Co0.1Fe0.9Se1,iron_chalcogenide_11,5.0,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.960695330350417,5.844079196146921,6.086148671156769
Co0.1Fe0.9Se1,iron_chalcogenide_11,5.0,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.7694682668345525,5.668065312167597,5.898304846472484
Co0.1Fe0.9Se1,iron_chalcogenide_11,5.0,16.0,3.85,0.1,0.00625,H_below_validated_reduced_field,6.057468381163306,5.954333991878817,6.182921721969659
Co0.1Fe0.9Se1,iron_chalcogenide_11,5.0,16.0,3.85,1.0,0.0625,H_below_validated_reduced_field,6.022832691649029,5.920515557493,6.149434594814061
Co0.1Fe0.9Se1,iron_chalcogenide_11,5.0,16.0,3.85,5.0,0.3125,family_field_axis_unvalidated,5.837120338392599,5.7437077093635205,5.966696465146865
Fe0.95Ni0.05Se1,iron_chalcogenide_11,10.0,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe0.95Ni0.05Se1,iron_chalcogenide_11,10.0,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.960695330350417,5.844079196146921,6.085458118849194
Fe0.95Ni0.05Se1,iron_chalcogenide_11,10.0,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.771923410007387,5.668065312167597,5.89737675081374
Fe0.95Ni0.05Se1,iron_chalcogenide_11,10.0,16.0,7.7,0.1,0.00625,H_below_validated_reduced_field,5.804971065674835,5.720888288855996,5.943214117717066
Fe0.95Ni0.05Se1,iron_chalcogenide_11,10.0,16.0,7.7,1.0,0.0625,H_below_validated_reduced_field,5.771483938519237,5.685570431331785,5.907896260192855
Fe0.95Ni0.05Se1,iron_chalcogenide_11,10.0,16.0,7.7,5.0,0.3125,family_field_axis_unvalidated,5.591619253696695,5.501533740698156,5.728132797237954
Fe1S0.04Se0.96,iron_chalcogenide_11,9.58,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1S0.04Se0.96,iron_chalcogenide_11,9.58,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.96084211542598,5.84365985511429,6.086148671156769
Fe1S0.04Se0.96,iron_chalcogenide_11,9.58,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.771923410007387,5.665413894164623,5.9005933551835135
Fe1S0.04Se0.96,iron_chalcogenide_11,9.58,16.0,7.3766,0.1,0.00625,H_below_validated_reduced_field,5.8127634989324015,5.716773457044394,5.9483917954660495
Fe1S0.04Se0.96,iron_chalcogenide_11,9.58,16.0,7.3766,1.0,0.0625,H_below_validated_reduced_field,5.777775071349115,5.683286327380706,5.914347192989687
Fe1S0.04Se0.96,iron_chalcogenide_11,9.58,16.0,7.3766,5.0,0.3125,family_field_axis_unvalidated,5.5988254499186825,5.503030095810392,5.733043511168837
Fe1S0.09Se0.91,iron_chalcogenide_11,10.1,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1S0.09Se0.91,iron_chalcogenide_11,10.1,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.96084211542598,5.84365985511429,6.086148671156769
Fe1S0.09Se0.91,iron_chalcogenide_11,10.1,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.771923410007387,5.665413894164623,5.898304846472484
Fe1S0.09Se0.91,iron_chalcogenide_11,10.1,16.0,7.777,0.1,0.00625,H_below_validated_reduced_field,5.805684081150271,5.719681380830687,5.9421449614593485
Fe1S0.09Se0.91,iron_chalcogenide_11,10.1,16.0,7.777,1.0,0.0625,H_below_validated_reduced_field,5.770219441169303,5.684359853679586,5.909698452266572
Fe1S0.09Se0.91,iron_chalcogenide_11,10.1,16.0,7.777,5.0,0.3125,family_field_axis_unvalidated,5.590740915361273,5.497960951267715,5.72792107414021
Fe1S0.11Se0.89,iron_chalcogenide_11,10.7,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.92973727936992,6.121613313756543
Fe1S0.11Se0.89,iron_chalcogenide_11,10.7,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.96084211542598,5.889314006589612,6.085458118849194
Fe1S0.11Se0.89,iron_chalcogenide_11,10.7,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.771923410007387,5.674148188752294,5.89737675081374
Fe1S0.11Se0.89,iron_chalcogenide_11,10.7,16.0,8.238999999999999,0.1,0.00625,H_below_validated_reduced_field,5.798652206013586,5.71459815913942,5.9377533959610505
Fe1S0.11Se0.89,iron_chalcogenide_11,10.7,16.0,8.238999999999999,1.0,0.0625,H_below_validated_reduced_field,5.763334348489376,5.680539262424063,5.904285026388185
Fe1S0.11Se0.89,iron_chalcogenide_11,10.7,16.0,8.238999999999999,5.0,0.3125,family_field_axis_unvalidated,5.583382590846566,5.4973066947378735,5.722415762428192
Fe1S0.12Te0.88,iron_chalcogenide_11,6.8,47.0,4.2,0.1,0.002127659574468085,H_below_validated_reduced_field,5.996159972950191,5.93108574852633,6.121613313756543
Fe1S0.12Te0.88,iron_chalcogenide_11,6.8,47.0,4.2,1.0,0.02127659574468085,H_below_validated_reduced_field,5.98441565369311,5.918077522246061,6.109462561861685
Fe1S0.12Te0.88,iron_chalcogenide_11,6.8,47.0,4.2,5.0,0.10638297872340426,H_below_validated_reduced_field,5.929148868030789,5.857003800182613,6.052414688608272
Fe1S0.12Te0.88,iron_chalcogenide_11,6.8,47.0,5.236,0.1,0.002127659574468085,H_below_validated_reduced_field,5.8895856008941845,5.805083919848228,6.014956671652142
Fe1S0.12Te0.88,iron_chalcogenide_11,6.8,47.0,5.236,1.0,0.02127659574468085,H_below_validated_reduced_field,5.878236591163309,5.793285049081124,6.00316476192277
Fe1S0.12Te0.88,iron_chalcogenide_11,6.8,47.0,5.236,5.0,0.10638297872340426,H_below_validated_reduced_field,5.825000234232363,5.7390172786625,5.948140568562722
Fe1S0.1Se0.9,iron_chalcogenide_11,10.27,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1S0.1Se0.9,iron_chalcogenide_11,10.27,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.96084211542598,5.843659858350076,6.086148671156769
Fe1S0.1Se0.9,iron_chalcogenide_11,10.27,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.771923410007387,5.665413914623919,5.898304846472484
Fe1S0.1Se0.9,iron_chalcogenide_11,10.27,16.0,7.9079,0.1,0.00625,H_below_validated_reduced_field,5.803579512673048,5.70892155517542,5.940389257816719
Fe1S0.1Se0.9,iron_chalcogenide_11,10.27,16.0,7.9079,1.0,0.0625,H_below_validated_reduced_field,5.768114870073274,5.675852804736461,5.907119723322759
Fe1S0.1Se0.9,iron_chalcogenide_11,10.27,16.0,7.9079,5.0,0.3125,family_field_axis_unvalidated,5.588231228375836,5.495856380171686,5.723452998657056
Fe1S0.1Te0.9,iron_chalcogenide_11,10.0,47.0,4.2,0.1,0.002127659574468085,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1S0.1Te0.9,iron_chalcogenide_11,10.0,47.0,4.2,1.0,0.02127659574468085,H_below_validated_reduced_field,5.984517703737607,5.866150883848946,6.109868994499462
Fe1S0.1Te0.9,iron_chalcogenide_11,10.0,47.0,4.2,5.0,0.10638297872340426,H_below_validated_reduced_field,5.929148868030789,5.814524117503292,6.05472932559477
Fe1S0.1Te0.9,iron_chalcogenide_11,10.0,47.0,7.7,0.1,0.002127659574468085,H_below_validated_reduced_field,5.806967537993907,5.713621435637952,5.952076046257077
Fe1S0.1Te0.9,iron_chalcogenide_11,10.0,47.0,7.7,1.0,0.02127659574468085,H_below_validated_reduced_field,5.795223218736826,5.702285295068371,5.940640435920559
Fe1S0.1Te0.9,iron_chalcogenide_11,10.0,47.0,7.7,5.0,0.10638297872340426,H_below_validated_reduced_field,5.742369535658458,5.651728586585333,5.885192058095304
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,47.0,2.5795000000000003,0.1,0.002127659574468085,H_below_validated_reduced_field,9.496827252954535,8.87122619544403,10.28930342638615
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,47.0,2.5795000000000003,1.0,0.02127659574468085,H_below_validated_reduced_field,9.485691710204012,8.859474915149217,10.278167883602672
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,47.0,2.5795000000000003,5.0,0.10638297872340426,H_below_validated_reduced_field,9.433259390877138,8.805976384104335,10.225316666135132
Fe1Se0.075Te0.925,iron_chalcogenide_11,11.5,47.0,4.2,0.1,0.002127659574468085,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1Se0.075Te0.925,iron_chalcogenide_11,11.5,47.0,4.2,1.0,0.02127659574468085,H_below_validated_reduced_field,5.98441565369311,5.866011440595365,6.109820183758652
Fe1Se0.075Te0.925,iron_chalcogenide_11,11.5,47.0,4.2,5.0,0.10638297872340426,H_below_validated_reduced_field,5.929148868030789,5.813729987105639,6.054451348051834
Fe1Se0.075Te0.925,iron_chalcogenide_11,11.5,47.0,8.855,0.1,0.002127659574468085,H_below_validated_reduced_field,5.790753081316644,5.694763036920546,5.928729335566075
Fe1Se0.075Te0.925,iron_chalcogenide_11,11.5,47.0,8.855,1.0,0.02127659574468085,H_below_validated_reduced_field,5.779008762059562,5.683627495246023,5.916985016308994
Fe1Se0.075Te0.925,iron_chalcogenide_11,11.5,47.0,8.855,5.0,0.10638297872340426,H_below_validated_reduced_field,5.726253278542613,5.631346041674409,5.8618453474043015
Fe1Se0.07Te0.93,iron_chalcogenide_11,8.2,47.0,4.2,0.1,0.002127659574468085,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1Se0.07Te0.93,iron_chalcogenide_11,8.2,47.0,4.2,1.0,0.02127659574468085,H_below_validated_reduced_field,5.98441565369311,5.8660114395193625,6.109590552990185
Fe1Se0.07Te0.93,iron_chalcogenide_11,8.2,47.0,4.2,5.0,0.10638297872340426,H_below_validated_reduced_field,5.9289980072454815,5.813729980977796,6.053143599065836
Fe1Se0.07Te0.93,iron_chalcogenide_11,8.2,47.0,6.313999999999999,0.1,0.002127659574468085,H_below_validated_reduced_field,5.838478362313592,5.742077633722924,5.978207231584909
Fe1Se0.07Te0.93,iron_chalcogenide_11,8.2,47.0,6.313999999999999,1.0,0.02127659574468085,H_below_validated_reduced_field,5.827181591183074,5.730942088860042,5.96706444846673
