n_kept,beta,n_used,lever_dex,field_ratio,in_temperature_window,enough_points,has_lever,clears_field_clause,admitted,beta_nofloor,beta_old_rule,n_old_rule,paper,T,was_passing
10,1.1456353363032992,10,0.14052184944019513,0.2672010688042752,True,True,False,False,False,1.1456353363032992,1.1456353363032992,10,MAGLAB_11_4_2K,4.2,False
36,2.2194769302924295,36,0.39327199327779394,0.595677148175726,True,True,True,True,True,2.2194769302924295,2.2194769302924295,36,MAGLAB_11_6K,6.0,True
18,1.0416487494481885,18,0.1000200348460091,0.2005515166708448,True,True,False,False,False,1.0416487494481885,1.0416487494481885,18,MAGLAB_Co122_4_2K,4.2,False
14,14.319678204909527,14,0.08136913219580036,0.1691542288557214,True,True,False,False,False,14.319678204909527,14.319678204909527,14,MAGLAB_La1111_4_2K,4.2,False
72,13.037687223121189,72,0.06494024397510352,0.13888773263888887,True,True,False,False,False,13.037687223121189,13.037687223121189,72,MAGLAB_Nd1111_10K,10.0,False
10,15.959569980163117,10,0.03410954519568851,0.07553503986571548,True,True,False,False,False,15.959569980163117,15.959569980163117,10,MAGLAB_Nd1111_4_2K,4.2,False
24,2.173233653060218,24,1.1804396756778917,0.933997509339975,True,True,True,True,True,2.173233653060218,2.173233653060218,24,MAGLAB_Ni122_4_2K,4.2,True
30,3.0080533156722784,30,0.24957291065443538,0.4371053909664886,True,True,False,True,True,3.0080533156722784,3.0080533156722784,30,MAGLAB_P122_4_2K,4.2,True
44,0.6839222564322321,44,0.9107768156582348,0.8771929824561404,True,True,True,True,True,0.6839222564322321,0.6839222564322321,44,MAGLAB_Sm1111_4_2K,4.2,True
10,4.8125355634072315,10,0.04139268515822503,0.09,True,True,False,False,False,4.8125355634072315,4.8125355634072315,10,elsevier_10.1016_j.ceramint.2024.10.058,5.0,False
10,4.991701419439982,10,0.04139268515822503,0.09,True,True,False,False,False,4.991701419439982,4.991701419439982,10,elsevier_10.1016_j.ceramint.2024.10.058,5.0,False
10,5.835978696783145,10,0.04139268515822503,0.09,True,True,False,False,False,5.835978696783145,5.835978696783145,10,elsevier_10.1016_j.ceramint.2024.10.058,5.0,False
9,5.496803439562179,9,0.0365938022764563,0.08,True,True,False,False,False,5.496803439562179,5.496803439562179,9,elsevier_10.1016_j.ceramint.2024.10.058,5.0,False
9,8.020191240801742,9,0.0365938022764563,0.08,True,True,False,False,False,8.020191240801742,8.020191240801742,9,elsevier_10.1016_j.ceramint.2024.10.058,5.0,False
12,28.000797601724692,12,0.04699656267622359,0.10212765957446808,True,True,False,False,False,28.000797601724692,28.000797601724692,12,elsevier_10.1016_j.cjph.2024.09.042,4.5,False
6,27.28263055039285,6,0.0442036624920535,0.09574468085106383,True,True,False,False,False,27.28263055039285,27.28263055039285,6,elsevier_10.1016_j.cjph.2024.09.042,6.0,False
6,20.994529581558087,6,0.0442036624920535,0.09574468085106383,True,True,False,False,False,20.994529581558087,20.994529581558087,6,elsevier_10.1016_j.cjph.2024.09.042,4.5,False
6,27.847166546001993,6,0.0442036624920535,0.09574468085106383,True,True,False,False,False,27.847166546001993,27.847166546001993,6,elsevier_10.1016_j.cjph.2024.09.042,16.0,False
58,1.791360101596538,58,1.2430380486862957,0.9375000000000002,True,True,True,True,True,1.791360101596538,1.456456063464301,60,elsevier_10.1016_j.jallcom.2023.170146,10.0,True
