mp_formula,family,n_total,Tc_K,Hc2_T_lit,n_form3,n_T_form3,form3_status,form3_log_Jc_0,form3_beta_T,form3_beta_H,form3_train_MAE,form3_holdout_MAE,form3_train_R2,form3_holdout_R2,form3_n_train,form3_n_holdout
Ba(FeAs)2,iron_based,674,30.0,60.0,657,17,ok,5.958469959144038,0.8889121131106203,12.846270652479394,0.5564920635489199,0.5599180436488105,0.681802172261993,0.768334505678085,526.0,131.0
BaCa2Cu3O5,cuprate_like,195,110.0,100.0,195,13,ok,7.42696189224983,1.543394306667717,61.513519173852856,0.06938606118858823,0.07622455533757518,0.982383943341267,0.9801506884185555,156.0,39.0
CeIn5Co,heavy_fermion,84,2.3,11.5,44,4,ok,4.582349747053127,0.2697867999354779,0.23318753848190363,0.014585172701849228,0.015564751294083499,0.9531422089342537,0.8874175870171717,35.0,9.0
Fe2TeSe,iron_based,475,14.0,50.0,412,16,ok,4.6605008049425605,0.1720813354733104,3.2687469927611206,0.9116568302442023,0.9176987538569951,0.025608972157300514,0.034505634502153604,330.0,82.0
Fe9Se8,iron_based,88,4.5,8.0,55,5,ok,5.084019605824366,0.13056912431500517,3408.390952160841,0.04637099304990746,0.03600329671981422,0.9618838679614213,0.9723784742512539,44.0,11.0
FeSe,iron_based,398,8.5,17.5,294,9,ok,4.189200442593749,-0.023813622204781337,-0.29849907638770046,1.1531796127484097,1.2260589027358788,0.0008342511072426673,0.0015606960452652086,235.0,59.0
Ga41Mo8,conventional,63,6.0,8.0,48,6,ok,5.487499245880281,0.3465570982268334,0.4497760253667049,0.026297038638429922,0.04343297199173568,0.9478612245091126,0.8199363427788388,38.0,10.0
HfRe2,conventional,128,5.6,10.0,128,4,ok,5.099566156098261,0.2847281967314261,2871687.6220758855,0.0739263749820856,0.08059533119291291,0.9458746957976631,0.901111964821388,102.0,26.0
K(FeAs)2,iron_based,231,32.0,10.0,231,7,ok,6.160827236078121,0.7802681646522455,2.597992810600901,0.4589542403528526,0.5703525922678326,0.30327995619526127,0.2650317778076561,185.0,46.0
KBa2Bi2O7,cuprate_like,55,31.0,25.0,55,5,ok,5.124077592358025,0.6179255157923906,2.131028407520396,0.039167979573452305,0.039940623377707804,0.935431574068485,0.8294150732127504,44.0,11.0
La2FeAs2O,iron_based,39,12.0,10.0,39,3,ok,6.093862669482468,1.7441588178360443,1.570843135870347,0.023143041520657184,0.021824336940656996,0.9927817261550044,0.9932903927247351,31.0,8.0
Li2BPd3,conventional,84,8.0,4.0,76,4,ok,4.733157788897205,0.6528796239555767,2.688168989533964,0.17631038552757825,0.225364456106039,0.928703420759092,0.9214346557525968,61.0,15.0
LiFeAs,iron_based,66,18.0,17.0,66,6,ok,4.21814973135505,1.3648826643894596,8.635910606718431,0.061800752663354934,0.06876206522193629,0.9744707951698655,0.9791662547488043,53.0,13.0
MgB2,conventional,2055,39.0,16.0,2055,26,ok,5.680486017744119,1.3331839701729495,5.199833500637353,0.5008937413769895,0.5347135629787376,0.42905951703524003,0.4182480667022501,1644.0,411.0
Nb3Sn,conventional,113,18.0,24.0,93,3,ok,5.353730666996634,4.706634391034085,2.1169837315353344,1.5516150971096476,1.8681673617849264,0.1981377913252209,0.09838860638862312,74.0,19.0
Nd4Fe4As4O3F,iron_based,68,37.0,50.0,68,2,skipped_insufficient_data,,,,,,,,,
Pr2FeAs2O,iron_based,171,50.0,70.0,171,8,ok,5.425019922021072,1.4268712126361973,32.15926200336761,0.38877917375065896,0.4203884728892221,0.4010553137125189,0.46769535563249776,137.0,34.0
ScSiIr,conventional,78,7.0,12.0,60,5,ok,4.88927906753828,0.9941536343339319,0.9591069209133677,0.08696123287687761,0.07616232629859358,0.9269244538604691,0.941823412188559,48.0,12.0
Sm2FeAs2O,iron_based,73,55.0,70.0,73,4,ok,4.513859151198577,-3.5025386969357175,42.21343715964939,0.885311856979441,1.0719331528935734,0.5394708964394554,0.3801428881663955,58.0,15.0
Sr(FeAs)2,iron_based,44,38.0,50.0,44,2,skipped_insufficient_data,,,,,,,,,
Sr2Ca2Cu3(BiO5)2,cuprate_like,89,110.0,60.0,89,6,ok,9.271097280801142,4.984473853919011,11.711016942028028,1.0050946470253663,0.8792435065688505,0.23056585903083482,0.2529055489103509,71.0,18.0
Sr2VFeAsO3,iron_based,76,37.0,50.0,76,1,skipped_insufficient_data,,,,,,,,,
SrLaCuO4,cuprate_like,80,40.0,50.0,80,4,ok,8.015639812988942,1.1991536725165544,65.67763927950564,0.20024580301541778,0.2214136601218758,0.9085525221735633,0.90102689274145,64.0,16.0
TiV,conventional,150,5.0,8.0,150,2,skipped_insufficient_data,,,,,,,,,
