cohort,construction,scope,n_compounds,n_ill_conditioned,form1,form2,form3,form3_beats_form2,p_vs_form2,form3_beats_form1,p_vs_form1
as published,point,all scoreable,22,4,0.4999786562216421,0.35718887399015037,0.3535090950425811,15,0.13380050659179688,19,0.0008554458618164062
as published,point,well conditioned,18,4,0.5688367332340624,0.5408426251155519,0.508948765496741,13,0.09625244140625,17,0.00014495849609375
as published,curve,all scoreable,21,5,0.544226612604737,0.406003797286151,0.4043896841624202,12,0.6636238098144531,15,0.0783538818359375
as published,curve,well conditioned,16,5,0.6110892738795467,0.5777075191958891,0.5524575018814433,9,0.803619384765625,13,0.021270751953125
as published,paper,all scoreable,10,2,1.271604488941744,1.362107343393981,1.387642562250043,6,0.75390625,6,0.75390625
as published,paper,well conditioned,8,2,1.271604488941744,1.362107343393981,1.387642562250043,5,0.7265625,5,0.7265625
withdrawals removed,point,all scoreable,19,4,0.4716625135147047,0.3224915935783488,0.32250851626238597,13,0.1670684814453125,16,0.004425048828125
withdrawals removed,point,well conditioned,15,4,0.5080658993608949,0.513104868380962,0.4840961653646789,11,0.11846923828125,14,0.0009765625
withdrawals removed,curve,all scoreable,18,5,0.5043764414261533,0.388003171682087,0.36684945721947293,12,0.237884521484375,14,0.0308837890625
withdrawals removed,curve,well conditioned,13,5,0.5374073475401744,0.5442035050475267,0.49317992201337835,9,0.266845703125,11,0.0224609375
withdrawals removed,paper,all scoreable,8,1,0.902932135635387,0.9003901983563667,0.9485763970155363,4,1.0,6,0.2890625
withdrawals removed,paper,well conditioned,7,1,0.9360645690079465,0.9711566543660896,1.1020189582001931,4,1.0,5,0.453125
