paper_key,sample,fixed_T,Hc2_T_used,Hc2_source,anchor_T,matched,source_figure_class,figure_supports,claims,anchor_row_at_fit_temperature,over_claimed,note
MAGLAB_11_6K,unspecified,6.0,26.86,Tier_2_per_substructure_Hirr_ratio_0.7,,False,,,,False,False,
MAGLAB_Ni122_4_2K,unspecified,4.2,24.09,Tier_2_per_substructure_Hirr_ratio_0.6,,False,,,,False,False,
MAGLAB_P122_4_2K,unspecified,4.2,20.59,Tier_2_per_substructure_Hirr_ratio_0.6,,False,,,,False,False,
MAGLAB_Sm1111_4_2K,unspecified,4.2,51.3,Tier_2_per_substructure_Hirr_ratio_0.6,,False,,,,False,False,
elsevier_10.1016_j.jallcom.2023.170146,MgB2_10K,10.0,5.0,Tier_1_direct_match_at_10.0K_term_H_irr_Birr,10.0,True,Jc_vs_H,H_irr,H_irr,True,False,Fig. 6. J_c vs H curves of MgB_2 prepared from ultra-sonicated boron at 20 K h) comparison of best result (P45
elsevier_10.1016_j.jallcom.2023.170146,MgB2_15K,15.0,4.0,Tier_1_direct_match_at_15.0K_term_H_irr_Birr,15.0,True,Jc_vs_H,H_irr,H_irr,True,False,Fig. 6. J_c vs H curves of MgB_2 prepared from ultra-sonicated boron at 20 K h) comparison of best result (P45
elsevier_10.1016_j.jallcom.2023.170146,MgB2_20K,20.0,3.0,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,20.0,True,Jc_vs_H,H_irr,H_irr,True,False,Fig. 6. J_c vs H curves of MgB_2 prepared from ultra-sonicated boron at 20 K h) comparison of best result (P45
elsevier_10.1016_j.jallcom.2023.170146,MgB2_25K,25.0,2.5,Tier_1_linear_interp_20.0K_to_30.0K,,False,,,,False,False,
elsevier_10.1016_j.jallcom.2023.170146,MgB2_30K,30.0,2.0,Tier_1_direct_match_at_30.0K_term_H_irr_Birr,30.0,True,Jc_vs_H,H_irr,H_irr,True,False,Fig. 6. J_c vs H curves of MgB_2 prepared from ultra-sonicated boron at 20 K h) comparison of best result (P45
elsevier_10.1016_j.jallcom.2023.170146,MgB2_35K,35.0,1.5,Tier_1_direct_match_at_35.0K_term_H_irr_Birr,35.0,True,Jc_vs_H,H_irr,H_irr,True,False,Fig. 6. J_c vs H curves of MgB_2 prepared from ultra-sonicated boron at 20 K h) comparison of best result (P45
elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO_2K,2.0,9.2,Tier_1_direct_match_at_2.0K_term_both_Hc2_and_H_irr,2.0,True,phase_diagram,Hc2,Hc2,True,False,"Temperature dependence of the upper critical field for H||ab and H||c, determined from magnetometry and resist"
elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO_5K,5.0,8.0,Tier_1_direct_match_at_5.0K_term_both_Hc2_and_H_irr,5.0,True,phase_diagram,Hc2,Hc2,True,False,"Temperature dependence of the upper critical field for H||ab and H||c, determined from magnetometry and resist"
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,3.0,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,20.0,True,Jc_vs_H,H_irr,H_irr,True,False,"Comparison of critical current density (Jc) versus magnetic field (H) curves for MgB2 bulks X01, X02, X03, and"
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,3.0,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,20.0,True,Jc_vs_H,H_irr,H_irr,True,False,"Comparison of critical current density (Jc) versus magnetic field (H) curves for MgB2 bulks X01, X02, X03, and"
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,3.0,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,20.0,True,Jc_vs_H,H_irr,H_irr,True,False,"Comparison of critical current density (Jc) versus magnetic field (H) curves for MgB2 bulks X01, X02, X03, and"
elsevier_10.1016_j.matchemphys.2023.128348,X04,20.0,3.0,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,20.0,True,Jc_vs_H,H_irr,H_irr,True,False,"Comparison of critical current density (Jc) versus magnetic field (H) curves for MgB2 bulks X01, X02, X03, and"
elsevier_10.1016_j.matpr.2019.05.078,mono-5K,5.0,2.5,Tier_1_direct_match_at_5.0K_term_Hc2,5.0,True,Jc_vs_H,H_irr,Hc2,True,True,Fig. 2. (a) J_c(H) values calculated from magnetization loop (b) J_af values calculated from the ratio between
elsevier_10.1016_j.matpr.2019.05.078,multi-5K,5.0,2.5,Tier_1_direct_match_at_5.0K_term_Hc2,5.0,True,Jc_vs_H,H_irr,Hc2,True,True,Fig. 2. (a) J_c(H) values calculated from magnetization loop (b) J_af values calculated from the ratio between
elsevier_10.1016_j.mtphys.2022.100783,Polycrystal,4.2,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Polycrystal,6.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Polycrystal,8.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Polycrystal,10.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Polycrystal,12.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Polycrystal,14.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Polycrystal,16.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Polycrystal,21.0,7.0,Tier_1_direct_match_at_21.0K_term_H_irr_Birr,21.0,True,Jc_vs_H|unnamed,H_irr|none,H_irr,True,True,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,4.2,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,6.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,8.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,10.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,12.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,14.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,16.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,17.0,4.5,Tier_1_extrapolated_to_low_T_anchor_18.0K,18.0,True,Jc_vs_H,H_irr,H_irr,False,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,18.0,4.5,Tier_1_direct_match_at_18.0K_term_H_irr_Birr,18.0,True,Jc_vs_H,H_irr,H_irr,True,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,19.0,5.0,Tier_1_direct_match_at_19.0K_term_H_irr_Birr,19.0,True,Jc_vs_H|text_other,H_irr|none,H_irr,True,True,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,20.0,6.0,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,20.0,True,Jc_vs_H,H_irr,H_irr,True,False,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.mtphys.2022.100783,Single crystal,21.0,7.0,Tier_1_direct_match_at_21.0K_term_H_irr_Birr,21.0,True,Jc_vs_H|unnamed,H_irr|none,H_irr,True,True,Fig. 6. Magnetic field dependence of the in-plane critical current density Jc in (a) single crystal (H // c) a
elsevier_10.1016_j.phpro.2015.06.160,Ba0.64K0.36Fe2As2,18.0,9.0,Tier_1_direct_match_at_17.7K_term_Hc2,17.7,True,vs_temperature,Hc2,Hc2,False,False,Fig. 1: Temperature dependence of ac-susceptibility for for BaFe1.91Ni0.09As2 in field up to 9 T applied along
elsevier_10.1016_j.phpro.2015.06.160,Ba0.64K0.36Fe2As2,16.0,9.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,17.7,True,vs_temperature,Hc2,Hc2,False,False,Fig. 1: Temperature dependence of ac-susceptibility for for BaFe1.91Ni0.09As2 in field up to 9 T applied along
elsevier_10.1016_j.phpro.2015.06.160,BaFe1.91Ni0.09As2,15.0,9.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,17.7,True,vs_temperature,Hc2,Hc2,False,False,Fig. 1: Temperature dependence of ac-susceptibility for for BaFe1.91Ni0.09As2 in field up to 9 T applied along
elsevier_10.1016_j.phpro.2015.06.160,BaFe1.91Ni0.09As2,13.0,9.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,17.7,True,vs_temperature,Hc2,Hc2,False,False,Fig. 1: Temperature dependence of ac-susceptibility for for BaFe1.91Ni0.09As2 in field up to 9 T applied along
elsevier_10.1016_j.phpro.2015.06.160,BaFe1.91Ni0.09As2,10.0,9.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,17.7,True,vs_temperature,Hc2,Hc2,False,False,Fig. 1: Temperature dependence of ac-susceptibility for for BaFe1.91Ni0.09As2 in field up to 9 T applied along
elsevier_10.1016_j.phpro.2015.06.160,BaFe1.91Ni0.09As2,7.0,9.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,17.7,True,vs_temperature,Hc2,Hc2,False,False,Fig. 1: Temperature dependence of ac-susceptibility for for BaFe1.91Ni0.09As2 in field up to 9 T applied along
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2_10K,10.0,86.0,Tier_3_literature_default,,False,,,,False,False,
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2_15K,15.0,86.0,Tier_3_literature_default,,False,,,,False,False,
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2_20K,20.0,86.0,Tier_3_literature_default,,False,,,,False,False,
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2_25K,25.0,86.0,Tier_3_literature_default,,False,,,,False,False,
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2_2K,2.0,86.0,Tier_3_literature_default,,False,,,,False,False,
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2_30K,30.0,86.0,Tier_3_literature_default,,False,,,,False,False,
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2_35K,35.0,86.0,Tier_3_literature_default,,False,,,,False,False,
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2_5K,5.0,86.0,Tier_3_literature_default,,False,,,,False,False,
elsevier_10.1016_j.physc.2009.11.051,irradiated,2.0,2.5,Tier_1_direct_match_at_2.0K_term_Hc2,2.0,True,relaxation_rate,none,Hc2,True,True,Field dependence of interpolation index S at 5 K and 15 K
elsevier_10.1016_j.physc.2009.11.051,irradiated,10.0,4.5,Tier_1_direct_match_at_10.0K_term_Hc2,10.0,True,relaxation_rate,none,Hc2,True,True,Field dependence of interpolation index S at 5 K and 15 K
elsevier_10.1016_j.physc.2009.11.051,irradiated,15.0,5.0,Tier_1_direct_match_at_15.0K_term_Hc2,15.0,True,relaxation_rate,none,Hc2,True,True,Field dependence of interpolation index S at 5 K and 15 K
elsevier_10.1016_j.physc.2009.11.051,irradiated,20.0,5.5,Tier_1_direct_match_at_20.0K_term_Hc2,20.0,True,relaxation_rate,none,Hc2,True,True,Field dependence of interpolation index S at 5 K and 15 K
elsevier_10.1016_j.physc.2009.11.051,unirradiated,2.0,2.5,Tier_1_direct_match_at_2.0K_term_Hc2,2.0,True,relaxation_rate,none,Hc2,True,True,Field dependence of interpolation index S at 5 K and 15 K
