cohort,substructure,n_fits,target,stage1_abs,stage3_abs,stage3_iqr_bound,stage3_within_bound,stage2_pooled_forms_abs,stage2_pooled_flat_abs,stage2_nearest_family_abs,stage2_nearest_no_form_abs
"all fits, every family with a descriptor",conventional_AlB2,20,2.2135742369,2.1676107097,0.4161909192,1.1422651713,True,27.6396426889,27.7864256516,27.4928596849,1.2623139036
"all fits, every family with a descriptor",cuprate_BSCCO,20,29.9999999945,20.004580885,27.8828387721,3.7203082012,False,27.0993614894,27.2292504018,24.5031964831,24.5031964831
"all fits, every family with a descriptor",cuprate_LSCO,5,5.4968035113,10.8124986525,3.1704234602,15.913197326,True,24.5031958999,24.5031958999,24.5031964885,24.5031964831
"all fits, every family with a descriptor",cuprate_RBCO,3,29.9999999919,20.0045808817,27.6634165263,15.913197326,False,21.9798087763,21.9798087763,7.9e-09,2.6e-09
"all fits, every family with a descriptor",iron_chalcogenide_11,51,2.2592124244,6.328386292,0.1785827788,18.7752833731,True,3.5985484831,0.012047808,0.0456381875,0.0456381875
"all fits, every family with a descriptor",iron_pnictide_1111,22,1.4992151713,25.6670280648,0.9385800319,15.88110358,True,0.3368369349,0.5693499694,28.5007847951,28.5007848231
"all fits, every family with a descriptor",iron_pnictide_122,48,0.9512603334,1.0212214237,2.7139534679,14.738887851,True,2.070689532,1.5047776871,1.2710220242,1.2623139036
physicality == ok only,conventional_AlB2,20,2.2135742369,1.3412644943,1.3294348973,0.8965754303,False,,,1.6707229385,1.6707229385
physicality == ok only,iron_chalcogenide_11,21,1.4014396358,0.143424819,0.0240347852,1.1620655279,True,0.6643654945,0.6614363859,0.8121346011,0.8121346011
physicality == ok only,iron_pnictide_1111,17,1.0151,1.8007894401,0.4583698229,0.8067153632,True,0.4004245805,0.2261184992,0.3863396358,0.3863396358
physicality == ok only,iron_pnictide_122,36,0.5428512984,1.6281858493,1.0321595752,1.0230089853,False,0.7891361606,0.7561878951,1.6707229385,1.6707229385
"all fits, cuprates removed from cohort and pools",conventional_AlB2,20,2.2135742369,0.7604679921,0.2689751956,4.7116483444,True,27.4928596849,27.4928596849,27.4928596849,1.2623139036
"all fits, cuprates removed from cohort and pools",iron_chalcogenide_11,51,2.2592124244,0.7049289334,0.4752516217,2.2430168064,True,0.0432301902,0.1530511358,0.0456381875,0.0456381875
"all fits, cuprates removed from cohort and pools",iron_pnictide_1111,22,1.4992151713,2.9240035115,0.5344546652,0.9442988,True,0.4804261394,0.5326697149,0.7599972531,0.7599972531
"all fits, cuprates removed from cohort and pools",iron_pnictide_122,48,0.9512603334,1.4933640741,1.2591830239,2.0874499903,True,1.4286454996,1.2591830239,1.2710220242,1.2623139036
