compound_formula,substructure,MP_id,paper_id,source_provenance,Tc_anchor_K,Tc_provenance_tier,Hc2_T_anchor,Hc2_anchor_type,Hc2_deviation_flag,Hc2_source,sample_form_commitment,predictor_method_scope,T_K,H_T,predicted_log_Jc,predicted_log_Jc_lower_95,predicted_log_Jc_upper_95,parent_match_uncertainty_envelope_dex,bootstrap_iterations,refusal_flag
Co0.05Fe0.95Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,0.1,5.996159972950191,5.877146982269887,6.121613313756543,,5000,
Co0.05Fe0.95Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,1.0,5.96084211542598,5.843659858350076,6.085475382656883,,5000,
Co0.05Fe0.95Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,5.0,5.771923410007387,5.665413914623919,5.897399953205208,,5000,
Co0.05Fe0.95Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,0.1,,,,,5000,T_above_Tc
Co0.05Fe0.95Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,1.0,,,,,5000,T_above_Tc
Co0.05Fe0.95Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,5.0,,,,,5000,T_above_Tc
Co0.05Fe0.95Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.7,0.1,5.806967537993907,5.710977496196544,5.946515512050161,,5000,
Co0.05Fe0.95Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.7,1.0,5.771649680469697,5.67823227271878,5.91110803773744,,5000,
Co0.05Fe0.95Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.7,5.0,5.591967978918046,5.499244425505327,5.728172910710815,,5000,
Co0.1Fe0.9Se1,iron_chalcogenide_11,mp-20311,,A1,5.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,0.1,5.996159972950191,5.877146982269887,6.121613313756543,,5000,
Co0.1Fe0.9Se1,iron_chalcogenide_11,mp-20311,,A1,5.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,1.0,5.960695330350417,5.844079196146921,6.086148671156769,,5000,
Co0.1Fe0.9Se1,iron_chalcogenide_11,mp-20311,,A1,5.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,5.0,5.7694682668345525,5.668065312167597,5.898304846472484,,5000,
Co0.1Fe0.9Se1,iron_chalcogenide_11,mp-20311,,A1,5.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,0.1,,,,,5000,T_above_Tc
Co0.1Fe0.9Se1,iron_chalcogenide_11,mp-20311,,A1,5.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,1.0,,,,,5000,T_above_Tc
Co0.1Fe0.9Se1,iron_chalcogenide_11,mp-20311,,A1,5.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,5.0,,,,,5000,T_above_Tc
Co0.1Fe0.9Se1,iron_chalcogenide_11,mp-20311,,A1,5.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,3.85,0.1,6.057468381163306,5.954333991878817,6.182921721969659,,5000,
Co0.1Fe0.9Se1,iron_chalcogenide_11,mp-20311,,A1,5.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,3.85,1.0,6.022832691649029,5.920515557493,6.149434594814061,,5000,
Co0.1Fe0.9Se1,iron_chalcogenide_11,mp-20311,,A1,5.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,3.85,5.0,5.837120338392599,5.7437077093635205,5.966696465146865,,5000,
Fe0.95Ni0.05Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,0.1,5.996159972950191,5.877146982269887,6.121613313756543,,5000,
Fe0.95Ni0.05Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,1.0,5.960695330350417,5.844079196146921,6.085458118849194,,5000,
Fe0.95Ni0.05Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,5.0,5.771923410007387,5.668065312167597,5.89737675081374,,5000,
Fe0.95Ni0.05Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,0.1,,,,,5000,T_above_Tc
Fe0.95Ni0.05Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,1.0,,,,,5000,T_above_Tc
Fe0.95Ni0.05Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,5.0,,,,,5000,T_above_Tc
Fe0.95Ni0.05Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.7,0.1,5.804971065674835,5.7208882888559955,5.943214117717066,,5000,
Fe0.95Ni0.05Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.7,1.0,5.771483938519237,5.685570431331785,5.907896260192855,,5000,
Fe0.95Ni0.05Se1,iron_chalcogenide_11,mp-20311,,A1,10.0,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.7,5.0,5.591619253696695,5.501533740698156,5.728132797237954,,5000,
Fe1S0.04Se0.96,iron_chalcogenide_11,mp-20311,,A1,9.58,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,0.1,5.996159972950191,5.877146982269887,6.121613313756543,,5000,
Fe1S0.04Se0.96,iron_chalcogenide_11,mp-20311,,A1,9.58,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,1.0,5.96084211542598,5.84365985511429,6.086148671156769,,5000,
Fe1S0.04Se0.96,iron_chalcogenide_11,mp-20311,,A1,9.58,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,5.0,5.771923410007387,5.665413894164623,5.9005933551835135,,5000,
Fe1S0.04Se0.96,iron_chalcogenide_11,mp-20311,,A1,9.58,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,0.1,,,,,5000,T_above_Tc
Fe1S0.04Se0.96,iron_chalcogenide_11,mp-20311,,A1,9.58,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,1.0,,,,,5000,T_above_Tc
Fe1S0.04Se0.96,iron_chalcogenide_11,mp-20311,,A1,9.58,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,5.0,,,,,5000,T_above_Tc
Fe1S0.04Se0.96,iron_chalcogenide_11,mp-20311,,A1,9.58,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.3766,0.1,5.8127634989324015,5.716773457044394,5.9483917954660495,,5000,
Fe1S0.04Se0.96,iron_chalcogenide_11,mp-20311,,A1,9.58,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.3766,1.0,5.777775071349115,5.683286327380706,5.914347192989687,,5000,
Fe1S0.04Se0.96,iron_chalcogenide_11,mp-20311,,A1,9.58,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.3766,5.0,5.5988254499186825,5.503030095810392,5.733043511168837,,5000,
Fe1S0.09Se0.91,iron_chalcogenide_11,mp-20311,,A1,10.1,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,0.1,5.996159972950191,5.877146982269887,6.121613313756543,,5000,
Fe1S0.09Se0.91,iron_chalcogenide_11,mp-20311,,A1,10.1,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,1.0,5.96084211542598,5.84365985511429,6.086148671156769,,5000,
Fe1S0.09Se0.91,iron_chalcogenide_11,mp-20311,,A1,10.1,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,5.0,5.771923410007387,5.665413894164623,5.898304846472484,,5000,
Fe1S0.09Se0.91,iron_chalcogenide_11,mp-20311,,A1,10.1,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,0.1,,,,,5000,T_above_Tc
Fe1S0.09Se0.91,iron_chalcogenide_11,mp-20311,,A1,10.1,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,1.0,,,,,5000,T_above_Tc
Fe1S0.09Se0.91,iron_chalcogenide_11,mp-20311,,A1,10.1,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,5.0,,,,,5000,T_above_Tc
Fe1S0.09Se0.91,iron_chalcogenide_11,mp-20311,,A1,10.1,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.777,0.1,5.805684081150271,5.719681380830687,5.9421449614593485,,5000,
Fe1S0.09Se0.91,iron_chalcogenide_11,mp-20311,,A1,10.1,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.777,1.0,5.770219441169303,5.684359853679586,5.909698452266572,,5000,
Fe1S0.09Se0.91,iron_chalcogenide_11,mp-20311,,A1,10.1,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.777,5.0,5.590740915361273,5.497960951267715,5.72792107414021,,5000,
Fe1S0.11Se0.89,iron_chalcogenide_11,mp-20311,,A1,10.7,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,0.1,5.996159972950191,5.9297372793699195,6.121613313756543,,5000,
Fe1S0.11Se0.89,iron_chalcogenide_11,mp-20311,,A1,10.7,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,1.0,5.96084211542598,5.889314006589612,6.085458118849194,,5000,
Fe1S0.11Se0.89,iron_chalcogenide_11,mp-20311,,A1,10.7,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,5.0,5.771923410007387,5.674148188752294,5.89737675081374,,5000,
Fe1S0.11Se0.89,iron_chalcogenide_11,mp-20311,,A1,10.7,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,0.1,,,,,5000,T_above_Tc
Fe1S0.11Se0.89,iron_chalcogenide_11,mp-20311,,A1,10.7,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,1.0,,,,,5000,T_above_Tc
Fe1S0.11Se0.89,iron_chalcogenide_11,mp-20311,,A1,10.7,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,5.0,,,,,5000,T_above_Tc
Fe1S0.11Se0.89,iron_chalcogenide_11,mp-20311,,A1,10.7,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,8.238999999999999,0.1,5.798652206013586,5.7145981591394195,5.9377533959610505,,5000,
