substructure,resample_n_compounds,n_resamples,n_below_threshold,distinct_resamples,degenerate,loo_mae_point_estimate,loo_median_residual
iron_chalcogenide_11,1,9,0,9,False,0.5880938940339523,0.5900751566946123
iron_chalcogenide_11,2,159,159,138,False,0.5880938940339523,0.5900751566946123
iron_chalcogenide_11,3,728,724,574,False,0.5880938940339523,0.5900751566946123
iron_chalcogenide_11,4,833,833,595,False,0.5880938940339523,0.5900751566946123
iron_chalcogenide_11,5,271,271,153,False,0.5880938940339523,0.5900751566946123
iron_pnictide_122,1,704,0,537,False,1.3198996253016975,1.2798725249480583
iron_pnictide_122,2,1296,352,932,False,1.3198996253016975,1.2798725249480583
iron_pnictide_1111,1,126,0,7,False,3.1201737077470875,3.7992277771564478
iron_pnictide_1111,2,1116,396,21,False,3.1201737077470875,3.7992277771564478
iron_pnictide_1111,3,758,0,7,False,3.1201737077470875,3.7992277771564478
