cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality
B,MAGLAB_11_4_2K,FeSe_Te_doped,thin_film,unspecified,14.0,29.94,47.0,Tier_2_per_substructure_Hirr_ratio_0.7,10,5,0.2672010688042752,T,4.2,1.1456353690001582,0.04808604426788278,6.162737604921671,0.004617500152543728,0.006756072145599235,True,H_axis_applicability_bound
B,MAGLAB_11_6K,FeSe_Te_doped,thin_film,unspecified,14.0,26.86,47.0,Tier_2_per_substructure_Hirr_ratio_0.7,36,36,0.595677148175726,T,6.0,2.2194769301197104,0.127518455150479,6.269466010567023,0.02488715648581507,0.08824619388055117,True,ok
B,MAGLAB_Co122_4_2K,Ba_Fe_Co_2As2,thin_film,unspecified,22.0,39.89,50.0,Tier_2_per_substructure_Hirr_ratio_0.6,18,9,0.2005515166708448,T,4.2,1.0416487556081233,0.1045102534471966,6.530873278485046,0.007060564284655376,0.013486458795675792,True,H_axis_applicability_bound
B,MAGLAB_La1111_4_2K,LaFeAsO_F_doped,thin_film,unspecified,26.0,50.25,86.0,Tier_2_per_substructure_Hirr_ratio_0.6,14,8,0.1691542288557214,T,4.2,14.319678312687174,6.432764518595824,4.491151112498312,0.29503716334614416,0.6334131093178511,True,H_axis_applicability_bound
B,MAGLAB_Nd1111_10K,NdFeAsO_F_doped,thin_film,unspecified,50.0,115.2,200.0,Tier_2_per_substructure_Hirr_ratio_0.6,72,60,0.13888773263888887,T,10.0,13.037687268649494,1.8225578849273358,6.580653084631403,0.0647609434052607,0.3086985964976597,True,H_axis_applicability_bound
B,MAGLAB_Nd1111_4_2K,NdFeAsO_F_doped,thin_film,unspecified,50.0,119.15,200.0,Tier_2_per_substructure_Hirr_ratio_0.6,10,10,0.07553503986571548,T,4.2,15.959569941022977,0.877692678962948,6.48420415519303,0.017611205844661738,0.027021696511272637,True,H_axis_applicability_bound
B,MAGLAB_Ni122_4_2K,BaFe2_NiAs2,thin_film,unspecified,20.0,24.09,60.0,Tier_2_per_substructure_Hirr_ratio_0.6,24,12,0.933997509339975,T,4.2,2.173233649253015,0.3671701049107111,5.343066567343083,0.17341882658276536,0.6001644239158043,True,ok
B,MAGLAB_P122_4_2K,BaFe2_PAs2,thin_film,unspecified,30.0,20.59,35.0,Tier_2_per_substructure_Hirr_ratio_0.6,30,16,0.4371053909664886,T,4.2,3.0080533023620277,0.3248616004739282,6.567441677034202,0.03692321966431712,0.14100270103207077,True,ok
B,MAGLAB_Sm1111_4_2K,SmFeAsO_F_doped,thin_film,unspecified,55.0,51.3,150.0,Tier_2_per_substructure_Hirr_ratio_0.6,44,28,0.8771929824561404,T,4.2,0.6839222465432688,0.16243776127968773,5.907679974059799,0.06155333374460145,0.2712094714927741,True,ok
B,elsevier_10.1016_0921-4534(96)00225-0,YBaCuO,bulk,CeO2 + PtO2 doped sample,92.0,130.0,130.0,Tier_3_literature_default,7,7,0.038461538461538464,T,77.0,29.999999807116104,19.158628764431175,4.525563123928183,0.18269769074269424,0.25225670352831,True,H_axis_applicability_bound
