paper_id,compound_formula,substructure,field_T,Tc_K,n_T_pts,T_min,T_max,beta_T,SE_beta_T,rms,ok,physicality,source
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,0.0,55.0,4,2.0,20.0,2.346412769280233,7.425958650727008,0.750650473675328,True,ok,v3.2.1_baseline
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,0.5,55.0,4,2.0,20.0,2.3464143444464716,7.425958593895453,0.7506504736753312,True,ok,v3.2.1_baseline
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,1.0,55.0,4,2.0,20.0,2.346413907106212,7.4259594406529805,0.7506504736753286,True,ok,v3.2.1_baseline
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,1.5,55.0,4,2.0,20.0,2.3464136268569393,7.425959030113231,0.7506504736753273,True,ok,v3.2.1_baseline
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,2.0,55.0,4,2.0,20.0,2.3464134867741713,7.425958120190412,0.7506504736753274,True,ok,v3.2.1_baseline
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,2.5,55.0,4,2.0,20.0,2.3464134868503734,7.425958120190408,0.7506504736753273,True,ok,v3.2.1_baseline
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,3.0,55.0,4,2.0,20.0,2.3464123488816493,7.4259579283857375,0.7506504736753301,True,ok,v3.2.1_baseline
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,3.5,55.0,4,2.0,20.0,2.346413049507691,7.425957836178404,0.7506504736753272,True,ok,v3.2.1_baseline
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,4.0,55.0,4,2.0,20.0,2.3464129092953936,7.425958495354145,0.7506504736753276,True,ok,v3.2.1_baseline
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,4.5,55.0,4,2.0,20.0,2.3908498731001684,7.468133065834867,0.7549136827278293,True,ok,v3.2.1_baseline
0806.2839v1.pdf,Sm2FeAs2O,iron_pnictide_1111,5.0,55.0,4,2.0,20.0,2.471945317838937,7.549080914566218,0.7630962861816531,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,0.1,38.0,3,2.0,10.0,0.8656793335626881,0.12517488497947676,0.005664791433138505,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,0.5,38.0,3,2.0,10.0,1.117875493653851,0.1511251552357431,0.006839172735540427,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,1.0,38.0,3,2.0,10.0,1.5802076510695042,0.18680647505587405,0.008453935000880495,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,1.5,38.0,3,2.0,10.0,1.1178753595283788,0.1511251224308141,0.006839172735537577,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,2.0,38.0,3,2.0,10.0,1.5802076820164788,0.1868066165824715,0.008453935000880784,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,2.5,38.0,3,2.0,10.0,1.1401558940959413,0.025646201702531127,0.0011606193439378314,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,3.0,38.0,3,2.0,10.0,1.5479213276009742,0.3686362209858,0.016682641395391898,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,3.5,38.0,3,2.0,10.0,0.8656793434508133,0.12517488497947535,0.0056647914331384415,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,4.0,38.0,3,2.0,10.0,1.117875359528379,0.1511251224308141,0.006839172735537577,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,4.5,38.0,3,2.0,10.0,1.5802076660145052,0.1868065458191469,0.00845393500088058,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,5.0,38.0,3,2.0,10.0,1.9960101398592518,0.2061535877882565,0.009329484155886017,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,5.5,38.0,3,2.0,10.0,2.720363539452143,0.21245271744696675,0.009614554344818423,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,6.0,38.0,3,2.0,10.0,2.627208038989431,0.7370828796636789,0.03335670683052783,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,6.5,38.0,3,2.0,10.0,2.720363544980597,0.2124527197744464,0.00961455434481853,True,ok,v3.2.1_baseline
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,7.0,38.0,3,2.0,10.0,2.947893204285831,1.0689431857938712,0.04837504996017681,True,ok,v3.2.1_baseline
0904.2442v1.pdf,Sm2FeAs2O,iron_pnictide_1111,6.0,55.0,3,5.0,27.5,1.14732376005095,0.10847871061225828,0.011569685740629686,True,ok,v3.2.1_baseline
0904.2442v1.pdf,Sm2FeAs2O,iron_pnictide_1111,6.5,55.0,4,5.0,27.5,1.1015650034087516,0.3443883821100914,0.04719026611254821,True,ok,v3.2.1_baseline
0904.2442v1.pdf,Sm2FeAs2O,iron_pnictide_1111,7.0,55.0,4,5.0,27.5,0.8100642130855875,0.3314508996429248,0.04541749088759997,True,ok,v3.2.1_baseline
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,0.0,38.0,8,2.0,20.0,1.7311942365412245,0.06071239336942286,0.01445115571827479,True,ok,v3.2.1_baseline
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,0.5,38.0,8,2.0,20.0,2.500360332118514,0.1085224593958024,0.025831217390925837,True,ok,v3.2.1_baseline
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,1.0,38.0,8,2.0,20.0,2.537067361576857,0.12192291022284346,0.02902087771513488,True,ok,v3.2.1_baseline
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,1.5,38.0,8,2.0,20.0,2.6575083084526927,0.15390768235480295,0.036634099180657034,True,ok,v3.2.1_baseline
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,2.0,38.0,8,2.0,20.0,2.662426133716543,0.18839938817657148,0.044844034415788714,True,ok,v3.2.1_baseline
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,2.5,38.0,8,2.0,20.0,2.4626130761390046,0.24131647091408812,0.05743970198127368,True,ok,v3.2.1_baseline
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,3.0,38.0,8,2.0,20.0,2.206013182374101,0.2109704757539418,0.050216551860913124,True,ok,v3.2.1_baseline
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,3.5,38.0,8,2.0,20.0,2.089248380295579,0.19311559934023434,0.045966617727726235,True,ok,v3.2.1_baseline
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,4.0,38.0,8,2.0,20.0,2.1331049929051296,0.14554365728448676,0.03464324011864507,True,ok,v3.2.1_baseline
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,4.5,38.0,8,2.0,20.0,2.682020835555133,0.2596916661835427,0.06181348681396131,True,ok,v3.2.1_baseline
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,5.0,38.0,8,2.0,20.0,3.431268796597345,0.3434720689858315,0.08175543512515149,True,ok,v3.2.1_baseline
0907.0147v2.pdf,Fe2TeSe,iron_other,1e-05,14.5,5,1.8,8.0,0.7451441063081451,0.07189295481598365,0.012923394688213607,True,ok,v3.2.1_baseline
0907.0147v2.pdf,Fe2TeSe,iron_other,5e-05,14.5,5,1.8,8.0,1.0148133469815044,0.08262560674562106,0.014852683911695405,True,ok,v3.2.1_baseline
