compound_formula,substructure,Tc_anchor_K,T_K,H_T,predicted_log_Jc,refusal_flag,emitted_by_dispatch,exclusion,criterion
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,4.2,0.1,,T_above_Tc,False,record_below_grid_floor,Tc anchor 3.35 K < 4.2 K grid floor
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,4.2,1.0,,T_above_Tc,False,record_below_grid_floor,Tc anchor 3.35 K < 4.2 K grid floor
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,4.2,5.0,,T_above_Tc,False,record_below_grid_floor,Tc anchor 3.35 K < 4.2 K grid floor
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,20.0,0.1,,T_above_Tc,False,record_below_grid_floor,Tc anchor 3.35 K < 4.2 K grid floor
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,20.0,1.0,,T_above_Tc,False,record_below_grid_floor,Tc anchor 3.35 K < 4.2 K grid floor
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,20.0,5.0,,T_above_Tc,False,record_below_grid_floor,Tc anchor 3.35 K < 4.2 K grid floor
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,2.5795000000000003,0.1,,H_below_validated_reduced_field,False,record_below_grid_floor,Tc anchor 3.35 K < 4.2 K grid floor
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,2.5795000000000003,1.0,,H_below_validated_reduced_field,False,record_below_grid_floor,Tc anchor 3.35 K < 4.2 K grid floor
Fe1Se0.05Te0.95,iron_chalcogenide_11,3.35,2.5795000000000003,5.0,,H_below_validated_reduced_field,False,record_below_grid_floor,Tc anchor 3.35 K < 4.2 K grid floor
Fe1Te1,iron_chalcogenide_11,1.5,4.2,0.1,,T_above_Tc,False,record_below_grid_floor,Tc anchor 1.5 K < 4.2 K grid floor
Fe1Te1,iron_chalcogenide_11,1.5,4.2,1.0,,T_above_Tc,False,record_below_grid_floor,Tc anchor 1.5 K < 4.2 K grid floor
Fe1Te1,iron_chalcogenide_11,1.5,4.2,5.0,,T_above_Tc,False,record_below_grid_floor,Tc anchor 1.5 K < 4.2 K grid floor
Fe1Te1,iron_chalcogenide_11,1.5,20.0,0.1,,T_above_Tc,False,record_below_grid_floor,Tc anchor 1.5 K < 4.2 K grid floor
Fe1Te1,iron_chalcogenide_11,1.5,20.0,1.0,,T_above_Tc,False,record_below_grid_floor,Tc anchor 1.5 K < 4.2 K grid floor
Fe1Te1,iron_chalcogenide_11,1.5,20.0,5.0,,T_above_Tc,False,record_below_grid_floor,Tc anchor 1.5 K < 4.2 K grid floor
Fe1Te1,iron_chalcogenide_11,1.5,1.155,0.1,,H_below_validated_reduced_field,False,record_below_grid_floor,Tc anchor 1.5 K < 4.2 K grid floor
Fe1Te1,iron_chalcogenide_11,1.5,1.155,1.0,,H_below_validated_reduced_field,False,record_below_grid_floor,Tc anchor 1.5 K < 4.2 K grid floor
Fe1Te1,iron_chalcogenide_11,1.5,1.155,5.0,,H_below_validated_reduced_field,False,record_below_grid_floor,Tc anchor 1.5 K < 4.2 K grid floor
As2Co0.068Fe1.932K1,iron_pnictide_122,1.845,4.2,0.1,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.845 K < 4.2 K grid floor
As2Co0.068Fe1.932K1,iron_pnictide_122,1.845,4.2,1.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.845 K < 4.2 K grid floor
As2Co0.068Fe1.932K1,iron_pnictide_122,1.845,4.2,5.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.845 K < 4.2 K grid floor
