cohort,substructure,n,papers,forms,eta2,omega2,p_clustered,p_clustered_null_consistent,p_floor,support,multiform_papers
deposited,conventional_AlB2,15,4,2,0.11588555873921777,0.044828053311013354,0.6666666666666666,0.6666666666666666,0.16666666666666666,6,0
deposited,cuprate_BSCCO,9,3,2,0.09642574711592831,-0.028922866510573728,1.0,1.0,0.3333333333333333,3,0
deposited,cuprate_LSCO,5,1,1,,,,,,0,0
deposited,cuprate_RBCO,3,1,1,,,,,,0,0
deposited,iron_chalcogenide_11,12,7,3,0.37366389923508625,0.21922181705438928,0.5142857142857142,0.5142857142857142,0.007142857142857143,140,0
deposited,iron_pnictide_1111,6,6,3,0.14325086349308602,-0.3328569313422516,0.8,0.8,0.016666666666666666,60,0
deposited,iron_pnictide_122,10,7,3,0.48767795326505653,0.3180243824110118,0.2857142857142857,0.18571428571428572,0.007142857142857143,140,1
repaired,conventional_AlB2,13,3,2,0.044158628535789654,-0.03931939567988365,1.0,1.0,0.3333333333333333,3,0
repaired,cuprate_BSCCO,4,1,1,,,,,,0,0
repaired,cuprate_RBCO,3,1,1,,,,,,0,0
repaired,iron_chalcogenide_11,5,4,2,0.8090112239750961,0.7007373114880968,0.25,0.25,0.25,4,0
repaired,iron_pnictide_1111,6,6,3,0.14325086349308602,-0.3328569313422516,0.8,0.8,0.016666666666666666,60,0
repaired,iron_pnictide_122,5,5,2,0.3742924545496292,0.13712353022581156,0.3,0.3,0.1,10,0
