kind,route,source,stem,n_isotherms_raw,resid_3,resid_5,resid_9,n_isotherms,sigfigs,rounding_floor,over_floor
extraction,vision,elsevier_10.1016_S0011-2275(97)00151-3_VISION_PASS,elsevier_10.1016_S0011-2275(97)00151-3_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.ceramint.2024.10.058_VISION_PASS,elsevier_10.1016_j.ceramint.2024.10.058_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.jallcom.2013.04.183_VISION_PASS | N1,elsevier_10.1016_j.jallcom.2013.04.183_VISION_PASS,2,,,,,,,
extraction,vision,elsevier_10.1016_j.jallcom.2013.04.183_VISION_PASS | N2,elsevier_10.1016_j.jallcom.2013.04.183_VISION_PASS,2,,,,,,,
extraction,vision,elsevier_10.1016_j.jallcom.2013.04.183_VISION_PASS | N3,elsevier_10.1016_j.jallcom.2013.04.183_VISION_PASS,2,,,,,,,
extraction,vision,elsevier_10.1016_j.jallcom.2013.04.183_VISION_PASS | N4,elsevier_10.1016_j.jallcom.2013.04.183_VISION_PASS,2,,,,,,,
extraction,hand,elsevier_10.1016_j.jallcom.2023.170146_MgB2_bulk_magnetization_10-35K,elsevier_10.1016_j.jallcom.2023.170146_MgB2_bulk_magnetization_10-35K,6,1.09809,0.81852,0.64819,6.0,11.0,0.0,
extraction,hand,elsevier_10.1016_j.jallcom.2023.170384_LaFeAsO_magnetization_2-10K,elsevier_10.1016_j.jallcom.2023.170384_LaFeAsO_magnetization_2-10K,4,0.56425,0.45164,0.39335,3.0,11.0,0.0,
extraction,vision,elsevier_10.1016_j.jpcs.2026.113652_VISION_PASS | Co0,elsevier_10.1016_j.jpcs.2026.113652_VISION_PASS,3,,,,,,,
extraction,vision,elsevier_10.1016_j.jpcs.2026.113652_VISION_PASS | Co1,elsevier_10.1016_j.jpcs.2026.113652_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.jpcs.2026.113652_VISION_PASS | Co2,elsevier_10.1016_j.jpcs.2026.113652_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.jpcs.2026.113652_VISION_PASS | Co3,elsevier_10.1016_j.jpcs.2026.113652_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.matchemphys.2023.128348_VISION_PASS,elsevier_10.1016_j.matchemphys.2023.128348_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.matpr.2019.05.078_VISION_PASS,elsevier_10.1016_j.matpr.2019.05.078_VISION_PASS,2,,,,,,,
extraction,vision,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS | Polycrystal,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS,8,0.18094,0.15204,0.13639,8.0,1.0,0.05132,2.96
extraction,vision,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS | Single crystal,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS,12,0.18935,0.1576,0.14075,12.0,1.0,0.06017,2.62
extraction,vision,elsevier_10.1016_j.phpro.2012.03.421_VISION_PASS,elsevier_10.1016_j.phpro.2012.03.421_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.phpro.2015.06.160_VISION_PASS | Ba0.64K0.36Fe2As2,elsevier_10.1016_j.phpro.2015.06.160_VISION_PASS,2,,,,,,,
extraction,vision,elsevier_10.1016_j.phpro.2015.06.160_VISION_PASS | BaFe1.91Ni0.09As2,elsevier_10.1016_j.phpro.2015.06.160_VISION_PASS,4,0.07172,0.05174,0.05765,4.0,1.0,0.03898,1.33
extraction,vision,elsevier_10.1016_j.physb.2025.417755_VISION_PASS,elsevier_10.1016_j.physb.2025.417755_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS | x = 0.038,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS | x = 0.047,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS | x = 0.058,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS | x = 0.074,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS,4,0.04472,0.03629,0.03201,4.0,2.0,0.00369,9.83
extraction,vision,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS | x = 0.10,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS,1,,,,,,,
extraction,vision,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS | x = 0.118,elsevier_10.1016_j.physc.2009.03.028_VISION_PASS,1,,,,,,,
extraction,hand,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,9,0.24528,0.19168,0.16667,9.0,11.0,0.0,
extraction,vision,elsevier_10.1016_j.physc.2009.11.051_VISION_PASS | irradiated,elsevier_10.1016_j.physc.2009.11.051_VISION_PASS,4,0.02096,0.01596,0.01318,4.0,2.0,0.00255,6.26
extraction,vision,elsevier_10.1016_j.physc.2009.11.051_VISION_PASS | unirradiated,elsevier_10.1016_j.physc.2009.11.051_VISION_PASS,4,0.04826,0.03687,0.03063,4.0,2.0,0.00609,6.05
extraction,vision,elsevier_10.1016_j.physc.2010.03.003_VISION_PASS,elsevier_10.1016_j.physc.2010.03.003_VISION_PASS,5,0.02041,0.01552,0.0117,5.0,6.0,0.0,
extraction,vision,elsevier_10.1016_j.physc.2010.05.048_VISION_PASS,elsevier_10.1016_j.physc.2010.05.048_VISION_PASS,8,0.46213,0.35551,0.3036,8.0,8.0,0.0,
extraction,hand,elsevier_10.1016_j.physc.2011.02.004_PrFeAsO_magnetization_5-35K,elsevier_10.1016_j.physc.2011.02.004_PrFeAsO_magnetization_5-35K,6,0.22115,0.18929,0.16645,6.0,11.0,0.0,
