compound_formula,substructure,Tc_anchor_K,Hc2_T_anchor,T_K,H_T,withheld_reduced_temperature,refusal_flag,withheld_log_Jc,withheld_log_Jc_lower_95,withheld_log_Jc_upper_95
Al0.01B2Mg0.99,conventional_AlB2,37.95,15.5,29.2215,5.0,0.7699999999999999,T_above_validated_reduced_temperature,4.294569283828846,3.679643346856204,4.907462811711364
Al0.022B2Mg0.978,conventional_AlB2,34.7,15.5,26.719,5.0,0.77,T_above_validated_reduced_temperature,4.297455628538685,3.685194951121375,4.891752620310233
Al0.02B2Mg0.98,conventional_AlB2,36.7,15.5,28.259000000000004,5.0,0.77,T_above_validated_reduced_temperature,4.294212001559919,3.6492483996955145,4.879432148185523
Al0.03B2Mg0.97,conventional_AlB2,37.3,15.5,28.721,5.0,0.77,T_above_validated_reduced_temperature,4.290045482041284,3.639968008202633,4.878752905592394
Al0.044B2Mg0.956,conventional_AlB2,34.0,15.5,26.18,5.0,0.77,T_above_validated_reduced_temperature,4.294118887560661,3.6687490617462255,4.895450638381949
Al0.05B2Mg0.95,conventional_AlB2,36.46666667,15.5,28.079333335900003,5.0,0.77,T_above_validated_reduced_temperature,4.291641076058754,3.709548441839616,4.88920123042337
Al0.06B2Mg0.94,conventional_AlB2,37.0,15.5,28.49,5.0,0.7699999999999999,T_above_validated_reduced_temperature,4.289103604745754,3.681732165257126,4.8999787574294205
Al0.07B2Mg0.93,conventional_AlB2,35.8,15.5,27.566,5.0,0.77,T_above_validated_reduced_temperature,4.286636660203532,3.6271415704781913,4.89072158912341
Al0.085B2Mg0.915,conventional_AlB2,32.4,15.5,24.948,5.0,0.77,T_above_validated_reduced_temperature,4.297332684805882,3.7158609806728418,4.894854490684743
Al0.08B2Mg0.92,conventional_AlB2,33.55,15.5,25.8335,5.0,0.7700000000000001,T_above_validated_reduced_temperature,4.2900619704331735,3.6570876362592784,4.902167443117816
Al0.09B2Mg0.91,conventional_AlB2,34.7,15.5,26.719,5.0,0.77,T_above_validated_reduced_temperature,4.292389882387574,3.7021898319261055,4.881174171109375
Al0.14B2Mg0.86,conventional_AlB2,35.1,15.5,27.027,5.0,0.77,T_above_validated_reduced_temperature,4.29161381084037,3.672325838288471,4.889628465379071
Al0.15B2Mg0.85,conventional_AlB2,31.5,15.5,24.255,5.0,0.77,T_above_validated_reduced_temperature,4.298185771324155,3.643689193579824,4.894155812062641
Al0.185B2Mg0.815,conventional_AlB2,25.3,15.5,20.0,5.0,0.7905138339920948,T_above_validated_reduced_temperature,4.273368931355641,3.5868468401630578,4.885784232727443
Al0.185B2Mg0.815,conventional_AlB2,25.3,15.5,19.481,5.0,0.77,T_above_validated_reduced_temperature,4.319870875177763,3.6697795394701975,4.904831624032511
Al0.19B2Mg0.81,conventional_AlB2,30.8,15.5,23.716,5.0,0.77,T_above_validated_reduced_temperature,4.3029997747915365,3.666231489785893,4.894493030115037
Al0.1B2Mg0.9,conventional_AlB2,34.3,15.5,26.411,5.0,0.7700000000000001,T_above_validated_reduced_temperature,4.298661803140782,3.6566942728617673,4.891550761331173
Al0.21B2Mg0.79,conventional_AlB2,27.1,15.5,20.0,5.0,0.7380073800738007,T_above_validated_reduced_temperature,4.379591047492615,3.7982401211132575,4.924759181725385
Al0.21B2Mg0.79,conventional_AlB2,27.1,15.5,20.867,5.0,0.77,T_above_validated_reduced_temperature,4.31300913952106,3.685040820174693,4.893674506847484
Al0.29B2Mg0.71,conventional_AlB2,24.0,15.5,20.0,5.0,0.8333333333333334,T_above_validated_reduced_temperature,4.169777367639243,3.417553977807924,4.833818255696782
Al0.29B2Mg0.71,conventional_AlB2,24.0,15.5,18.48,5.0,0.77,T_above_validated_reduced_temperature,4.332015613097519,3.7155857863380657,4.896660051887063
Al0.2B2Mg0.8,conventional_AlB2,28.71,15.5,22.1067,5.0,0.77,T_above_validated_reduced_temperature,4.305765255342217,3.724472184082236,4.9078289341562265
Al0.5B2Mg0.5,conventional_AlB2,12.9,15.5,9.933,5.0,0.77,T_above_validated_reduced_temperature,4.433610822730859,3.923378353178329,4.939868587084373
Al0.69B2Mg0.31,conventional_AlB2,11.1,15.5,8.547,5.0,0.7700000000000001,T_above_validated_reduced_temperature,4.47814006717811,3.989701334483387,4.962902492250607
Al0.6B2Mg0.4,conventional_AlB2,8.925,15.5,6.872250000000001,5.0,0.77,T_above_validated_reduced_temperature,4.554570906100084,4.075968405708618,4.993823382726523
Au0.146B2Mg0.854,conventional_AlB2,25.6,15.5,20.0,5.0,0.78125,T_above_validated_reduced_temperature,4.295242524501736,3.670241525065221,4.900963314614924
Au0.146B2Mg0.854,conventional_AlB2,25.6,15.5,19.712000000000003,5.0,0.7700000000000001,T_above_validated_reduced_temperature,4.320009134797831,3.714951116341645,4.911265887998473
