cohort,substructure,n,papers,forms,eta2,omega2,p_clustered,support,p_floor,ssb,ssw
deposited,aggregate,60,29,5,0.31394085329396626,0.26079256759908553,0.22295,13988511914176800,7.148723224709411e-17,17.390028363852977,38.00266163297708
deposited,conventional_AlB2,15,4,2,0.11588555873921777,0.044828053311013354,0.6699,6,0.16666666666666666,0.14269658618342654,1.0886612096964101
deposited,cuprate_BSCCO,9,3,2,0.09642574711592831,-0.028922866510573728,1.0,3,0.3333333333333333,1.4705150406405296,13.77971723261939
deposited,cuprate_LSCO,5,1,1,,,,0,,,
deposited,cuprate_RBCO,3,1,1,,,,0,,,
deposited,iron_chalcogenide_11,12,7,3,0.37366389923508625,0.21922181705438928,0.5138,140,0.007142857142857143,1.6085949568175166,2.6963297632595706
deposited,iron_pnictide_1111,6,6,3,0.14325086349308602,-0.3328569313422516,0.80105,60,0.016666666666666666,0.6597360868957922,3.94572366956588
deposited,iron_pnictide_122,10,7,3,0.4876779532650566,0.3180243824110119,0.28925,140,0.007142857142857143,0.8118660810037952,0.8528925482683793
repaired,aggregate,36,20,5,0.42296952593124065,0.3421453266945312,0.05545,5819814000,1.7182679721379413e-10,5.785751096325489,7.8931329405023565
repaired,conventional_AlB2,13,3,2,0.044158628535789654,-0.03931939567988365,1.0,3,0.3333333333333333,0.013555552919642227,0.29341849426245564
repaired,cuprate_BSCCO,4,1,1,,,,0,,,
repaired,cuprate_LSCO,0,0,0,,,,0,,,
repaired,cuprate_RBCO,3,1,1,,,,0,,,
repaired,iron_chalcogenide_11,5,4,2,0.8090112239750961,0.7007373114880968,0.24725,4,0.25,1.3635078094222728,0.3218925521730145
repaired,iron_pnictide_1111,6,6,3,0.14325086349308602,-0.3328569313422516,0.80105,60,0.016666666666666666,0.6597360868957922,3.94572366956588
repaired,iron_pnictide_122,5,5,2,0.3742924545496292,0.13712353022581156,0.30345,10,0.1,0.4246686335812032,0.7099217874097558
"repaired, weak row dropped",aggregate,35,19,5,0.4268681751679211,0.34388096109833394,0.0596,1163962800,8.591339860689705e-10,5.684474839296545,7.632223780975137
"repaired, weak row dropped",conventional_AlB2,13,3,2,0.044158628535789654,-0.03931939567988365,1.0,3,0.3333333333333333,0.013555552919642227,0.29341849426245564
"repaired, weak row dropped",cuprate_BSCCO,4,1,1,,,,0,,,
"repaired, weak row dropped",cuprate_LSCO,0,0,0,,,,0,,,
"repaired, weak row dropped",cuprate_RBCO,3,1,1,,,,0,,,
"repaired, weak row dropped",iron_chalcogenide_11,5,4,2,0.8090112239750961,0.7007373114880968,0.24725,4,0.25,1.3635078094222728,0.3218925521730145
"repaired, weak row dropped",iron_pnictide_1111,6,6,3,0.14325086349308602,-0.3328569313422516,0.80105,60,0.016666666666666666,0.6597360868957922,3.94572366956588
"repaired, weak row dropped",iron_pnictide_122,4,4,2,0.37360416621042536,0.045999349023090004,0.50075,4,0.25,0.40119589197238914,0.6726569401355463
