paper_id,arxiv_id,citation,figure_checked,withdrawn,n_fits_removed,reason
1612.02839v1.pdf,1612.02839,"Li et al., Improving quantum-transition temperatures in BaFe2As2-based crystals",Fig. 6(a),2026-09-03,19,"the figure axis is Jc (MA/cm2) over mu0H on a log axis from 0.01 to 10 T, at 5 K and 13.5 K only. The deposit holds 0.2 to 10 as A/cm2 over fields of 1e-6 to 1e-4 T, which are the log-axis minor ticks with the decade shifted by 1e-4, and adds an isotherm at 1.5 K that the paper does not measure; it states 5 to 18.5 K. The deposited series fall monotonically while the figure shows the fishtail peak the paper describes in text"
1108.5583v3.pdf,1108.5583,"Konczykowski, van der Beek, Tanatar, Mosser, Song, Kwon and Prozorov, Phys. Rev. B 84, 180514",FIG. 1 and FIG. 3,2026-09-03,10,"no figure in this five-page paper carries the deposited combination of axes. FIG. 3 is 9 to 16 K at a fixed 1 T with a right ordinate j (kA/cm2) reaching 35; the deposited 4.2, 8 and 12 K come from FIG. 1, whose ordinate is dB/dx in G/um. The text gives j of order 100 kA/cm2 against a deposited maximum of 500 A/cm2. Each deposited isotherm is ten evenly spaced points from N to N/10 and each is an exact scaling of the one below"
2403.19981v1.pdf,2403.19981,"Ishida et al., Synthesis of CaKFe4As4 bulk samples with high critical current density using a spark plasma sintering technique",Fig. 5(c),2026-09-03,13,"the axis is Jc (kA cm-2) and the deposit holds the bare numbers as A cm-2, but the shape is wrong independently of the unit: the figure's 4.2 K curve falls from about 80 to about 17 across the field range while the deposit falls from 100 to 6, and the deposited isotherms start on an exact 10-unit ladder where the figure's are irregularly spaced. The compound is also wrong: CaKFe4As4 is a 1144 phase, recorded as K(FeAs)2 and filed under iron_pnictide_122"
1109.5479v1.pdf,1109.5479,"van der Beek et al., Vortex pinning: a probe for nanoscale disorder in iron-based superconductors",Fig. 2,2026-09-03,19,"the axis is jc (A m-2), recorded as A/cm2, which is why the deposit exceeds the depairing limit. Beyond the unit, the deposited fields are the log-axis ticks 0.01 to 0.09 then 0.1 to 1, and each isotherm falls in exact 5e7 steps over most of its length, switching to 1e7 steps for the last two, four and six points respectively, with heads at 9e8, 8e8 and 7e8, so the isotherms are two steps apart. That tail change is why the deposit's own exact-arithmetic test does not fire on this record. The figure shows a B^-1/2 decay to a minimum near 1 T and a rise, which a descending ramp cannot carry"
0904.2442v1.pdf,0904.2442,"Eisterer, Weber, Jiang, Weiss, Yamamoto, Polyanskii, Hellstrom and Larbalestier, Neutron Irradiation of SmFeAsO1-xFx","FIG. 3, lower panel",2026-09-03,3,"the axis is Jc (A m-2), recorded as A/cm2, giving a deposited 1e9 A/cm2 that is above the depairing limit. The deposit also holds only 3 to 7 T, on nine points, where the figure spans 0 to 7 T with of order forty points per isotherm. Every deposited value is a round multiple of 5e7 and the series descend in runs of constant step, 1e8 then 5e7, rather than as a reading of a curve"
1801.05074v1.pdf,1801.05074,Study of the second magnetization peak and the pinning behaviour in Ba(Fe0.935Co0.065)2As2,Fig. 8(a),2026-09-03,13,"all twelve deposited isotherms are exact arithmetic ramps in steps of 20000 A/cm2, and successive isotherms are separated by the same 20000. The isotherm temperatures are irregular (2, 3.5, 5, 7, 9, 11, 13, 15, 16, 17, 18, 19 K), so the lattice is in isotherm index against field rather than in temperature against field, which no measurement produces. The paper's subject is the second magnetization peak, which a monotonic ramp cannot represent"
1002.0248v1.pdf,1002.0248,"Yadav and Paulose, The flux pinning force and vortex phase diagram of single crystal FeTe0.60Se0.40",Fig. 1(a),2026-09-03,13,"the deposited field axis runs 0 to 0.0012 T on 13 points in steps of 1e-4, that is 0 to 12 gauss, which is not a range over which Jc(H) is measured. Six of seven isotherms are exact arithmetic ramps, and the 8 K record interleaves two series of different magnitude (10000, 100000, 9500, 80000) within one isotherm"
2110.15577v1.pdf,2110.15577,"Iida et al., Approaching the ultimate superconducting properties of (Ba,K)Fe2As2 by naturally formed low-angle grain boundary networks",Fig. 4,2026-09-03,17,"the deposited record is a lattice on a uniform 1 T grid from 0 to 16 T. Every isotherm descends in steps of exactly 5e5 A/cm2, 15 to 16 of the 16 steps in each, with heads at 1e7, 9e6, 8e6 and 7e6, so the four isotherms are 1e6 apart at zero field and 5e5 apart at every field above it. The exceptions are a single 1e6 first step at 15 K and two tail steps at 25 and 30 K"
1003.0946v2.pdf,1003.0946,"Ding et al., Comparative study of type-II superconducting properties in polycrystalline NdFeAsO0.88F0.12",Fig. 8 and Fig. 10,2026-09-03,19,"the deposited record is internally incoherent. The 5 K isotherm contains 10000, 9000, 70, 69, 68, 67, 66, 65, 9000, 8000, 64, 7000: two series three orders of magnitude apart interleaved within one isotherm, one of which is a unit-count ramp descending 70, 69, 68. No figure produces this"
1204.0339v2.pdf,1204.0339,"Sharma, Vinod, Sundar and Bharathi, Critical current density and magnetic phase diagram of BaFe1.29Ru0.71As2 single crystals",Fig. 3(a),2026-09-03,17,"each deposited field value appears twice with different Jc, and the resulting series alternates down and up in a sawtooth (100000, 100000, 90000, 95000, 90000, 85000, 80000, 85000). That is two interleaved ramps, not the fish-tail peak the figure caption describes"
