pdf,n_chars,families,cap_field_vs_T,cap_jc_vs_H,both,unreadable
option_A_loo_residuals.pdf,640,,0,0,0,0
The critical current density of Tl-1212 and 1223-based superconductors.pdf,26872,cuprate,0,0,0,0
option_A_kernel_introspection.pdf,561,,0,0,0,0
1-s2.0-092145349492144X-main.pdf,5896,cuprate,0,0,0,0
2601.21044v1.pdf,47496,MgB2_class;cuprate,0,0,0,0
41467_2015_BFncomms8820_MOESM529_ESM.pdf,36170,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate,0,0,0,0
10.1186_s40580-023-00405-2.pdf,50547,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
kappa_vs_tc_scatter.pdf,527,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,0,0,0,0
kappa_jc_extended_correlation.pdf,330,cuprate,0,0,0,0
cross_class_kappa_jc0.pdf,656,iron_chalcogenide_11;iron_pnictide_122;cuprate,0,0,0,0
bulk_correlation_plot.pdf,419,cuprate,0,0,0,0
figure_1_contribution_inkscape_v2.pdf,1008,,0,0,0,0
figure_1_contribution.pdf,1012,MgB2_class,0,0,0,0
1-s2.0-S0254058423010568-main.pdf,45430,MgB2_class,1,1,1,0
figure_1_workflow.pdf,1596,cuprate,0,0,0,0
figure_1_workflow_grayscale.pdf,1609,cuprate,0,0,0,0
11_6K.pdf,40911,iron_chalcogenide_11;iron_pnictide_122;cuprate,1,1,1,0
Ni122_4_2K.pdf,19710,iron_pnictide_122;cuprate,0,0,0,0
P122_4_2K.pdf,29222,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,0,0,0,0
La1111_4_2K.pdf,22867,MgB2_class;cuprate;iron_pnictide_1111,1,0,0,0
Sm1111_4_2K.pdf,31120,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,1,0,0
Co122_4_2K_zero.pdf,39318,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,1,0,0
Nd1111_10K.pdf,40172,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,1,1,1,0
2212.09333v9.pdf,67215,cuprate,0,0,0,0
2108.13455v1.pdf,66594,cuprate,0,0,0,0
1706.08696v1.pdf,40125,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,1,0,0,0
0806.2352v1.pdf,20631,cuprate,0,0,0,0
0809.3974v1.pdf,14884,cuprate,0,0,0,0
1211.4681v2.pdf,31636,cuprate,1,1,1,0
1208.4057v1.pdf,8108,cuprate,0,0,0,0
2006.02321v1.pdf,47392,,1,0,0,0
0909.1628v3.pdf,13606,cuprate,0,1,0,0
2102.02003v1.pdf,31530,iron_chalcogenide_11,1,0,0,0
0807.3449v1.pdf,24499,,0,0,0,0
1107.5961v2.pdf,38405,cuprate,0,0,0,0
1808.02864v3.pdf,36884,iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
2010.14259v2.pdf,35051,cuprate,0,0,0,0
1108.4793v1.pdf,12841,cuprate,0,0,0,0
2403.18022v1.pdf,30250,MgB2_class;cuprate,0,0,0,0
0910.1104v1.pdf,16142,cuprate,1,0,0,0
1707.02891v1.pdf,50651,cuprate,0,0,0,0
0704.0352v1.pdf,22276,,0,0,0,0
1205.3868v3.pdf,19422,MgB2_class;cuprate,1,0,0,0
1202.1665v1.pdf,52756,cuprate,0,0,0,0
2501.02425v2.pdf,59449,cuprate,0,0,0,0
0909.2711v1.pdf,21496,,0,0,0,0
2209.05754v1.pdf,32340,,0,1,0,0
1204.0616v2.pdf,25971,,0,1,0,0
1207.5382v1.pdf,27370,iron_chalcogenide_11;iron_pnictide_122;iron_pnictide_1111,0,0,0,0
1305.1269v1.pdf,30487,iron_chalcogenide_11;cuprate,0,0,0,0
2306.14481v1.pdf,43111,cuprate,0,0,0,0
0909.0665v1.pdf,13388,cuprate,0,0,0,0
YBa2Cu3O7__0107343.pdf,17431,cuprate,0,0,0,0
YBa2Cu3O7__1303_1276.pdf,47463,cuprate,0,0,0,0
Nb3Sn__0306013.pdf,23872,MgB2_class,0,1,0,0
YBa2Cu3O7__0404523.pdf,31340,cuprate,0,0,0,0
Nb3Sn__1203_1848.pdf,39897,cuprate,0,0,0,0
Nb3Sn__1411_5397.pdf,20549,,0,0,0,0
Nb3Sn__2505_04159.pdf,33595,,0,1,0,0
YBa2Cu3O7__0501461.pdf,38951,cuprate,0,1,0,0
YBa2Cu3O7__9801244.pdf,58662,cuprate,0,0,0,0
YBa2Cu3O7__1710_08600.pdf,25099,cuprate,0,0,0,0
YBa2Cu3O7__0302250.pdf,6687,cuprate,0,0,0,0
YBa2Cu3O7__0201375.pdf,47885,cuprate,0,1,0,0
Nb3Sn__2004_10921.pdf,20295,iron_chalcogenide_11,0,0,0,0
Nb3Sn__0403755.pdf,13115,MgB2_class;cuprate,0,0,0,0
Nb3Sn__2301_00756.pdf,40045,,0,0,0,0
YBa2Cu3O7__0406620.pdf,44172,cuprate,0,0,0,0
YBa2Cu3O7__0206254.pdf,76119,cuprate,0,0,0,0
Nb3Sn__1310_6729.pdf,92195,iron_chalcogenide_11;MgB2_class,1,0,0,0
Nb3Sn__2204_02536.pdf,85837,MgB2_class,0,0,0,0
YBa2Cu3O7__0103205.pdf,26160,cuprate,0,0,0,0
YBa2Cu3O7__1602_04564.pdf,34055,MgB2_class;cuprate,0,0,0,0
YBa2Cu3O7__2305_04491.pdf,36558,cuprate,0,0,0,0
Nb3Sn__1808_02864.pdf,36884,iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
Nb3Sn__0103425.pdf,20827,MgB2_class,1,0,0,0
Nb3Sn__0910_4316.pdf,8354,MgB2_class;cuprate,0,0,0,0
YBa2Cu3O7__1210_8289.pdf,22713,cuprate,0,0,0,0
Nb3Sn__1909_05695.pdf,48566,iron_chalcogenide_11,0,0,0,0
Nb3Sn__2412_09514.pdf,66620,iron_chalcogenide_11,1,0,0,0
YBa2Cu3O7__1104_3569.pdf,24450,cuprate,0,0,0,0
YBa2Cu3O7__0102081.pdf,14888,cuprate,0,0,0,0
YBa2Cu3O7__1004_3909.pdf,20524,cuprate,0,0,0,0
Nb3Sn__0608404.pdf,95924,,1,1,1,0
Nb3Sn__1305_1269.pdf,30487,iron_chalcogenide_11;cuprate,0,0,0,0
YBa2Cu3O7__1207_5691.pdf,15438,cuprate,0,0,0,0
Nb3Sn__0512196.pdf,16223,,0,0,0,0
Nb3Sn__0604176.pdf,28072,MgB2_class;cuprate,1,0,0,0
Nb3Sn__0910_0259.pdf,24792,,0,0,0,0
YBa2Cu3O7__2212_13339.pdf,25698,cuprate,0,0,0,0
Nb3Sn__0305474.pdf,41337,MgB2_class;cuprate,1,0,0,0
YBa2Cu3O7__1911_05237.pdf,37724,cuprate,0,0,0,0
YBa2Cu3O7__9601051.pdf,62457,cuprate,0,0,0,0
YBa2Cu3O7__9811303.pdf,81575,cuprate,0,0,0,0
YBa2Cu3O7__0506059.pdf,14549,cuprate,0,0,0,0
10.1007_978-3-030-16118-7_16.pdf,39050,MgB2_class;cuprate,0,0,0,0
10.1038_srep26394.pdf,46333,iron_chalcogenide_11;iron_pnictide_122;iron_pnictide_1111,0,0,0,0
10.1186_s12877-026-07367-0.pdf,38275,,0,0,0,0
10.1038_s41598-025-00643-w.pdf,38697,cuprate,0,0,0,0
10.1007_s42461-026-01559-3.pdf,170708,cuprate,0,0,0,0
10.1038_s41467-026-70254-0.pdf,50864,cuprate,1,0,0,0
10.1038_ncomms15814.pdf,33991,,0,0,0,0
10.1038_s41598-022-20625-6.pdf,45498,MgB2_class;cuprate,0,0,0,0
10.1038_ncomms10575.pdf,38062,,0,0,0,0
10.1038_s41524-026-01962-w.pdf,83857,MgB2_class,0,0,0,0
10.1038_s44220-026-00623-7.pdf,92343,,0,0,0,0
10.1038_s41535-025-00813-z.pdf,30110,cuprate,0,0,0,0
10.1038_s41467-020-20150-y.pdf,33842,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
10.1007_s11051-020-05076-2.pdf,33468,cuprate,0,0,0,0
10.1038_s41467-025-67500-2.pdf,44634,cuprate,0,0,0,0
10.1038_s41598-021-86728-8.pdf,42460,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,1,0,0
10.1038_srep22278.pdf,42005,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,1,1,1,0
10.1038_ncomms8927.pdf,30519,cuprate,0,0,0,0
10.1007_978-3-030-16118-7_8.pdf,60624,,0,0,0,0
10.1038_s41427-022-00457-6.pdf,31361,iron_pnictide_122;MgB2_class;cuprate,0,0,0,0
10.1007_s10948-023-06515-6.pdf,38081,iron_chalcogenide_11;MgB2_class;cuprate,0,0,0,0
10.1007_s10948-025-06918-7.pdf,97523,iron_chalcogenide_11;MgB2_class;cuprate,0,0,0,0
10.1038_s41598-020-74156-z.pdf,43214,iron_chalcogenide_11;iron_pnictide_122;cuprate,0,1,0,0
10.1038_s41467-025-60071-2.pdf,50386,iron_chalcogenide_11;iron_pnictide_122,0,0,0,0
10.1038_s41598-021-87639-4.pdf,53449,iron_pnictide_122;cuprate,1,1,1,0
10.1038_s41598-025-17434-y.pdf,52257,cuprate,0,0,0,0
10.1038_s41598-021-82046-1.pdf,27664,cuprate,1,0,0,0
10.1007_s10832-026-00459-8.pdf,66145,cuprate,0,0,0,0
10.1038_s42005-025-02118-w.pdf,37081,iron_chalcogenide_11,0,0,0,0
10.1038_s41467-024-50590-9.pdf,51072,iron_chalcogenide_11;cuprate,0,0,0,0
10.1007_s10854-024-13016-2.pdf,57457,cuprate,0,0,0,0
10.1038_s43246-025-01054-0.pdf,59293,iron_chalcogenide_11;iron_pnictide_122;cuprate,0,1,0,0
10.1038_srep13466.pdf,41820,,0,0,0,0
10.1038_s41535-021-00385-8.pdf,43929,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
10.1038_s42005-025-02345-1.pdf,47772,iron_chalcogenide_11,0,0,0,0
10.1038_s41598-025-24806-x.pdf,56291,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,1,1,1,0
10.1038_s41586-023-06977-7.pdf,45279,,0,0,0,0
10.1038_s41524-023-01084-7.pdf,54906,iron_chalcogenide_11;MgB2_class,0,0,0,0
10.1038_s41598-020-65224-5.pdf,49588,iron_chalcogenide_11;iron_pnictide_122;cuprate,0,0,0,0
10.1038_s41467-026-69635-2.pdf,38209,iron_chalcogenide_11,0,0,0,0
10.1007_s10948-025-06933-8.pdf,29264,MgB2_class;cuprate,0,0,0,0
10.1038_s41467-020-18041-3.pdf,48676,iron_pnictide_122;cuprate,0,0,0,0
10.1038_s41467-025-67886-z.pdf,53779,,0,0,0,0
10.1007_s10854-026-16870-4.pdf,58130,iron_chalcogenide_11;MgB2_class,0,0,0,0
10.1007_s40820-026-02139-2.pdf,141177,,0,0,0,0
10.1038_srep36047.pdf,38325,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,0,1,0,0
10.1038_s41467-025-62624-x.pdf,50920,iron_chalcogenide_11;cuprate,0,0,0,0
10.1038_s41427-024-00579-z.pdf,62180,MgB2_class;cuprate,0,1,0,0
10.1007_s10948-026-07138-3.pdf,48982,MgB2_class;cuprate,0,0,0,0
10.1038_ncomms13036.pdf,43635,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,1,1,1,0
10.1038_srep19462.pdf,40631,cuprate,0,0,0,0
10.1007_s00339-023-07245-1.pdf,35690,cuprate,0,0,0,0
10.1186_s40580-026-00536-2.pdf,163612,iron_chalcogenide_11;iron_pnictide_122;cuprate,0,0,0,0
10.1186_s11671-026-04479-9.pdf,136563,MgB2_class;cuprate,0,0,0,0
10.1038_s41597-025-06222-y.pdf,46908,cuprate,0,0,0,0
10.1038_srep16419.pdf,32921,cuprate,0,0,0,0
10.1007_s11432-024-4033-8.pdf,178840,cuprate,0,0,0,0
10.1007_978-3-030-57031-6_2.pdf,84552,,0,0,0,0
10.1038_s41598-022-24012-z.pdf,51237,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,1,1,1,0
10.1038_ncomms10064.pdf,38057,cuprate,0,0,0,0
10.1007_s43939-026-00637-z.pdf,30406,cuprate,0,0,0,0
10.1140_epjc_s10052-025-14295-7.pdf,115724,cuprate,0,0,0,0
10.1038_s41598-025-28578-2.pdf,37758,cuprate,0,0,0,0
10.1038_s41563-024-01952-7.pdf,53843,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,1,0,0
10.1038_s41598-022-24044-5.pdf,47304,iron_chalcogenide_11;cuprate,0,1,0,0
10.1038_s41467-025-58300-9.pdf,67786,iron_chalcogenide_11,0,0,0,0
10.1038_s41598-023-44751-x.pdf,36876,cuprate,0,0,0,0
10.1038_s41378-026-01226-z.pdf,66785,,0,0,0,0
10.1038_s41598-026-39303-y.pdf,50372,cuprate,0,0,0,0
10.1134_S0021364024600514.pdf,23131,cuprate,0,0,0,0
10.1038_srep32378.pdf,37158,cuprate,0,0,0,0
10.1038_s41427-024-00530-2.pdf,41452,cuprate,0,0,0,0
10.1038_s41699-024-00480-x.pdf,47896,iron_chalcogenide_11,0,0,0,0
10.1007_s43939-025-00305-8.pdf,127573,MgB2_class;cuprate,0,0,0,0
10.1038_s42005-023-01286-x.pdf,30045,iron_chalcogenide_11,0,0,0,0
10.1038_s41586-026-10441-7.pdf,35174,cuprate,0,0,0,0
10.1038_s41699-026-00670-9.pdf,63009,iron_chalcogenide_11,0,0,0,0
10.1038_s41535-022-00493-z.pdf,47264,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
10.1038_s41535-023-00556-9.pdf,62580,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
10.1038_s41467-025-68068-7.pdf,51418,iron_chalcogenide_11;cuprate,0,0,0,0
10.1038_srep26671.pdf,28795,iron_chalcogenide_11;iron_pnictide_122;iron_pnictide_1111,0,1,0,0
10.1038_s41586-025-10095-x.pdf,109125,cuprate,0,0,0,0
10.1038_s42005-025-01971-z.pdf,42502,cuprate,0,0,0,0
10.1038_s41598-022-19026-6.pdf,47908,iron_chalcogenide_11,0,0,0,0
10.1007_s10854-026-16845-5.pdf,65980,cuprate,1,1,1,0
10.1007_s00466-022-02185-8.pdf,48609,,0,0,0,0
10.1038_s42005-026-02564-0.pdf,43719,cuprate,0,0,0,0
10.1007_s10439-026-04112-x.pdf,89673,,0,0,0,0
10.1038_s42005-025-02253-4.pdf,66528,MgB2_class;cuprate,0,0,0,0
10.1007_s10854-025-14598-1.pdf,52088,MgB2_class,0,0,0,0
10.1038_srep23044.pdf,26326,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,0,1,0,0
10.1038_s43246-026-01081-5.pdf,42068,iron_chalcogenide_11,0,0,0,0
10.1007_s10971-026-07150-y.pdf,103086,,0,0,0,0
10.1007_s10948-026-07159-y.pdf,45011,cuprate,0,0,0,0
10.1038_s41467-025-67503-z.pdf,58215,cuprate,0,0,0,0
10.1038_s41524-023-01131-3.pdf,46657,iron_pnictide_122;MgB2_class;cuprate,0,0,0,0
10.1038_s41598-021-86563-x.pdf,64018,,0,0,0,0
10.1134_S0021364024604597.pdf,23223,iron_chalcogenide_11;iron_pnictide_122,1,0,0,0
10.1038_s41598-025-33641-z.pdf,55640,cuprate,0,0,0,0
10.1007_s10909-025-03350-y.pdf,102060,cuprate,0,0,0,0
10.1038_s41467-020-20529-x.pdf,44466,iron_chalcogenide_11,0,0,0,0
10.1038_s41467-025-64492-x.pdf,42287,cuprate,0,0,0,0
10.1038_s41378-026-01171-x.pdf,172645,,0,0,0,0
10.1038_s44172-025-00554-8.pdf,87190,MgB2_class;cuprate,0,0,0,0
10.1038_srep08213.pdf,29121,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,1,1,1,0
10.1007_s10854-025-14655-9.pdf,50881,MgB2_class;cuprate,0,0,0,0
10.1007_s40145-016-0189-x.pdf,42962,MgB2_class;cuprate,0,0,0,0
10.1038_srep15849.pdf,24839,cuprate,0,0,0,0
10.1007_s10948-025-07115-2.pdf,48693,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;iron_pnictide_1111,0,1,0,0
10.1007_s43939-025-00411-7.pdf,31429,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,1,0,0,0
10.1038_s41535-026-00863-x.pdf,92590,MgB2_class;cuprate,0,0,0,0
10.1038_s42003-025-09444-3.pdf,57305,,0,0,0,0
10.1007_s10909-026-03384-w.pdf,50529,iron_chalcogenide_11;cuprate,0,0,0,0
10.1038_s41598-021-82325-x.pdf,45002,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
10.1038_s41598-025-95932-9.pdf,54310,cuprate,0,1,0,0
10.1038_s41567-026-03216-4.pdf,63743,iron_chalcogenide_11;cuprate,0,0,0,0
10.1007_s44214-022-00005-x.pdf,29484,iron_chalcogenide_11;cuprate,0,0,0,0
10.1038_srep35797.pdf,29593,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
10.1038_srep25962.pdf,34369,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
10.1038_s41535-024-00688-6.pdf,36732,cuprate,0,0,0,0
10.1038_srep15268.pdf,39222,cuprate,0,0,0,0
10.1038_s41598-024-59829-3.pdf,46564,cuprate,0,1,0,0
10.1007_s13369-024-08720-4.pdf,24527,cuprate,0,0,0,0
10.1038_s42005-023-01250-9.pdf,61687,cuprate,0,0,0,0
10.1007_s43673-025-00152-y.pdf,47171,iron_chalcogenide_11;cuprate,0,0,0,0
10.1038_ncomms13074.pdf,47247,iron_pnictide_122;cuprate,0,0,0,0
10.1186_s43088-024-00550-5.pdf,46005,iron_pnictide_122;cuprate,0,0,0,0
10.1007_s40766-025-00071-6.pdf,115475,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,0,0,0,0
10.1038_s42005-025-02278-9.pdf,43032,cuprate,0,0,0,0
10.3758_s13423-025-02758-7.pdf,67356,iron_chalcogenide_11,0,0,0,0
10.1038_s41557-026-02114-9.pdf,72395,,0,0,0,0
10.1134_S0021364026600667.pdf,44667,,0,0,0,0
10.1038_s41467-025-59517-4.pdf,36438,iron_chalcogenide_11,0,0,0,0
10.1007_978-3-030-16118-7_1.pdf,55923,,0,0,0,0
10.1007_s44214-025-00090-8.pdf,31674,iron_chalcogenide_11;cuprate;iron_pnictide_1111,0,0,0,0
10.1007_s10854-026-16566-9.pdf,60813,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,1,1,1,0
10.1038_s43246-025-00788-1.pdf,43745,,0,0,0,0
10.1038_s41467-021-23487-0.pdf,40077,cuprate,0,0,0,0
10.1038_s42005-025-02442-1.pdf,54112,iron_chalcogenide_11,0,0,0,0
10.1007_s44214-025-00098-0.pdf,86272,iron_chalcogenide_11,0,0,0,0
10.1007_s40145-015-0177-6.pdf,33138,cuprate,0,1,0,0
10.1007_s10971-025-07063-2.pdf,101304,cuprate,0,0,0,0
10.1007_s10853-026-12546-w.pdf,73358,MgB2_class;cuprate,0,0,0,0
10.1007_978-3-030-16118-7_5.pdf,59943,,0,0,0,0
10.1007_s42114-025-01454-3.pdf,151476,MgB2_class;cuprate,0,0,0,0
10.1038_s41598-023-43424-z.pdf,60904,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate,0,1,0,0
10.1038_s41427-022-00396-2.pdf,37545,iron_chalcogenide_11;MgB2_class;cuprate,0,0,0,0
10.1186_s43094-025-00789-4.pdf,119680,MgB2_class,0,0,0,0
10.1038_s41598-026-50969-2.pdf,91561,,0,0,0,0
10.1038_s42005-021-00789-9.pdf,71869,iron_chalcogenide_11;iron_pnictide_122;cuprate,0,0,0,0
