arxiv_id,compound_formula,sample_form,synthesis_method,doping_or_composition,tc_K,hc2_T,temperature_K,field_T,Jc_A_per_cm2,figure_id,notes,primary_scan_direction,fixed_axis_value,extraction_method,confidence
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,2.0,0.5,3162277.6,vision_pass_curve_1,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,2.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,2.0,5.0,1000000.0,vision_pass_curve_1,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,2.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,2.0,15.0,316227.8,vision_pass_curve_1,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,2.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,2.0,25.0,100000.0,vision_pass_curve_1,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,2.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,2.0,50.0,31622.8,vision_pass_curve_1,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,2.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,5.0,0.5,1778279.4,vision_pass_curve_2,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,5.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,5.0,5.0,562341.3,vision_pass_curve_2,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,5.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,5.0,15.0,177827.9,vision_pass_curve_2,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,5.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,5.0,25.0,56234.1,vision_pass_curve_2,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,5.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,5.0,50.0,17782.8,vision_pass_curve_2,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,5.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,7.5,0.5,1333521.3,vision_pass_curve_3,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,7.5,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,7.5,5.0,501187.2,vision_pass_curve_3,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,7.5,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,7.5,15.0,149623.5,vision_pass_curve_3,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,7.5,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,7.5,25.0,50118.7,vision_pass_curve_3,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,7.5,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,7.5,50.0,15848.9,vision_pass_curve_3,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,7.5,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,10.0,0.5,1122018.4,vision_pass_curve_4,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,10.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,10.0,5.0,398107.2,vision_pass_curve_4,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,10.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,10.0,15.0,125892.5,vision_pass_curve_4,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,10.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,10.0,25.0,39810.7,vision_pass_curve_4,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,10.0,vision_pass,High
elsevier_10.1016_j.physc.2010.03.003,FeTe0.61Se0.39,single_crystal,unknown,FeTe0.61Se0.39,14.0,47.0,10.0,50.0,12589.3,vision_pass_curve_4,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=FeTe0.61Se0.39; orient=H//c; method=magnetization,H,10.0,vision_pass,High
