arxiv_id,compound_formula,sample_form,synthesis_method,doping_or_composition,tc_K,hc2_T,temperature_K,field_T,Jc_A_per_cm2,figure_id,notes,primary_scan_direction,fixed_axis_value,extraction_method,confidence
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,2.0,0.0,1000000.0,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,2.0,vision_pass_round3,High
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,2.0,1.0,951229.42,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,2.0,vision_pass_round3,High
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,2.0,2.0,912010.23,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,2.0,vision_pass_round3,High
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,2.0,5.0,823483.48,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,2.0,vision_pass_round3,High
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,2.0,10.0,719245.76,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,2.0,vision_pass_round3,High
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,2.0,15.0,637216.0,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,2.0,vision_pass_round3,High
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,2.0,20.0,560162.4,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,2.0,vision_pass_round3,High
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,2.0,30.0,425183.1,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,2.0,vision_pass_round3,High
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,2.0,40.0,336309.52,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,2.0,vision_pass_round3,High
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,2.0,50.0,262720.48,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,2.0,vision_pass_round3,High
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,3.0,0.0,1000000.0,vision_pass_round3_curve_2,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,3.0,vision_pass_round3,High
elsevier_10.1016_j.physc.2010.05.048,FeTeSe,single_crystal,unknown,FeTe0.59Se0.41,14.0,47.0,3.0,1.0,912585.24,vision_pass_round3_curve_2,Round 3 disambiguation-aware vision-pass; sample=FeTe0.59Se0.41; orient=H//c; method=magnetization; sample_tc_used=14.0K,H,3.0,vision_pass_round3,High
