arxiv_id,compound_formula,sample_form,synthesis_method,doping_or_composition,tc_K,hc2_T,temperature_K,field_T,Jc_A_per_cm2,figure_id,notes,primary_scan_direction,fixed_axis_value,extraction_method,confidence
springer_10.1038_s41467-025-55880-4,Bi2.1Sr1.9CaCu2O8,thin_film,unknown,s1,85.0,100.0,53.0,0.01,310000.0,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=s1; orient=unspecified; method=transport; sample_tc_used=85.0K,H,53.0,vision_pass_round3,High
springer_10.1038_s41467-025-55880-4,Bi2.1Sr1.9CaCu2O8,thin_film,unknown,s1,85.0,100.0,53.0,0.05,290000.0,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=s1; orient=unspecified; method=transport; sample_tc_used=85.0K,H,53.0,vision_pass_round3,High
springer_10.1038_s41467-025-55880-4,Bi2.1Sr1.9CaCu2O8,thin_film,unknown,s1,85.0,100.0,53.0,0.1,270000.0,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=s1; orient=unspecified; method=transport; sample_tc_used=85.0K,H,53.0,vision_pass_round3,High
springer_10.1038_s41467-025-55880-4,Bi2.1Sr1.9CaCu2O8,thin_film,unknown,s1,85.0,100.0,53.0,0.15,260000.0,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=s1; orient=unspecified; method=transport; sample_tc_used=85.0K,H,53.0,vision_pass_round3,High
springer_10.1038_s41467-025-55880-4,Bi2.1Sr1.9CaCu2O8,thin_film,unknown,s1,85.0,100.0,53.0,0.2,250000.0,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=s1; orient=unspecified; method=transport; sample_tc_used=85.0K,H,53.0,vision_pass_round3,High
springer_10.1038_s41467-025-55880-4,Bi2.1Sr1.9CaCu2O8,thin_film,unknown,s1,85.0,100.0,53.0,0.25,240000.0,vision_pass_round3_curve_1,Round 3 disambiguation-aware vision-pass; sample=s1; orient=unspecified; method=transport; sample_tc_used=85.0K,H,53.0,vision_pass_round3,High
springer_10.1038_s41467-025-55880-4,Bi2.1Sr1.9CaCu2O8,thin_film,unknown,s2,85.0,100.0,53.0,0.01,295000.0,vision_pass_round3_curve_2,Round 3 disambiguation-aware vision-pass; sample=s2; orient=unspecified; method=transport; sample_tc_used=85.0K,H,53.0,vision_pass_round3,High
springer_10.1038_s41467-025-55880-4,Bi2.1Sr1.9CaCu2O8,thin_film,unknown,s2,85.0,100.0,53.0,0.05,275000.0,vision_pass_round3_curve_2,Round 3 disambiguation-aware vision-pass; sample=s2; orient=unspecified; method=transport; sample_tc_used=85.0K,H,53.0,vision_pass_round3,High
springer_10.1038_s41467-025-55880-4,Bi2.1Sr1.9CaCu2O8,thin_film,unknown,s2,85.0,100.0,53.0,0.1,255000.0,vision_pass_round3_curve_2,Round 3 disambiguation-aware vision-pass; sample=s2; orient=unspecified; method=transport; sample_tc_used=85.0K,H,53.0,vision_pass_round3,High
springer_10.1038_s41467-025-55880-4,Bi2.1Sr1.9CaCu2O8,thin_film,unknown,s2,85.0,100.0,53.0,0.15,245000.0,vision_pass_round3_curve_2,Round 3 disambiguation-aware vision-pass; sample=s2; orient=unspecified; method=transport; sample_tc_used=85.0K,H,53.0,vision_pass_round3,High
springer_10.1038_s41467-025-55880-4,Bi2.1Sr1.9CaCu2O8,thin_film,unknown,s2,85.0,100.0,53.0,0.2,240000.0,vision_pass_round3_curve_2,Round 3 disambiguation-aware vision-pass; sample=s2; orient=unspecified; method=transport; sample_tc_used=85.0K,H,53.0,vision_pass_round3,High
