compound,source,phase_f_filename,sample_form_raw,sample_form_canonical,n_data_points,n_distinct_T,log_Jc_0,beta_T,rms,physical_beta_T
MgB2,phase_f,MgB2__0103521__vision.json,bulk,bulk,6,6,6.281493710225744,1.0347279507168996,0.04009484409674597,True
MgB2,phase_f,MgB2__0104230__vision.json,thin_film,thin_film,6,5,7.048327448987142,0.5919975099180466,0.034501565412899726,True
MgB2,phase_f,MgB2__0106148__vision.json,wire,wire,4,4,5.769003745995284,1.139608468497162,0.10316375673983777,True
MgB2,phase_f,MgB2__0108265__vision.json,bulk,bulk,7,7,6.000000000000087,3.1394961961933034e-13,6.33237133754286e-14,True
MgB2,phase_f,MgB2__0111585__vision.json,bulk,bulk,5,5,5.0996566909745615,0.30691728702334153,0.003117162324414817,True
MgB2,phase_f,MgB2__0201261__vision.json,wire,wire,3,3,5.030198073879346,0.011314328296753363,0.037230554663146266,True
MgB2,phase_f,MgB2__0204068__vision.json,bulk,bulk,3,3,6.142554690107085,2.3433492781663388,0.09550499103094273,True
MgB2,phase_f,MgB2__0211018__vision.json,single_crystal,single_crystal,5,5,6.3674581780398585,4.712783428806701,0.26887770223309726,False
MgB2,phase_f,MgB2__0306013__vision.json,bulk,bulk,4,4,6.134329559628694,1.4950293093918343,0.10608588870061632,True
MgB2,phase_f,MgB2__0306083__vision.json,wire,wire,3,3,5.312129335518075,0.5056969659843437,0.0639974336384013,True
MgB2,phase_f,MgB2__0311055__vision.json,thin_film,thin_film,3,3,7.0890793121089235,1.4682745728327746,0.002073411753746545,True
MgB2,phase_f,MgB2__0311425__vision.json,tape,tape,6,6,5.553536579168192,1.6728753466053201,0.47409402118869287,True
MgB2,phase_f,MgB2__1102.5625__vision.json,thin_film,thin_film,3,3,6.700123027754136,2.6308428835722526,0.09081876829950816,True
MgB2,h1b_v3,MgB2__0203322__vision.json,thin_film,thin_film,6,6,6.46308111607236,2.6056142410638614,0.10066943503418783,True
MgB2,h1b_v3,MgB2__0204362__vision.json,bulk,bulk,4,3,6.127005444089206,2.315112719794031,0.08339623670869285,True
MgB2,h1b_v3,MgB2__1412.2265__vision.json,thin_film,thin_film,3,3,6.976483858274657,0.2106337900119958,0.005450010500548008,True
YBa2Cu3O7,phase_f,YBa2Cu3O7__0305020__vision.json,melt_textured_bulk,melt_textured_bulk,4,4,5.961067667261752,-0.002613505585757086,0.039981424912411495,True
YBa2Cu3O7,phase_f,YBa2Cu3O7__0606306__vision.json,thin_film,thin_film,3,3,6.519871867112061,0.030656566250289112,0.025733407636318775,True
YBa2Cu3O7,targeted_v2,YBa2Cu3O7__0102081__vision.json,thin_film,thin_film,3,3,7.7162113331255755,1.9823606636010622,0.25044743559470406,True
YBa2Cu3O7,targeted_v2,YBa2Cu3O7__0406620__vision.json,thin_film,thin_film,6,3,6.105615407211199,0.30489074217763634,0.05206817395005513,True
YBa2Cu3O7,targeted_v2,YBa2Cu3O7__0501461__vision.json,thin_film,thin_film,3,3,7.501597180505319,1.2962194899958914,0.16620483168198646,True
YBa2Cu3O7,targeted_v2,YBa2Cu3O7__0506059__vision.json,thin_film,thin_film,3,3,6.917244885053906,1.5554597575507076,0.036474799525641984,True
