compound,orientation,arxiv_id,n_pts,n_pts_used,fit_status,Hc2_0_T,Hc2_0_se_T,rmse_T,Tc_fixed_K,T_min_K,T_max_K
FeSe,ab_plane,1204.1549,3,2,TOO_FEW_BELOW_TC,,,,9.0,,
FeSe,ab_plane,1411.3664,4,4,OK,20.724,4.35,4.507,9.0,2.0,8.0
FeSe,ab_plane,1602.03948,6,1,TOO_FEW_BELOW_TC,,,,9.0,,
FeSe,ab_plane,2310.19241,4,2,TOO_FEW_BELOW_TC,,,,9.0,,
FeSe,c_axis,1204.1549,3,2,TOO_FEW_BELOW_TC,,,,9.0,,
FeSe,c_axis,1411.3664,4,4,OK,10.362,2.175,2.253,9.0,2.0,8.0
FeSe,c_axis,1510.05753,4,4,OK,113.813,16.432,17.025,9.0,2.0,8.0
FeSe,c_axis,1602.03948,6,0,TOO_FEW_BELOW_TC,,,,9.0,,
FeSe,c_axis,2303.00846,5,5,OK,13.563,1.031,2.04,9.0,0.2,1.0
FeSe,c_axis,2310.19241,4,0,TOO_FEW_BELOW_TC,,,,9.0,,
FeSe,isotropic,0807.4315,6,4,OK,58.716,11.514,15.948,9.0,0.0,5.0
FeSe,isotropic,1406.3795,5,2,TOO_FEW_BELOW_TC,,,,9.0,,
FeSe,isotropic,1606.08201,3,3,OK,130.295,7.739,2.979,9.0,6.0,8.0
MgB2,ab_plane,0204004,3,3,OK,11.365,1.615,1.416,38.5,10.0,30.0
MgB2,c_axis,0204004,3,3,OK,8.051,0.803,0.704,38.5,10.0,30.0
MgB2,isotropic,0103176,5,5,OK,3.003,0.707,1.413,38.5,0.6,1.0
MgB2,isotropic,0104395,7,7,OK,14.114,0.268,0.415,38.5,5.0,35.0
MgB2,isotropic,0111585,3,3,OK,19.037,2.548,2.234,38.5,10.0,30.0
MgB2,isotropic,0311055,3,3,OK,15.012,1.058,0.644,38.5,20.0,30.0
MgB2,isotropic,0607350,6,6,OK,6.005,0.763,1.706,38.5,0.5,1.0
MgB2,isotropic,0612472,3,3,OK,17.524,5.261,2.714,38.5,20.0,35.0
MgB2,isotropic,0701391,4,4,OK,42.745,6.525,8.203,38.5,4.2,30.0
MgB2,isotropic,0708.3883,3,2,TOO_FEW_BELOW_TC,,,,38.5,,
MgB2,isotropic,0903.3858,5,5,OK,17.495,2.763,2.003,38.5,20.0,36.0
MgB2,isotropic,1001.5099,5,5,OK,6.003,1.414,2.827,38.5,0.3,0.7
MgB2,isotropic,1102.5573,4,4,OK,14.636,0.519,0.65,38.5,5.0,30.0
MgB2,isotropic,1108.5775,4,4,OK,18.484,4.53,4.23,38.5,10.0,35.0
MgB2,parallel,0603566,5,5,OK,18.235,0.737,0.535,38.5,20.0,36.0
Nb3Sn,isotropic,0410463,4,3,OK,39.769,14.782,12.641,18.0,4.2,16.0
Nb3Sn,isotropic,0511560,5,4,OK,86.647,22.028,13.508,18.0,10.0,16.0
Nb3Sn,isotropic,0606303,3,3,OK,46.938,12.368,10.667,18.0,4.2,15.0
Nb3Sn,isotropic,0608404,3,3,OK,39.181,9.751,8.41,18.0,4.2,15.0
Nb3Sn,isotropic,1102.5118,5,4,OK,33.94,7.332,9.079,18.0,0.3,15.0
Nb3Sn,isotropic,1311.6901,9,9,OK,28.701,3.53,6.952,18.0,0.0,16.0
Nb3Sn,isotropic,1408.0353,3,3,OK,43.039,13.339,11.137,18.0,5.0,15.0
Nb3Sn,isotropic,1504.05366,4,4,OK,31.893,2.243,2.825,18.0,0.0,15.0
SmFeAsO,ab_plane,1401.5611,3,2,TOO_FEW_BELOW_TC,,,,51.48,,
SmFeAsO,c_axis,0902.1066,3,2,TOO_FEW_BELOW_TC,,,,51.48,,
SmFeAsO,c_axis,1401.5611,3,1,TOO_FEW_BELOW_TC,,,,51.48,,
SmFeAsO,isotropic,0806.2451,3,3,OK,36.293,8.267,1.907,51.48,40.0,50.0
SmFeAsO,isotropic,0806.2839,4,4,OK,20.066,14.163,5.688,51.48,35.0,50.0
SmFeAsO,isotropic,0904.3625,4,3,OK,45.206,18.343,4.498,51.48,40.0,48.0
SmFeAsO,isotropic,1210.6959,3,3,OK,60.276,6.537,6.85,51.48,10.0,30.0
SmFeAsO,perpendicular,0906.3114,3,3,OK,262.276,159.542,71.934,51.48,30.0,50.0
SmFeAsO,polycrystalline_avg,1303.4163,4,4,OK,8.455,0.686,1.187,51.48,0.85,1.0
