framing,substructure,n_papers,beta_H_mean,beta_H_median,mean_chi_mean,max_chi_mean,var_chi_mean,ionic_fraction_mean,beta_T_mean,beta_T_median
H_irr_or_empirical,conventional_AlB2,20,2.372029192862833,2.2135742369211506,1.7826666666666668,2.04,0.11442162222222219,0.11385206511840948,,
H_irr_or_empirical,cuprate_BSCCO,20,29.999999414399127,29.99999999445604,2.255930769230769,3.44,0.9383803590236687,0.4476014665482664,,
H_irr_or_empirical,cuprate_LSCO,5,5.831442100940093,5.49680351131837,2.415714285714286,3.44,1.4010244897959183,0.6519396214176937,,
H_irr_or_empirical,cuprate_RBCO,3,29.999999931417687,29.99999999189082,1.8500000000000003,3.44,1.2821999999999998,0.512796562979403,,
H_irr_or_empirical,iron_chalcogenide_11,51,9.152818344736753,2.2592124244178735,2.325,2.55,0.0506249999999999,0.0493649081413014,,
H_irr_or_empirical,iron_pnictide_1111,22,6.195443163650234,1.4992151713139563,2.2792866807610994,3.9063636363636363,1.420364498229018,0.684802904317194,,
H_irr_or_empirical,iron_pnictide_122,38,1.4597758293280645,0.5905290818691102,1.1989034922230404,1.7410526315789472,0.1674568150358459,0.19012135409130532,,
Hc2,iron_chalcogenide_11,2,3.3668910450485745,3.3668910450485745,2.325,2.55,0.0506249999999999,0.0493649081413014,,
Hc2,iron_pnictide_1111,4,20.01559227688834,24.462854452397195,2.32385,3.98,1.42378101,0.6834589590796776,,
Hc2,iron_pnictide_122,3,5.045925751182828,5.803576752277707,1.1117339544513456,1.9933333333333327,0.1848139615723415,0.2636447634333462,,
Cohort_A_beta_T,conventional_AlB2,15,,,1.7966666666666669,2.04,0.1184222222222222,0.124731865378405,1.2221329767916846,1.139608468497162
Cohort_A_beta_T,cuprate_RBCO,6,,,2.708,3.44,1.257516,0.7068225484767297,0.8611622856649715,0.8005551160867639
