substructure,sample_form,n_anchor_records,log10_Jc_anchor_mean,log10_Jc_anchor_median,log10_Jc_anchor_std,log10_Jc_anchor_ci_lo_95,log10_Jc_anchor_ci_hi_95,low_confidence_flag
conventional_AlB2,bulk,10,5.272400311224329,5.204417236881945,0.29558724093015,5.089193441213982,5.455607181234677,False
conventional_AlB2,wire,12,5.457177807391897,5.30175335281503,0.35525736925245316,5.256172028377785,5.658183586406009,False
cuprate_BSCCO,bulk,8,5.190913876136957,5.176091259055681,1.3124270090475219,4.281448358985274,6.10037939328864,False
cuprate_BSCCO,thin_film,1,6.477121254719663,6.477121254719663,0.0,,,True
cuprate_LSCO,bulk,5,3.245339361042501,3.278753600952829,0.09566583815119852,3.1614845566881167,3.3291941653968857,False
cuprate_RBCO,bulk,3,4.764939603160895,4.778151250383644,0.029335438714175155,4.731743429221582,4.7981357771002076,False
iron_chalcogenide_11,polycrystal,2,4.849485002168009,4.849485002168009,0.15051499783199063,4.640881857918942,5.058088146417076,True
iron_chalcogenide_11,single_crystal,5,6.071128610044174,6.176091259055681,0.25809196498309595,5.844901028209884,6.297356191878464,False
iron_chalcogenide_11,thin_film,14,5.869562812702428,5.99906639158828,0.4109535437756257,5.654292181925968,6.084833443478888,False
iron_pnictide_1111,polycrystal,15,5.018244942063597,5.019966722129785,0.7447712492733297,4.641338687094756,5.395151197032438,False
iron_pnictide_1111,single_crystal,4,6.073243250788686,6.047730720195054,0.31669080152285356,5.76288626529629,6.383600236281083,False
iron_pnictide_1111,thin_film,4,5.850771013531368,6.306566642652643,1.0362201597874885,4.83527525693963,6.866266770123106,False
iron_pnictide_122,polycrystal,1,5.903089986991944,5.903089986991944,0.0,,,True
iron_pnictide_122,single_crystal,12,5.966637735884414,6.048455006504028,0.22601464067474716,5.8387579145227395,6.094517557246089,False
iron_pnictide_122,thin_film,2,6.301057842677446,6.301057842677446,0.546794471160684,5.543239368870304,7.0588763164845885,True
iron_pnictide_122,wire,1,4.698970004336019,4.698970004336019,0.0,,,True
other_unclassified,single_crystal,2,4.889075625191822,4.889075625191822,0.11092437480817807,4.73534228504537,5.042808965338274,True
other_unclassified,thin_film,2,6.635770897588133,6.635770897588133,0.11141887834951936,6.48135221049917,6.790189584677095,True
