cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,fixed_axis,fixed_axis_value,n_pts,n_distinct,H_axis_range_normalized,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,source
B,elsevier_10.1016_j.tsf.2010.03.129,LaFeAsO0.9F0.1,polycrystal,LaFeAsO0.9F0.1,26.0,60.0,T,5.0,5,5,0.065,29.681824915463952,0.8436448025549008,3.97151737245738,0.015393272375477347,0.01518580664820881,True,H_axis_applicability_bound,Substep_C_jcH
B,elsevier_10.1016_j.mtphys.2021.100414,CeFeAsO_pressure,polycrystal,CeFeAsO_pressure,41.0,60.0,T,2.0,5,5,0.06666666666666667,13.121459614511219,0.23088123342140543,5.097460348011335,0.005741530171441038,0.004310708865781361,True,H_axis_applicability_bound,Substep_C_jcH
B,elsevier_10.1016_j.jallcom.2024.173999,FeSe,single_crystal,Fe0.94Te0.6Se0.4,9.0,16.0,T,4.5,8,8,0.46875,1.1209209036388876,0.11679576776791077,6.284373350644505,0.02027808995177003,0.02824685535169856,True,ok,Substep_C_jcH
B,elsevier_10.1016_j.jallcom.2024.173999,FeSe,single_crystal,Fe0.94Te0.6Se0.4,9.0,16.0,T,6.0,8,8,0.46875,1.2221424004173824,0.13206128945725668,6.263470682627041,0.022928489738857714,0.031938789764033096,True,ok,Substep_C_jcH
B,elsevier_10.1016_j.jallcom.2024.173999,FeSe,single_crystal,Fe0.94Te0.6Se0.4,9.0,16.0,T,8.0,7,7,0.40625,1.1281758818149263,0.13432824456711873,6.224554682920597,0.01969850603974121,0.02522742956936857,True,ok,Substep_C_jcH
B,elsevier_10.1016_j.jallcom.2024.173999,FeSe,single_crystal,Fe0.94Te0.6Se0.4,9.0,16.0,T,10.0,7,7,0.40625,1.4999100243131795,0.2273094397024926,6.2143015387320695,0.03333369224864217,0.04268970892528926,True,ok,Substep_C_jcH
B,elsevier_10.1016_j.physc.2009.03.048,PrFeAsO0.94F0.06,single_crystal,PrFeAsO0.94F0.06,50.0,70.0,T,2.0,5,5,0.09285714285714286,15.76482198512029,0.8902297369657468,4.7098908746757004,0.02163821607425798,0.024030208090199155,True,H_axis_applicability_bound,Substep_C_jcH
B,elsevier_10.1016_j.physc.2009.03.048,PrFeAsO0.94F0.06,single_crystal,PrFeAsO0.94F0.06,50.0,70.0,T,5.0,5,5,0.09285714285714286,20.966031635727994,0.7159649665979929,4.674896473445658,0.01740247895748487,0.019326232478346257,True,H_axis_applicability_bound,Substep_C_jcH
B,elsevier_10.1016_j.physc.2009.03.048,PrFeAsO0.94F0.06,single_crystal,PrFeAsO0.94F0.06,50.0,70.0,T,15.0,5,5,0.09285714285714286,27.042235929959652,3.948255497788915,4.139625758961119,0.09596759433785768,0.10657630662157062,True,H_axis_applicability_bound,Substep_C_jcH
B,elsevier_10.1038_srep22278,CaFe2As2,single_crystal,Ca0.8La0.2Fe1-xCoxAs2,12.0,50.0,T,5.0,5,5,0.11,9.88317001333374,0.4634989273976428,5.0384436828726145,0.014366727577808925,0.015222956038213187,True,H_axis_applicability_bound,Substep_C_jcH
B,elsevier_10.1038_srep22278,CaFe2As2,single_crystal,Ca0.8La0.2Fe1-xCoxAs2,12.0,50.0,T,20.0,5,5,0.11,9.370205923633709,0.5983525948335241,6.016714613349345,0.01854668798069411,0.01965203324064369,True,H_axis_applicability_bound,Substep_C_jcH
B,elsevier_10.1038_s41598-021-86728-8,CaFe2As2,single_crystal,CaFe2As2,12.0,50.0,T,2.5,9,9,0.16,1.7565910818935897,1.340538842839715,5.508112520409245,0.0593224782585607,0.08664655308859802,True,H_axis_applicability_bound,Substep_C_jcH
B,elsevier_10.1016_j.physc.2010.09.012,NdFeAsO0.7F0.3,polycrystal,AP,50.0,70.0,T,20.0,5,5,0.021414285714285716,29.9999999987203,41.082244775789974,4.038468332822705,0.1791524591419715,0.25339237812005655,True,H_axis_applicability_bound,Substep_C_jcH
B,elsevier_10.1016_j.physc.2010.09.012,NdFeAsO0.7F0.3,polycrystal,HP,50.0,70.0,T,20.0,5,5,0.021414285714285716,29.99999999997577,61.15316254237097,4.354919450752641,0.26667822278786046,0.37718834834443654,True,H_axis_applicability_bound,Substep_C_jcH
B,elsevier_10.1016_j.physc.2015.03.022,NdFeAsO0.7F0.3,thin_film,"NdFeAs(O,F)/MgO thin film",50.0,70.0,T,4.0,6,6,0.12857142857142856,8.612519358891701,0.5652735437213361,6.497427287389757,0.021495650813073378,0.02393364550419994,True,H_axis_applicability_bound,Substep_C_jcH
B,elsevier_10.1016_j.physc.2014.09.015,CeFeAsO0.9F0.1,polycrystal,CeFeAsO0.9F0.1,41.0,60.0,T,5.0,6,6,0.09983333333333334,9.842627061183238,1.323904909924882,4.075978257441839,0.030869638014018166,0.04382598232995652,True,H_axis_applicability_bound,Substep_C_jcH
A,elsevier_10.1016_j.mtphys.2021.100414,CeFeAsO_pressure,polycrystal,CeFeAsO_pressure,41.0,,H,1.0,5,5,0.6097560975609756,1.058967845292799,0.03465376551726929,5.296909527353616,0.011962882639830178,0.011267903086317815,True,ok,Substep_C_jcT
A,elsevier_10.1016_j.physc.2014.09.015,CeFeAsO0.9F0.1,polycrystal,CeFeAsO0.9F0.1,41.0,,H,1.0,4,4,0.6097560975609756,1.0572584579888389,0.006231299000423681,4.207464812436326,0.002040332064458407,0.0017543199345079728,True,ok,Substep_C_jcT
