compound,substructure_family,MP_id,source_bucket,paper_id,Tc_K,tier,Hc2_T,Hc2_provenance,Hc2_anchor_type,n_viable_predictions,emits_predictions,predicted_log_Jc_min,predicted_log_Jc_median,predicted_log_Jc_max,median_CI_width_dex,ghost_row_removed,refusal_detail
B2Mg0.988Sc0.012,conventional_AlB2,mp-763,A1,,41.4,high_confidence,15.5,project_infrastructure_parent,parent,2,yes,4.707398357548378,4.844536801818492,4.981675246088607,0.6850786549214596,no,
B2Mg0.98Sc0.02,conventional_AlB2,mp-763,A1,,39.0,high_confidence,15.5,project_infrastructure_parent,parent,2,yes,4.676860370036109,4.828786405713361,4.980712441390612,0.6986438406935447,no,
MgB2,conventional_AlB2,,A2,elsevier_10.1016_j.matpr.2019.05.078_VISION_PASS_LONG,39.0,high_confidence,15.5,project_infrastructure_exact,exact,6,yes,4.675808019663427,4.830282693133306,4.981543337214,0.4914154524819301,no,
MgB2,conventional_AlB2,,A2,elsevier_10.1016_j.matpr.2019.05.078_VISION_PASS_LONG,39.0,high_confidence,15.5,project_infrastructure_exact,exact,6,yes,4.675808019663427,4.830282693133306,4.981543337214,0.4914154524819301,no,
MgB2,conventional_AlB2,,A2,elsevier_10.1016_j.matchemphys.2023.128348_VISION_PASS_LONG,39.0,high_confidence,15.5,project_infrastructure_exact,exact,6,yes,4.675808019663427,4.830282693133306,4.981543337214,0.4914154524819301,no,
Co0.05Fe0.95Se1,iron_chalcogenide_11,mp-20311,A1,,10.0,high_confidence,16.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe0.95Ni0.05Se1,iron_chalcogenide_11,mp-20311,A1,,10.0,high_confidence,16.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1S0.04Se0.96,iron_chalcogenide_11,mp-20311,A1,,9.58,high_confidence,16.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1S0.09Se0.91,iron_chalcogenide_11,mp-20311,A1,,10.1,high_confidence,16.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1S0.11Se0.89,iron_chalcogenide_11,mp-20311,A1,,10.7,high_confidence,16.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1S0.1Se0.9,iron_chalcogenide_11,mp-20311,A1,,10.27,high_confidence,16.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1S0.1Te0.9,iron_chalcogenide_11,mp-21273,A1,,10.0,high_confidence,47.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1Se0.075Te0.925,iron_chalcogenide_11,mp-21273,A1,,11.5,high_confidence,47.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1Se0.07Te0.93,iron_chalcogenide_11,mp-21273,A1,,8.2,high_confidence,47.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1Se0.1Te0.9,iron_chalcogenide_11,mp-21273,A1,,9.816666665,high_confidence,47.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1Se0.8,iron_chalcogenide_11,mp-20311,A1,,8.65,high_confidence,16.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1Se0.85,iron_chalcogenide_11,mp-20311,A1,,9.62,high_confidence,16.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1Se0.88,iron_chalcogenide_11,mp-20311,A1,,8.843333333,high_confidence,16.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1Se0.94,iron_chalcogenide_11,mp-20311,A1,,8.545,high_confidence,16.0,project_infrastructure_parent,parent,0,no,,,,,no,
Fe1Se0.98,iron_chalcogenide_11,mp-20311,A1,,8.105,high_confidence,16.0,project_infrastructure_parent,parent,0,no,,,,,no,
FeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.jallcom.2024.173999_PATH_AC_VISION_PASS_LONG,9.0,high_confidence,16.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.jallcom.2024.173999_PATH_AC_VISION_PASS_LONG,9.0,high_confidence,16.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.jallcom.2024.173999_PATH_AC_VISION_PASS_LONG,9.0,high_confidence,16.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.jallcom.2024.173999_PATH_AC_VISION_PASS_LONG,9.0,high_confidence,16.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSe1-xSx,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2016.05.023_VISION_PASS_LONG,9.0,high_confidence,30.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSe1-xSx,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2016.05.023_VISION_PASS_LONG,9.0,high_confidence,30.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSe1-xSx,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2016.05.023_VISION_PASS_LONG,9.0,high_confidence,30.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSe1-xSx,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2016.05.023_VISION_PASS_LONG,9.0,high_confidence,30.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSe1-xSx,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2016.05.023_VISION_PASS_LONG,9.0,high_confidence,30.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSeTe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.cjph.2024.09.042_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSeTe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.cjph.2024.09.042_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSeTe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.cjph.2024.09.042_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSeTe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.cjph.2024.09.042_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSeTe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.cjph.2024.09.042_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeSeTe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.cjph.2024.09.042_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeTe1-xSex,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2011.05.018_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeTe1-xSex,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2011.05.018_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeTeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2010.05.048_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeTeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2010.05.048_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeTeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2010.05.048_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeTeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2010.05.048_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeTeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2010.05.048_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeTeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2010.05.048_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeTeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2010.05.048_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
FeTeSe,iron_chalcogenide_11,,A2,elsevier_10.1016_j.physc.2010.05.048_VISION_PASS_LONG,14.0,high_confidence,47.0,project_infrastructure_exact,exact,0,no,,,,,no,
As1.7Eu1Fe2P0.3,iron_pnictide_122,mp-20890,A1,,23.0,high_confidence,,pending,pending,0,no,,,,,no,
As2Co0.22Eu1Fe1.78,iron_pnictide_122,mp-20890,A1,,21.0,high_confidence,,pending,pending,0,no,,,,,no,
As2Eu0.7Fe2Na0.3,iron_pnictide_122,mp-20890,A1,,32.0,high_confidence,,pending,pending,0,no,,,,,no,
As2Eu1Fe1.72Ir0.28,iron_pnictide_122,mp-20890,A1,,21.66666667,high_confidence,,pending,pending,0,no,,,,,no,
As2Eu1Fe1.78Ir0.22,iron_pnictide_122,mp-20890,A1,,21.0,high_confidence,,pending,pending,0,no,,,,,no,
As2Fe1.75Rh0.25Sr1,iron_pnictide_122,mp-4488,A1,,21.9,high_confidence,,pending,pending,0,no,,,,,no,
"Ba(Fe,Co)2As2",iron_pnictide_122,,A2,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG,22.0,high_confidence,50.0,project_infrastructure_exact,exact,0,no,,,,,no,
"Ba(Fe,Co)2As2",iron_pnictide_122,,A2,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG,22.0,high_confidence,50.0,project_infrastructure_exact,exact,0,no,,,,,no,
"Ba(Fe,Co)2As2",iron_pnictide_122,,A2,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG,22.0,high_confidence,50.0,project_infrastructure_exact,exact,0,no,,,,,no,
"Ba(Fe,Co)2As2",iron_pnictide_122,,A2,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG,22.0,high_confidence,50.0,project_infrastructure_exact,exact,0,no,,,,,no,
"Ba(Fe,Co)2As2",iron_pnictide_122,,A2,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG,22.0,high_confidence,50.0,project_infrastructure_exact,exact,0,no,,,,,no,
"Ba(Fe,Co)2As2",iron_pnictide_122,,A2,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG,22.0,high_confidence,50.0,project_infrastructure_exact,exact,0,no,,,,,no,
"Ba(Fe,Co)2As2",iron_pnictide_122,,A2,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG,22.0,high_confidence,50.0,project_infrastructure_exact,exact,0,no,,,,,no,
"Ba(Fe,Co)2As2",iron_pnictide_122,,A2,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG,22.0,high_confidence,50.0,project_infrastructure_exact,exact,0,no,,,,,no,
"Ba(Fe,Co)2As2",iron_pnictide_122,,A2,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG,22.0,high_confidence,50.0,project_infrastructure_exact,exact,0,no,,,,,no,
"Ba(Fe,Co)2As2",iron_pnictide_122,,A2,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG,22.0,high_confidence,50.0,project_infrastructure_exact,exact,0,no,,,,,no,
"Ba(Fe,Co)2As2",iron_pnictide_122,,A2,elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG,22.0,high_confidence,50.0,project_infrastructure_exact,exact,0,no,,,,,no,
