substructure,rank,compound_formula,MP_id,predicted_log_Jc_at_4p2K_1T,CI_95_lower,CI_95_upper,sample_form_commitment,Hc2_anchor_type,Hc2_deviation_flag,parent_match_uncertainty_envelope_dex
iron_chalcogenide_11,1,FeTeSe,,5.987002243956123,5.953623838005714,6.1674672941680795,single_crystal,exact,,
iron_chalcogenide_11,2,FeTe0.61Se0.39,,5.987002243956123,5.95328479070924,6.16467882911362,single_crystal,exact,,
iron_chalcogenide_11,3,Fe1S0.1Te0.9,mp-21273,5.986959380957325,5.953469432427636,6.164469506709773,single_crystal,c_parent,±20-50%,
iron_chalcogenide_11,4,Fe1S0.12Te0.88,mp-21273,5.9867929215522775,5.953309062217193,6.164469506709773,single_crystal,c_parent,±20-50%,
iron_chalcogenide_11,5,Fe1Se0.13Te0.87,mp-21273,5.986768516181872,5.953262222106843,6.165526731532781,single_crystal,c_parent,±20-50%,
iron_pnictide_122,1,BaFe2As2,,5.742471874037705,5.633269088054719,5.8014342528144525,single_crystal,exact,,
iron_pnictide_122,2,"Ba(Fe,Ru)2As2",,5.74198049185465,5.613205647321003,5.797807695371653,single_crystal,exact,,
iron_pnictide_122,3,"Ba(Fe,Co)2As2",,5.741937693097867,5.631409859572171,5.800272506712911,single_crystal,exact,,
iron_pnictide_122,4,As2Ba0.3Fe2K0.7,mp-35276,5.741819480489184,5.631757137162446,5.799488692629642,single_crystal,c_parent,±20-50%,
iron_pnictide_122,5,Ba(Fe1-xCox)2As2,,5.741601371428844,5.632900055196241,5.795963542353094,single_crystal,exact,,
conventional_AlB2,1,B2Mg0.96Mn0.04,mp-763,5.272728443466507,5.103261402338787,5.508175347598792,,c_parent,±20-50%,0.02454314924546086
conventional_AlB2,2,B2Li0.07Mg0.93,mp-763,5.271695840921429,5.102014001796972,5.50435276339558,,c_parent,±20-50%,0.02684329888985637
conventional_AlB2,3,Al0.044B2Mg0.956,mp-763,5.271544406272218,5.106563100257184,5.511386766736761,,c_parent,±20-50%,0.02545946454299841
conventional_AlB2,4,Al0.185B2Mg0.815,mp-763,5.271544406272218,5.102884623932617,5.506411368300817,,c_parent,±20-50%,0.026949763413773198
conventional_AlB2,5,B2Mg0.95Zr0.05,mp-763,5.271544406272218,5.106267801025989,5.506625722502818,,c_parent,±20-50%,0.02658364807292468
