identifier,compound,substructure_family,sample_form,Tc_anchor_K,Tc_provenance,Hc2_anchor_T,Hc2_provenance,n_Jc_points,contribution_flag
10.1016/j.physc.2013.04.060,MgB(2-x)Cx_x_0_0386,conventional_AlB2,wire,39.0,paper-reported (Cohort B extraction),10.5,Tier_1_direct_match_at_4.2K_term_H_irr_Birr,64,Cohort B only (β_H partial)
10.1016/j.jallcom.2023.170146,MgB2,conventional_AlB2,bulk,39.0,paper-reported (Cohort B extraction),5.0,Tier_1_direct_match_at_10.0K_term_H_irr_Birr,177,fully fittable
10.1016/j.matchemphys.2023.128348,MgB2,conventional_AlB2,bulk,39.0,paper-reported (Cohort B extraction),3.0,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,20,fully fittable
10.1016/j.matpr.2019.05.078,MgB2,conventional_AlB2,wire,39.0,paper-reported (Cohort B extraction),2.5,Tier_1_direct_match_at_5.0K_term_Hc2,6,fully fittable
10.1016/j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,cuprate_BSCCO,bulk,110.0,paper-reported (Cohort B extraction),100.0,Tier_3_literature_default,36,Cohort B only (β_H partial)
10.1016/j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,cuprate_BSCCO,bulk,110.0,paper-reported (Cohort B extraction),100.0,Tier_3_literature_default,56,Cohort B only (β_H partial)
10.1038/s41598-025-95932-9,Bi2Sr2CaCu2O8,cuprate_BSCCO,thin_film,85.0,paper-reported (Cohort B extraction),100.0,Tier_3_literature_default,60,Cohort B only (β_H partial)
10.1016/j.ceramint.2024.10.058,La2SrCuO4,cuprate_LSCO,bulk,38.0,paper-reported (Cohort B extraction),50.0,Tier_3_literature_default,48,Cohort B only (β_H partial)
10.1016/0921-4534(96)00225-0,YBaCuO,cuprate_RBCO,bulk,92.0,paper-reported (Cohort B extraction),130.0,Tier_3_literature_default,21,Cohort B only (β_H partial)
10.1016/j.jallcom.2022.165358,FeSe0.5Te0.5_K_doped,iron_chalcogenide_11,not recorded,14.0,paper-reported (v3.2.1 / Cohort A vision pass),,literature catalog (substructure reference; no per-paper extraction),3,Cohort A only (β_T partial)
10.1016/j.mtcomm.2022.103433,FeSeTe,iron_chalcogenide_11,not recorded,14.5,paper-reported (v3.2.1 / Cohort A vision pass),,literature catalog (substructure reference; no per-paper extraction),3,Cohort A only (β_T partial)
10.1038/s41598-022-24044-5,FeSe0.5Te0.5,iron_chalcogenide_11,thin_film,14.0,paper-reported (Cohort B extraction),18.0,Tier_1_extrapolated_to_low_T_anchor_14.0K,161,Cohort B only (β_H partial)
10.1088/0953-2048_29_3_035013,FeSe0.5Te0.5,iron_chalcogenide_11,thin_film,14.0,paper-reported (Cohort B extraction),47.0,Tier_3_literature_default,94,Cohort B only (β_H partial)
10.1016/j.physc.2016.05.023,FeSe1-xSx,iron_chalcogenide_11,single_crystal,9.0,paper-reported (Cohort B extraction),30.0,Tier_3_literature_default,60,Cohort B only (β_H partial)
10.1016/j.cjph.2024.09.042,FeSeTe,iron_chalcogenide_11,single_crystal,14.0,paper-reported (Cohort B extraction),47.0,Tier_3_literature_default,47,Cohort B only (β_H partial)
MAGLAB_11_4_2K,FeSe_Te_doped,iron_chalcogenide_11,thin_film,14.0,paper-reported (Cohort B extraction),29.94,Tier_2_per_substructure_Hirr_ratio_0.7,10,Cohort B only (β_H partial)
MAGLAB_11_6K,FeSe_Te_doped,iron_chalcogenide_11,thin_film,14.0,paper-reported (Cohort B extraction),26.86,Tier_2_per_substructure_Hirr_ratio_0.7,36,Cohort B only (β_H partial)
10.1007/s10854-026-16566-9,FeTe0.5Se0.5,iron_chalcogenide_11,single_crystal,14.0,paper-reported (Cohort B extraction),9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,72,Cohort B only (β_H partial)
10.1016/j.physc.2010.05.048,FeTeSe,iron_chalcogenide_11,single_crystal,14.0,paper-reported (Cohort B extraction),3.5,Tier_1_direct_match_at_2.0K_term_ambiguous_label,28,Cohort B only (β_H partial)
