T_bin,H_bin,n,log_Jc_mean,log_Jc_std,log_Jc_norm_mean,log_Jc_norm_std,n_compounds
"(0.0, 0.1]","(0.0, 0.1]",254,4.7323696038372915,1.9211368134884153,0.6759102737004098,0.27132421018651504,8
"(0.0, 0.1]","(0.1, 0.2]",28,2.85670972083668,1.7963556314302267,0.38376297281487565,0.2509578700855409,6
"(0.0, 0.1]","(0.2, 0.3]",6,5.262915299972871,0.4805814669770456,0.6759814778682526,0.14980363442054306,3
"(0.0, 0.1]","(0.3, 0.4]",7,4.98205226224715,0.6046764555252426,0.6497203425764014,0.15521314877165765,3
"(0.0, 0.1]","(0.4, 0.5]",7,4.713662170656794,0.7620852563201586,0.6173765734374383,0.1719508957663932,3
"(0.1, 0.2]","(0.0, 0.1]",594,5.358508353848143,1.4382464015489498,0.7335232979004287,0.18781366466782948,11
"(0.1, 0.2]","(0.1, 0.2]",157,4.961876885741727,0.9584069106776517,0.6877383035660272,0.13243675763570392,10
"(0.1, 0.2]","(0.2, 0.3]",103,4.5740772851240905,0.8200022868037633,0.6602628930057508,0.13829405508855463,8
"(0.1, 0.2]","(0.3, 0.4]",95,4.4928594111743,0.7557044579412527,0.6372190719175562,0.13857499114804844,7
"(0.1, 0.2]","(0.4, 0.5]",77,4.081568982866681,0.8662394428063186,0.5686321918485469,0.1438744513443464,5
"(0.1, 0.2]","(0.5, 0.6]",14,3.1642140155164333,1.6590517314522437,0.4572093355094366,0.2686574203961975,4
"(0.1, 0.2]","(0.6, 0.7]",7,3.8976144612433643,1.3766251417956674,0.5741709792711154,0.2434569117222779,2
"(0.2, 0.3]","(0.0, 0.1]",349,5.110077125878402,1.1697313765817006,0.7376250604717125,0.16697797860777105,12
"(0.2, 0.3]","(0.1, 0.2]",65,4.887269811882037,0.8585117667660275,0.7480662980791565,0.16440074969342225,10
"(0.2, 0.3]","(0.2, 0.3]",50,4.555136178307094,0.8924750913282404,0.7242612380098811,0.17116707223738975,10
"(0.2, 0.3]","(0.3, 0.4]",50,4.331341948945597,0.7543145994234509,0.6489644907190499,0.1777490820814628,9
"(0.2, 0.3]","(0.4, 0.5]",50,3.9594398660021657,0.9675838705250697,0.5938469727095463,0.2016676204032784,8
"(0.2, 0.3]","(0.5, 0.6]",16,4.002171174596223,1.1564016827391848,0.6394564181057788,0.21756915986682154,6
"(0.2, 0.3]","(0.6, 0.7]",14,3.7636774517756026,1.222545801853224,0.580698940937029,0.22645163535965823,6
