paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
0906.0444v1.pdf,2K,2.0,0.091353,534813.819,118.85,287.08,59
0906.0444v1.pdf,2K,2.0,0.220968,711392.154,136.36,271.55,57
0906.0444v1.pdf,2K,2.0,0.344886,595582.48,153.11,281.22,57
0906.0444v1.pdf,2K,2.0,0.47994,510321.117,171.36,289.64,59
0906.0444v1.pdf,2K,2.0,0.603035,451667.091,188.0,296.29,41
0906.0444v1.pdf,2K,2.0,0.702924,415165.539,201.5,300.88,44
0906.0444v1.pdf,2K,2.0,0.833755,384559.997,219.18,305.05,64
0906.0444v1.pdf,2K,2.0,0.966335,331995.384,237.1,313.05,60
0906.0444v1.pdf,2K,2.0,1.024788,347910.039,245.0,310.5,4
0906.0444v1.pdf,2K,2.0,1.243064,314490.361,274.5,316.0,34
0906.0444v1.pdf,2K,2.0,1.272661,313050.009,278.5,316.25,9
0906.0444v1.pdf,2K,2.0,1.490937,293294.776,308.0,319.8,27
0906.0444v1.pdf,2K,2.0,1.520534,293115.316,312.0,319.83,16
0906.0444v1.pdf,2K,2.0,1.742509,277066.138,342.0,322.9,28
0906.0444v1.pdf,2K,2.0,1.772106,277405.51,346.0,322.83,14
0906.0444v1.pdf,2K,2.0,1.990381,223271.613,375.5,334.66,22
0906.0444v1.pdf,2K,2.0,2.019978,265364.871,379.5,325.25,20
0906.0444v1.pdf,2K,2.0,2.238254,253071.185,409.0,327.83,16
0906.0444v1.pdf,2K,2.0,2.264151,253458.721,412.5,327.75,24
0906.0444v1.pdf,2K,2.0,2.486127,249992.156,442.5,328.5,10
0906.0444v1.pdf,2K,2.0,2.515723,251142.377,446.5,328.25,33
0906.0444v1.pdf,2K,2.0,2.733999,243200.614,476.0,330.0,5
0906.0444v1.pdf,2K,2.0,2.759896,243573.034,479.5,329.92,37
0906.0444v1.pdf,2K,2.0,2.978172,240978.018,509.0,330.5,2
0906.0444v1.pdf,2K,2.0,3.007769,217330.659,513.0,336.12,41
0906.0444v1.pdf,2K,2.0,3.259341,238775.735,547.0,331.0,41
0906.0444v1.pdf,2K,2.0,3.507213,234970.058,580.5,331.88,42
0906.0444v1.pdf,2K,2.0,3.755086,231376.719,614.0,332.71,31
0906.0444v1.pdf,2K,2.0,4.010358,230430.33,648.5,332.94,37
0906.0444v1.pdf,2K,2.0,4.25823,234124.093,682.0,332.07,42
0906.0444v1.pdf,2K,2.0,4.509802,231376.719,716.0,332.71,41
0906.0444v1.pdf,2K,2.0,4.757675,232288.91,749.5,332.5,44
0906.0444v1.pdf,2K,2.0,4.89086,168161.87,767.5,350.09,87
0906.0444v1.pdf,5K,5.0,0.108876,534930.739,121.21,287.07,70
0906.0444v1.pdf,5K,5.0,0.22092,410697.493,136.36,301.46,79
0906.0444v1.pdf,5K,5.0,0.345297,331284.937,153.17,313.17,78
0906.0444v1.pdf,5K,5.0,0.475542,285085.127,170.77,321.35,84
0906.0444v1.pdf,5K,5.0,0.599336,253168.014,187.5,327.81,51
0906.0444v1.pdf,5K,5.0,0.699225,235149.897,201.0,331.83,58
0906.0444v1.pdf,5K,5.0,0.830392,218558.505,218.73,335.82,75
0906.0444v1.pdf,5K,5.0,0.960214,206672.078,236.27,338.86,82
0906.0444v1.pdf,5K,5.0,1.024788,202404.377,245.0,340.0,7
0906.0444v1.pdf,5K,5.0,1.246764,189805.692,275.0,343.5,40
0906.0444v1.pdf,5K,5.0,1.272661,189805.692,278.5,343.5,16
0906.0444v1.pdf,5K,5.0,1.490937,181289.663,308.0,346.0,31
0906.0444v1.pdf,5K,5.0,1.520534,181289.663,312.0,346.0,21
0906.0444v1.pdf,5K,5.0,1.738809,171573.263,341.5,349.0,28
0906.0444v1.pdf,5K,5.0,1.768406,171573.263,345.5,349.0,28
0906.0444v1.pdf,5K,5.0,1.986682,171573.263,375.0,349.0,21
0906.0444v1.pdf,5K,5.0,2.016279,171573.263,379.0,349.0,35
0906.0444v1.pdf,5K,5.0,2.234554,165386.729,408.5,351.0,14
0906.0444v1.pdf,5K,5.0,2.260452,165386.729,412.0,351.0,35
0906.0444v1.pdf,5K,5.0,2.482427,165386.729,442.0,351.0,7
0906.0444v1.pdf,5K,5.0,2.508324,165386.729,445.5,351.0,42
0906.0444v1.pdf,5K,5.0,2.7266,166912.129,475.0,350.5,2
0906.0444v1.pdf,5K,5.0,2.756197,166912.129,479.0,350.5,56
0906.0444v1.pdf,5K,5.0,3.007769,165386.729,513.0,351.0,49
0906.0444v1.pdf,5K,5.0,3.255641,165386.729,546.5,351.0,56
0906.0444v1.pdf,5K,5.0,3.507213,165386.729,580.5,351.0,56
0906.0444v1.pdf,5K,5.0,3.758785,168258.391,614.5,350.06,51
0906.0444v1.pdf,5K,5.0,4.006658,168451.598,648.0,350.0,49
0906.0444v1.pdf,5K,5.0,4.25823,168451.598,682.0,350.0,49
0906.0444v1.pdf,5K,5.0,4.509802,168451.598,716.0,350.0,49
0906.0444v1.pdf,5K,5.0,4.757675,171376.475,749.5,349.06,51
0906.0444v1.pdf,5K,5.0,4.883461,166912.129,766.5,350.5,100
0906.0444v1.pdf,7.5K,7.5,0.096654,390218.126,119.56,304.25,52
0906.0444v1.pdf,7.5K,7.5,0.219335,276195.372,136.14,323.07,50
0906.0444v1.pdf,7.5K,7.5,0.347764,219727.054,153.5,335.53,54
0906.0444v1.pdf,7.5K,7.5,0.475542,188869.686,170.77,343.77,49
0906.0444v1.pdf,7.5K,7.5,0.606735,171573.263,188.5,349.0,38
0906.0444v1.pdf,7.5K,7.5,0.701074,162750.747,201.25,351.88,36
0906.0444v1.pdf,7.5K,7.5,0.831064,152101.05,218.82,355.56,45
0906.0444v1.pdf,7.5K,7.5,0.960214,148092.469,236.27,357.02,56
0906.0444v1.pdf,7.5K,7.5,1.076583,142792.319,252.0,359.0,7
0906.0444v1.pdf,7.5K,7.5,1.239365,137854.337,274.0,360.92,27
0906.0444v1.pdf,7.5K,7.5,1.28376,135761.002,280.0,361.75,10
0906.0444v1.pdf,7.5K,7.5,1.487237,133699.455,307.5,362.58,27
0906.0444v1.pdf,7.5K,7.5,1.520534,131870.842,312.0,363.33,13
0906.0444v1.pdf,7.5K,7.5,1.719078,130266.415,338.83,364.0,21
0906.0444v1.pdf,7.5K,7.5,1.768406,129669.801,345.5,364.25,17
0906.0444v1.pdf,7.5K,7.5,1.979283,130745.683,374.0,363.8,15
0906.0444v1.pdf,7.5K,7.5,2.012579,131166.488,378.5,363.62,23
0906.0444v1.pdf,7.5K,7.5,2.211124,127115.886,405.33,365.33,8
0906.0444v1.pdf,7.5K,7.5,2.260452,127896.302,412.0,365.0,25
0906.0444v1.pdf,7.5K,7.5,2.482427,125569.311,442.0,366.0,3
0906.0444v1.pdf,7.5K,7.5,2.534961,128366.849,449.1,364.8,38
0906.0444v1.pdf,7.5K,7.5,2.756197,129754.864,479.0,364.21,32
0906.0444v1.pdf,7.5K,7.5,3.007769,129584.793,513.0,364.29,30
0906.0444v1.pdf,7.5K,7.5,3.259341,130779.984,547.0,363.79,34
0906.0444v1.pdf,7.5K,7.5,3.507213,132072.78,580.5,363.25,34
0906.0444v1.pdf,7.5K,7.5,3.755086,133378.356,614.0,362.71,37
0906.0444v1.pdf,7.5K,7.5,4.006658,134432.103,648.0,362.29,31
0906.0444v1.pdf,7.5K,7.5,4.128745,136385.643,664.5,361.5,4
0906.0444v1.pdf,7.5K,7.5,4.25823,137282.975,682.0,361.14,33
0906.0444v1.pdf,7.5K,7.5,4.509802,137282.975,716.0,361.14,33
0906.0444v1.pdf,7.5K,7.5,4.576395,138913.077,725.0,360.5,2
0906.0444v1.pdf,7.5K,7.5,4.761374,140378.299,750.0,359.93,36
0906.0444v1.pdf,7.5K,7.5,4.883461,138731.003,766.5,360.57,67
0906.0444v1.pdf,10K,10.0,0.099398,273639.336,119.93,323.58,51
0906.0444v1.pdf,10K,10.0,0.208861,190917.864,134.73,343.18,45
0906.0444v1.pdf,10K,10.0,0.344886,154355.651,153.11,354.76,46
0906.0444v1.pdf,10K,10.0,0.475029,136845.538,170.7,361.32,45
0906.0444v1.pdf,10K,10.0,0.601391,125740.219,187.78,365.93,37
0906.0444v1.pdf,10K,10.0,0.701999,118975.759,201.38,368.94,35
0906.0444v1.pdf,10K,10.0,0.821722,114905.338,217.56,370.83,38
0906.0444v1.pdf,10K,10.0,0.960214,112188.727,236.27,372.14,57
0906.0444v1.pdf,10K,10.0,1.024788,113507.325,245.0,371.5,4
0906.0444v1.pdf,10K,10.0,1.246764,106442.048,275.0,375.0,25
0906.0444v1.pdf,10K,10.0,1.272661,108414.581,278.5,374.0,5
0906.0444v1.pdf,10K,10.0,1.494636,102603.994,308.5,377.0,20
0906.0444v1.pdf,10K,10.0,1.520534,103867.717,312.0,376.33,10
0906.0444v1.pdf,10K,10.0,1.742509,102918.476,342.0,376.83,14
0906.0444v1.pdf,10K,10.0,1.764706,103233.922,345.0,376.67,13
0906.0444v1.pdf,10K,10.0,1.986682,105792.544,375.0,375.33,10
0906.0444v1.pdf,10K,10.0,2.012579,104505.403,378.5,376.0,20
0906.0444v1.pdf,10K,10.0,2.234554,103076.078,408.5,376.75,7
0906.0444v1.pdf,10K,10.0,2.260452,101666.302,412.0,377.5,30
0906.0444v1.pdf,10K,10.0,2.482427,106442.048,442.0,375.0,3
0906.0444v1.pdf,10K,10.0,2.508324,104505.403,445.5,376.0,30
0906.0444v1.pdf,10K,10.0,2.785177,42273.042,482.92,425.29,40
0906.0444v1.pdf,10K,10.0,2.915279,4179.714,500.5,551.31,95
0906.0444v1.pdf,10K,10.0,3.026267,19892.694,515.5,466.34,58
0906.0444v1.pdf,10K,10.0,3.259341,108130.568,547.0,374.14,34
