paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
1104.0477v2.pdf,2K,2.0,14.001087,68127.626,736.31,147.5,34
1104.0477v2.pdf,4.5K,4.5,10.284792,57661.292,574.5,153.51,29
1104.0477v2.pdf,4.5K,4.5,10.468531,56395.692,582.5,154.31,31
1104.0477v2.pdf,4.5K,4.5,10.65227,55522.486,590.5,154.88,26
1104.0477v2.pdf,4.5K,4.5,10.836009,54303.831,598.5,155.68,34
1104.0477v2.pdf,4.5K,4.5,11.019747,52918.89,606.5,156.61,28
1104.0477v2.pdf,4.5K,4.5,11.203486,52507.605,614.5,156.89,31
1104.0477v2.pdf,4.5K,4.5,11.375742,51256.0,622.0,157.76,26
1104.0477v2.pdf,4.5K,4.5,11.547997,49863.496,629.5,158.75,31
1104.0477v2.pdf,4.5K,4.5,11.731736,49570.41,637.5,158.96,31
1104.0477v2.pdf,4.5K,4.5,11.915474,48625.511,645.5,159.66,28
1104.0477v2.pdf,4.5K,4.5,12.099213,47814.548,653.5,160.26,33
1104.0477v2.pdf,4.5K,4.5,12.282952,48080.576,661.5,160.06,27
1104.0477v2.pdf,4.5K,4.5,12.466691,44983.615,669.5,162.46,33
1104.0477v2.pdf,4.5K,4.5,12.638946,45061.677,677.0,162.4,25
1104.0477v2.pdf,4.5K,4.5,12.811201,43225.028,684.5,163.9,32
1104.0477v2.pdf,4.5K,4.5,12.99494,43677.05,692.5,163.53,30
1104.0477v2.pdf,4.5K,4.5,13.178679,42585.275,700.5,164.44,28
1104.0477v2.pdf,4.5K,4.5,13.362418,42129.94,708.5,164.82,32
1104.0477v2.pdf,4.5K,4.5,13.546157,38880.049,716.5,167.72,28
1104.0477v2.pdf,4.5K,4.5,13.729896,40609.456,724.5,166.15,32
1104.0477v2.pdf,7.5K,7.5,9.928798,27273.301,559.0,180.5,18
1104.0477v2.pdf,7.5K,7.5,10.164213,26619.24,569.25,181.38,11
1104.0477v2.pdf,7.5K,7.5,10.34221,26081.163,577.0,182.11,33
1104.0477v2.pdf,7.5K,7.5,10.537433,25490.044,585.5,182.94,29
1104.0477v2.pdf,7.5K,7.5,10.732656,24902.725,594.0,183.78,33
1104.0477v2.pdf,7.5K,7.5,10.939362,24333.627,603.0,184.61,34
1104.0477v2.pdf,7.5K,7.5,11.134584,23740.916,611.5,185.5,32
1104.0477v2.pdf,7.5K,7.5,11.329807,23162.642,620.0,186.39,34
1104.0477v2.pdf,7.5K,7.5,11.536513,22598.453,629.0,187.28,34
1104.0477v2.pdf,7.5K,7.5,11.743219,22048.007,638.0,188.17,34
1104.0477v2.pdf,7.5K,7.5,11.938442,21544.147,646.5,189.0,30
1104.0477v2.pdf,7.5K,7.5,12.130793,21137.142,654.88,189.69,29
1104.0477v2.pdf,7.5K,7.5,12.340371,20570.707,664.0,190.67,33
1104.0477v2.pdf,7.5K,7.5,12.535593,20065.786,672.5,191.56,31
1104.0477v2.pdf,7.5K,7.5,12.730816,19611.003,681.0,192.39,34
1104.0477v2.pdf,7.5K,7.5,12.937522,19103.859,690.0,193.33,33
1104.0477v2.pdf,7.5K,7.5,13.132744,18656.495,698.5,194.19,29
1104.0477v2.pdf,7.5K,7.5,13.327967,18240.68,707.0,195.0,33
1104.0477v2.pdf,7.5K,7.5,13.534673,17823.828,716.0,195.83,34
1104.0477v2.pdf,7.5K,7.5,13.741379,17389.681,725.0,196.72,32
1104.0477v2.pdf,10K,10.0,1.298176,41668.233,183.22,165.22,81
1104.0477v2.pdf,10K,10.0,1.867256,40332.645,208.0,166.4,108
