paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
1108.0407v1.pdf,1.8K,1.8,0.110228,2652.69,38.89,65.34,34
1108.0407v1.pdf,1.8K,1.8,0.235511,1842.909,48.5,85.75,45
1108.0407v1.pdf,1.8K,1.8,0.359345,1480.958,58.0,98.0,33
1108.0407v1.pdf,1.8K,1.8,0.483179,1251.085,67.5,107.45,47
1108.0407v1.pdf,1.8K,1.8,0.607014,1079.347,77.0,115.72,18
1108.0407v1.pdf,1.8K,1.8,0.685225,1008.965,83.0,119.5,2
1108.0407v1.pdf,1.8K,1.8,1.35002,559.838,134.0,152.5,2
1108.0407v1.pdf,1.8K,1.8,1.441266,559.838,141.0,152.5,2
1108.0407v1.pdf,1.8K,1.8,2.158202,291.821,196.0,189.0,15
1108.0407v1.pdf,1.8K,1.8,2.220771,294.437,200.8,188.5,20
1108.0407v1.pdf,1.8K,1.8,2.360248,245.208,211.5,198.75,5
1108.0407v1.pdf,1.8K,1.8,2.475392,234.158,220.33,201.33,11
1108.0407v1.pdf,1.8K,1.8,2.604006,218.152,230.2,205.3,18
1108.0407v1.pdf,1.8K,1.8,2.770856,195.647,243.0,211.4,27
1108.0407v1.pdf,1.8K,1.8,2.829515,195.734,247.5,211.38,23
1108.0407v1.pdf,1.8K,1.8,3.598591,117.427,306.5,240.0,6
1108.0407v1.pdf,1.8K,1.8,4.002682,139.127,337.5,230.5,64
1108.0407v1.pdf,1.8K,1.8,4.159105,137.891,349.5,231.0,18
1108.0407v1.pdf,1.8K,1.8,4.211246,137.891,353.5,231.0,54
1108.0407v1.pdf,1.8K,1.8,4.387221,139.127,367.0,230.5,56
1108.0407v1.pdf,1.8K,1.8,4.445879,139.127,371.5,230.5,16
1108.0407v1.pdf,1.8K,1.8,4.602301,150.763,383.5,226.0,72
1108.0407v1.pdf,1.8K,1.8,4.771759,128.389,396.5,235.0,36
1108.0407v1.pdf,1.8K,1.8,4.838239,124.108,401.6,236.9,38
1108.0407v1.pdf,1.8K,1.8,4.993357,91.625,413.5,253.9,68
1108.0407v1.pdf,2K,2.0,0.059535,3488.475,35.0,50.0,7
1108.0407v1.pdf,2K,2.0,0.470144,1183.475,66.5,110.56,25
1108.0407v1.pdf,2K,2.0,0.580943,1029.175,75.0,118.39,46
