paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
1502.05345v1.pdf,4.2K,4.2,0.111786,5302284.077,44.71,48.76,144
1502.05345v1.pdf,4.2K,4.2,0.983041,1877969.259,64.5,101.91,99
1502.05345v1.pdf,4.2K,4.2,2.303518,864881.677,94.5,141.62,19
1502.05345v1.pdf,4.2K,4.2,2.589621,897082.922,101.0,139.75,87
1502.05345v1.pdf,4.2K,4.2,4.900455,536997.662,153.5,166.03,57
1502.05345v1.pdf,4.2K,4.2,5.186558,559849.462,160.0,163.9,50
1502.05345v1.pdf,4.2K,4.2,7.475383,405744.359,212.0,180.39,94
1502.05345v1.pdf,4.2K,4.2,7.761487,416895.99,218.5,179.0,14
1502.05345v1.pdf,4.2K,4.2,9.984289,312925.735,269.0,193.69,75
1502.05345v1.pdf,4.2K,4.2,12.493194,244952.901,326.0,206.24,108
1502.05345v1.pdf,4.2K,4.2,14.738004,192161.368,377.0,218.67,11
1502.05345v1.pdf,4.2K,4.2,15.046115,193703.725,384.0,218.26,99
1502.05345v1.pdf,4.2K,4.2,17.356948,146022.651,436.5,232.73,34
1502.05345v1.pdf,4.2K,4.2,17.643052,153177.525,443.0,230.28,72
1502.05345v1.pdf,4.2K,4.2,19.953885,115262.025,495.5,244.84,85
1502.05345v1.pdf,4.2K,4.2,20.239988,118327.786,502.0,243.5,24
1502.05345v1.pdf,4.2K,4.2,22.484798,88677.16,553.0,258.27,107
1502.05345v1.pdf,4.2K,4.2,24.993703,65777.28,610.0,273.57,111
1502.05345v1.pdf,4.2K,4.2,27.216505,48432.873,660.5,289.25,7
1502.05345v1.pdf,4.2K,4.2,27.524617,48063.9,667.5,289.64,106
1502.05345v1.pdf,4.2K,4.2,29.791434,30760.053,719.0,312.5,24
1502.05345v1.pdf,4.2K,4.2,30.099545,31803.378,726.0,310.79,87
1502.05345v1.pdf,4.2K,4.2,32.410379,18838.758,778.5,337.61,61
1502.05345v1.pdf,4.2K,4.2,32.696482,19555.005,785.0,335.7,48
1502.05345v1.pdf,4.2K,4.2,34.985308,9214.932,837.0,374.24,106
1502.05345v1.pdf,10K,10.0,-0.07334,3020253.275,40.5,77.58,111
1502.05345v1.pdf,10K,10.0,0.344811,2254185.407,50.0,92.56,205
1502.05345v1.pdf,10K,10.0,0.762962,1499431.272,59.5,113.44,171
1502.05345v1.pdf,10K,10.0,1.181113,1121704.766,69.0,128.31,106
1502.05345v1.pdf,10K,10.0,1.599264,898296.372,78.5,139.68,104
1502.05345v1.pdf,10K,10.0,2.017414,737693.385,88.0,149.77,87
1502.05345v1.pdf,10K,10.0,2.413557,638856.759,97.0,157.14,86
1502.05345v1.pdf,10K,10.0,2.831708,568473.846,106.5,163.12,82
1502.05345v1.pdf,10K,10.0,3.249859,517900.897,116.0,167.89,83
1502.05345v1.pdf,10K,10.0,3.66801,473911.21,125.5,172.44,93
1502.05345v1.pdf,10K,10.0,4.086161,440028.072,135.0,176.23,89
1502.05345v1.pdf,10K,10.0,4.482304,395637.453,144.0,181.68,79
1502.05345v1.pdf,10K,10.0,4.900455,369764.012,153.5,185.14,89
1502.05345v1.pdf,10K,10.0,5.318605,340957.474,163.0,189.3,69
1502.05345v1.pdf,10K,10.0,5.736756,324915.29,172.5,191.77,88
1502.05345v1.pdf,10K,10.0,6.154907,308544.369,182.0,194.41,86
1502.05345v1.pdf,10K,10.0,6.55105,291729.5,191.0,197.28,86
1502.05345v1.pdf,10K,10.0,6.969201,268731.855,200.5,201.49,87
1502.05345v1.pdf,10K,10.0,7.387352,251691.02,210.0,204.85,73
1502.05345v1.pdf,10K,10.0,7.805503,239031.554,219.5,207.49,82
1502.05345v1.pdf,10K,10.0,8.223653,225380.847,229.0,210.5,80
1502.05345v1.pdf,10K,10.0,8.619796,211842.095,238.0,213.67,83
1502.05345v1.pdf,10K,10.0,9.037947,201555.312,247.5,216.22,92
1502.05345v1.pdf,10K,10.0,9.456098,187040.572,257.0,220.05,77
1502.05345v1.pdf,10K,10.0,9.874249,174382.582,266.5,223.64,85
1502.05345v1.pdf,10K,10.0,10.2924,164102.875,276.0,226.75,68
1502.05345v1.pdf,10K,10.0,10.688543,159224.415,285.0,228.3,81
1502.05345v1.pdf,10K,10.0,11.106694,149277.801,294.5,231.6,91
1502.05345v1.pdf,10K,10.0,11.524844,140846.011,304.0,234.58,87
1502.05345v1.pdf,10K,10.0,11.942995,132163.075,313.5,237.84,92
1502.05345v1.pdf,10K,10.0,12.361146,124120.872,323.0,241.05,68
1502.05345v1.pdf,10K,10.0,12.757289,117957.565,332.0,243.66,74
1502.05345v1.pdf,10K,10.0,13.17544,111654.121,341.5,246.47,91
1502.05345v1.pdf,10K,10.0,13.593591,106708.412,351.0,248.79,89
1502.05345v1.pdf,10K,10.0,14.011742,99755.403,360.5,252.24,90
1502.05345v1.pdf,10K,10.0,14.429892,92900.416,370.0,255.89,79
1502.05345v1.pdf,10K,10.0,14.826035,86885.765,379.0,259.32,71
1502.05345v1.pdf,10K,10.0,15.244186,82574.922,388.5,261.93,84
1502.05345v1.pdf,10K,10.0,15.662337,79141.597,398.0,264.1,87
1502.05345v1.pdf,10K,10.0,16.080488,74693.651,407.5,267.06,93
1502.05345v1.pdf,15K,15.0,-0.07334,1999226.303,40.5,98.71,83
1502.05345v1.pdf,15K,15.0,0.344811,1274385.615,50.0,121.77,101
1502.05345v1.pdf,15K,15.0,0.762962,921542.06,59.5,138.38,116
1502.05345v1.pdf,15K,15.0,1.181113,753467.023,69.0,148.69,108
1502.05345v1.pdf,15K,15.0,1.599264,606080.302,78.5,159.84,116
1502.05345v1.pdf,15K,15.0,2.017414,495161.15,88.0,170.19,92
1502.05345v1.pdf,15K,15.0,2.413557,426975.222,97.0,177.78,92
1502.05345v1.pdf,15K,15.0,2.831708,371287.859,106.5,184.93,96
1502.05345v1.pdf,15K,15.0,3.249859,330531.95,116.0,190.89,95
1502.05345v1.pdf,15K,15.0,3.66801,296029.372,125.5,196.54,106
1502.05345v1.pdf,15K,15.0,4.086161,268145.602,135.0,201.6,103
1502.05345v1.pdf,15K,15.0,4.482304,236937.867,144.0,207.94,89
1502.05345v1.pdf,15K,15.0,4.900455,213235.471,153.5,213.34,104
1502.05345v1.pdf,15K,15.0,5.318605,192051.492,163.0,218.7,77
1502.05345v1.pdf,15K,15.0,5.736756,176839.886,172.5,222.92,96
1502.05345v1.pdf,15K,15.0,6.154907,164428.789,182.0,226.65,100
1502.05345v1.pdf,15K,15.0,6.55105,147991.557,191.0,232.04,94
1502.05345v1.pdf,15K,15.0,6.969201,134813.942,200.5,236.82,98
1502.05345v1.pdf,15K,15.0,7.387352,121470.698,210.0,242.16,81
1502.05345v1.pdf,15K,15.0,7.805503,113080.637,219.5,245.82,95
1502.05345v1.pdf,15K,15.0,8.223653,104192.25,229.0,250.02,89
1502.05345v1.pdf,15K,15.0,8.619796,97090.378,238.0,253.63,93
1502.05345v1.pdf,15K,15.0,9.037947,88859.314,247.5,258.17,102
1502.05345v1.pdf,15K,15.0,9.456098,79261.094,257.0,264.02,84
1502.05345v1.pdf,15K,15.0,9.874249,73670.008,266.5,267.77,96
1502.05345v1.pdf,15K,15.0,10.2924,67309.788,276.0,272.39,81
1502.05345v1.pdf,15K,15.0,10.688543,63115.982,285.0,275.69,91
1502.05345v1.pdf,15K,15.0,11.106694,57379.02,294.5,280.57,104
1502.05345v1.pdf,15K,15.0,11.524844,52067.077,304.0,285.54,97
1502.05345v1.pdf,15K,15.0,11.942995,46977.986,313.5,290.81,96
1502.05345v1.pdf,15K,15.0,12.361146,42689.705,323.0,295.71,78
1502.05345v1.pdf,15K,15.0,12.757289,39516.304,332.0,299.67,90
1502.05345v1.pdf,15K,15.0,13.17544,35964.156,341.5,304.49,103
1502.05345v1.pdf,15K,15.0,13.593591,32879.347,351.0,309.09,95
1502.05345v1.pdf,15K,15.0,14.011742,28730.985,360.5,316.0,103
1502.05345v1.pdf,15K,15.0,14.429892,25707.984,370.0,321.69,86
1502.05345v1.pdf,15K,15.0,14.826035,23020.913,379.0,327.34,90
1502.05345v1.pdf,15K,15.0,15.244186,20609.254,388.5,333.01,101
1502.05345v1.pdf,15K,15.0,15.662337,18607.233,398.0,338.24,105
1502.05345v1.pdf,15K,15.0,16.080488,16517.749,407.5,344.34,104
1502.05345v1.pdf,20K,20.0,-0.117356,1096582.808,39.5,129.47,71
1502.05345v1.pdf,20K,20.0,0.234771,833866.771,47.5,143.5,170
1502.05345v1.pdf,20K,20.0,0.586898,553677.871,55.5,164.47,159
1502.05345v1.pdf,20K,20.0,0.939025,418558.034,63.5,178.8,135
1502.05345v1.pdf,20K,20.0,1.291152,303865.193,71.5,195.2,70
1502.05345v1.pdf,20K,20.0,1.643279,265244.515,79.5,202.16,93
1502.05345v1.pdf,20K,20.0,1.995407,208639.086,87.5,214.45,75
1502.05345v1.pdf,20K,20.0,2.347534,174175.358,95.5,223.7,73
1502.05345v1.pdf,20K,20.0,2.699661,156755.721,103.5,229.1,83
1502.05345v1.pdf,20K,20.0,3.051788,137775.064,111.5,235.71,86
1502.05345v1.pdf,20K,20.0,3.403915,115105.605,119.5,244.91,76
1502.05345v1.pdf,20K,20.0,3.756042,103396.8,127.5,250.41,76
1502.05345v1.pdf,20K,20.0,4.108169,94552.652,135.5,254.99,88
1502.05345v1.pdf,20K,20.0,4.460296,77929.259,143.5,264.89,68
1502.05345v1.pdf,20K,20.0,4.812423,69594.929,151.5,270.68,70
1502.05345v1.pdf,20K,20.0,5.16455,62972.581,159.5,275.8,87
1502.05345v1.pdf,20K,20.0,5.516677,54532.378,167.5,283.18,78
1502.05345v1.pdf,20K,20.0,5.868804,46947.483,175.5,290.85,66
1502.05345v1.pdf,20K,20.0,6.220931,43473.057,183.5,294.78,82
1502.05345v1.pdf,20K,20.0,6.573058,38523.693,191.5,300.97,89
1502.05345v1.pdf,20K,20.0,6.925185,32259.227,199.5,310.06,72
1502.05345v1.pdf,20K,20.0,7.277312,28687.309,207.5,316.07,67
1502.05345v1.pdf,20K,20.0,7.629439,26291.61,215.5,320.54,90
1502.05345v1.pdf,20K,20.0,7.981566,21423.762,223.5,331.03,75
1502.05345v1.pdf,20K,20.0,8.333693,18267.08,231.5,339.19,74
1502.05345v1.pdf,20K,20.0,8.68582,16194.995,239.5,345.36,87
1502.05345v1.pdf,20K,20.0,9.037947,13964.652,247.5,352.94,82
1502.05345v1.pdf,20K,20.0,9.390074,10960.778,255.5,365.35,64
1502.05345v1.pdf,20K,20.0,9.676177,10790.732,262.0,366.15,57
1502.05345v1.pdf,20K,20.0,10.094328,8366.566,271.5,379.18,82
1502.05345v1.pdf,20K,20.0,10.446455,6325.383,279.5,393.51,70
1502.05345v1.pdf,20K,20.0,10.798582,5061.472,287.5,404.92,66
1502.05345v1.pdf,20K,20.0,11.150709,4133.852,295.5,415.29,91
1502.05345v1.pdf,20K,20.0,11.502836,2903.647,303.5,433.38,77
1502.05345v1.pdf,20K,20.0,11.854963,1906.034,311.5,454.94,74
1502.05345v1.pdf,20K,20.0,12.207091,1341.477,319.5,472.93,80
1502.05345v1.pdf,20K,20.0,12.559218,846.422,327.5,496.52,86
1502.05345v1.pdf,20K,20.0,12.911345,409.246,335.5,533.73,72
1502.05345v1.pdf,20K,20.0,13.263472,211.131,343.5,567.63,76
1502.05345v1.pdf,20K,20.0,13.615599,131.61,351.5,591.84,85
