paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
1611.08455v1.pdf,A_7K,7.0,0.203507,1701.508,59.78,150.12,29
1611.08455v1.pdf,A_7K,7.0,0.400071,1318.562,84.0,167.5,26
1611.08455v1.pdf,A_7K,7.0,0.578601,1155.467,106.0,176.5,12
1611.08455v1.pdf,A_7K,7.0,0.627291,1139.104,112.0,177.47,13
1611.08455v1.pdf,A_7K,7.0,0.765245,1063.293,129.0,182.17,12
1611.08455v1.pdf,A_7K,7.0,0.850453,1028.767,139.5,184.42,5
1611.08455v1.pdf,A_7K,7.0,0.996523,944.464,157.5,190.24,20
1611.08455v1.pdf,A_7K,7.0,1.046565,937.103,163.67,190.78,13
1611.08455v1.pdf,A_7K,7.0,1.198818,856.245,182.43,196.93,23
1611.08455v1.pdf,A_7K,7.0,1.288663,818.519,193.5,200.0,4
1611.08455v1.pdf,A_7K,7.0,1.398215,789.042,207.0,202.5,20
1611.08455v1.pdf,A_7K,7.0,1.479365,755.067,217.0,205.5,2
1611.08455v1.pdf,A_7K,7.0,1.612451,696.875,233.4,210.97,18
1611.08455v1.pdf,A_7K,7.0,1.810052,633.917,257.75,217.42,22
1611.08455v1.pdf,A_7K,7.0,1.978438,575.591,278.5,224.0,9
1611.08455v1.pdf,A_7K,7.0,2.019013,570.86,283.5,224.56,22
1611.08455v1.pdf,A_7K,7.0,2.16914,513.103,302.0,231.83,12
1611.08455v1.pdf,A_7K,7.0,2.232031,502.548,309.75,233.25,14
1611.08455v1.pdf,A_7K,7.0,2.392303,458.518,329.5,239.5,18
1611.08455v1.pdf,A_7K,7.0,2.46128,441.196,338.0,242.12,15
1611.08455v1.pdf,A_7K,7.0,2.592743,399.941,354.2,248.82,41
1611.08455v1.pdf,A_7K,7.0,2.66145,391.14,362.67,250.33,16
1611.08455v1.pdf,A_7K,7.0,2.799676,358.445,379.7,256.28,39
1611.08455v1.pdf,A_7K,7.0,2.9049,338.594,392.67,260.17,6
1611.08455v1.pdf,A_7K,7.0,3.0131,308.757,406.0,266.45,39
1611.08455v1.pdf,A_7K,7.0,3.120218,296.568,419.2,269.2,19
1611.08455v1.pdf,A_7K,7.0,3.224828,280.113,432.09,273.09,31
1611.08455v1.pdf,A_7K,7.0,3.34852,305.771,447.33,267.12,50
1611.08455v1.pdf,A_7K,7.0,3.443195,274.29,459.0,274.52,80
1611.08455v1.pdf,A_7K,7.0,3.577672,219.645,475.57,289.67,25
1611.08455v1.pdf,A_7K,7.0,3.640274,212.996,483.29,291.76,26
1611.08455v1.pdf,A_7K,7.0,3.788662,182.851,501.57,302.16,39
1611.08455v1.pdf,A_7K,7.0,3.870247,172.559,511.62,306.11,29
1611.08455v1.pdf,A_7K,7.0,3.997449,158.197,527.3,312.04,49
1611.08455v1.pdf,A_7K,7.0,4.107272,151.157,540.83,315.14,14
1611.08455v1.pdf,A_7K,7.0,4.185717,149.698,550.5,315.8,38
1611.08455v1.pdf,A_7K,7.0,4.302573,136.582,564.9,322.05,21
1611.08455v1.pdf,A_7K,7.0,4.414782,126.468,578.73,327.29,39
1611.08455v1.pdf,A_7K,7.0,4.518801,115.616,591.55,333.41,30
1611.08455v1.pdf,A_7K,7.0,4.623927,110.154,604.5,336.71,33
1611.08455v1.pdf,A_7K,7.0,4.746667,96.234,619.62,345.92,24
1611.08455v1.pdf,A_7K,7.0,4.838975,90.583,631.0,350.04,26
1611.08455v1.pdf,A_7K,7.0,4.942847,82.153,643.8,356.7,16
1611.08455v1.pdf,A_7K,7.0,5.060108,75.567,658.25,362.4,17
1611.08455v1.pdf,A_7K,7.0,5.183051,67.673,673.4,369.92,27
1611.08455v1.pdf,A_7K,7.0,5.30153,60.844,688.0,377.17,6
1611.08455v1.pdf,A_7K,7.0,5.390795,56.453,699.0,382.27,37
1611.08455v1.pdf,A_7K,7.0,5.483306,52.478,710.4,387.25,23
1611.08455v1.pdf,A_7K,7.0,5.601785,47.496,725.0,394.05,50
1611.08455v1.pdf,A_7K,7.0,5.706542,42.748,737.91,401.23,24
1611.08455v1.pdf,A_7K,7.0,5.814127,38.266,751.17,408.78,44
1611.08455v1.pdf,A_7K,7.0,5.960873,32.937,769.25,419.0,23
1611.08455v1.pdf,A_7K,7.0,6.029175,31.293,777.67,422.49,35
1611.08455v1.pdf,A_7K,7.0,6.148195,28.338,792.33,429.25,34
1611.08455v1.pdf,A_7K,7.0,6.225625,26.888,801.88,432.83,28
1611.08455v1.pdf,A_7K,7.0,6.368652,23.822,819.5,441.08,5
1611.08455v1.pdf,A_7K,7.0,6.44899,22.393,829.4,445.3,16
1611.08455v1.pdf,A_7K,7.0,6.578289,19.739,845.33,453.9,40
1611.08455v1.pdf,A_8K,8.0,0.202065,950.709,59.6,189.8,35
1611.08455v1.pdf,A_8K,8.0,0.427121,671.451,87.33,213.5,8
1611.08455v1.pdf,A_8K,8.0,0.574543,563.063,105.5,225.5,8
1611.08455v1.pdf,A_8K,8.0,0.619176,552.155,111.0,226.83,6
1611.08455v1.pdf,A_8K,8.0,0.765245,468.72,129.0,238.0,5
1611.08455v1.pdf,A_8K,8.0,0.83828,445.26,138.0,241.5,4
1611.08455v1.pdf,A_8K,8.0,0.98435,397.115,156.0,249.3,12
1611.08455v1.pdf,A_8K,8.0,1.041155,390.185,163.0,250.5,16
1611.08455v1.pdf,A_8K,8.0,1.16288,346.976,178.0,258.5,2
1611.08455v1.pdf,A_8K,8.0,1.239973,330.82,187.5,261.75,7
1611.08455v1.pdf,A_8K,8.0,1.39551,285.853,206.67,271.71,18
1611.08455v1.pdf,A_8K,8.0,1.446905,272.377,213.0,275.0,3
1611.08455v1.pdf,A_8K,8.0,1.597033,238.686,231.5,284.0,14
1611.08455v1.pdf,A_8K,8.0,1.686298,220.992,242.5,289.25,13
1611.08455v1.pdf,A_8K,8.0,1.808023,197.966,257.5,296.75,31
1611.08455v1.pdf,A_8K,8.0,1.912411,179.182,270.36,303.55,29
1611.08455v1.pdf,A_8K,8.0,2.019013,162.626,283.5,310.15,43
1611.08455v1.pdf,A_8K,8.0,2.1475,142.832,299.33,319.0,10
1611.08455v1.pdf,A_8K,8.0,2.23406,134.222,310.0,323.24,21
