paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
1903.00866v2.pdf,2K,2.0,0.147917,1440823.408,141.0,285.46,301
1903.00866v2.pdf,2K,2.0,0.267047,1223508.18,168.0,306.82,293
1903.00866v2.pdf,2K,2.0,0.383971,1024163.376,194.5,330.06,260
1903.00866v2.pdf,2K,2.0,0.500895,873657.893,221.0,350.83,248
1903.00866v2.pdf,2K,2.0,0.620025,757895.465,248.0,369.41,261
1903.00866v2.pdf,2K,2.0,0.736949,675125.045,274.5,384.52,271
1903.00866v2.pdf,2K,2.0,0.853873,614147.781,301.0,396.89,287
1903.00866v2.pdf,2K,2.0,0.973003,565418.749,328.0,407.69,272
1903.00866v2.pdf,2K,2.0,1.089927,515879.433,354.5,419.67,87
1903.00866v2.pdf,2K,2.0,1.206851,477693.411,381.0,429.72,204
1903.00866v2.pdf,2K,2.0,1.325981,446595.364,408.0,438.52,119
1903.00866v2.pdf,2K,2.0,1.442905,416133.621,434.5,447.75,159
1903.00866v2.pdf,2K,2.0,1.559829,393228.147,461.0,455.15,159
1903.00866v2.pdf,2K,2.0,1.678959,370505.506,488.0,462.93,127
1903.00866v2.pdf,2K,2.0,1.795883,352585.862,514.5,469.4,185
1903.00866v2.pdf,2K,2.0,1.912807,334612.413,541.0,476.24,92
1903.00866v2.pdf,2K,2.0,2.031937,325338.257,568.0,479.91,231
1903.00866v2.pdf,2K,2.0,2.148861,304199.493,594.5,488.69,84
1903.00866v2.pdf,2K,2.0,2.265784,290934.156,621.0,494.52,229
1903.00866v2.pdf,2K,2.0,2.384915,280846.745,648.0,499.13,86
1903.00866v2.pdf,2K,2.0,2.501838,271369.295,674.5,503.62,228
1903.00866v2.pdf,2K,2.0,2.618762,261412.519,701.0,508.5,86
1903.00866v2.pdf,2K,2.0,2.735686,251746.956,727.5,513.42,222
1903.00866v2.pdf,2K,2.0,2.85261,243357.603,754.0,517.85,85
1903.00866v2.pdf,2K,2.0,2.97174,236314.579,781.0,521.69,231
1903.00866v2.pdf,2K,2.0,3.088664,228343.581,807.5,526.17,85
1903.00866v2.pdf,2K,2.0,3.205588,221344.977,834.0,530.24,168
1903.00866v2.pdf,2K,2.0,3.324718,215433.932,861.0,533.78,145
1903.00866v2.pdf,2K,2.0,3.441642,208706.967,887.5,537.92,124
1903.00866v2.pdf,2K,2.0,3.558566,203474.732,914.0,541.24,186
1903.00866v2.pdf,2K,2.0,3.677696,198349.88,941.0,544.57,96
1903.00866v2.pdf,2K,2.0,3.79462,193872.272,967.5,547.56,209
1903.00866v2.pdf,2K,2.0,3.911544,189555.66,994.0,550.5,84
1903.00866v2.pdf,2K,2.0,4.030674,187074.37,1021.0,552.22,233
1903.00866v2.pdf,2K,2.0,4.147598,181155.298,1047.5,556.42,82
1903.00866v2.pdf,2K,2.0,4.264522,177215.505,1074.0,559.3,227
1903.00866v2.pdf,2K,2.0,4.383652,173242.373,1101.0,562.26,85
1903.00866v2.pdf,2K,2.0,4.500576,169596.651,1127.5,565.04,224
1903.00866v2.pdf,2K,2.0,4.6175,166549.73,1154.0,567.41,85
1903.00866v2.pdf,2K,2.0,4.73663,164020.0,1181.0,569.41,207
1903.00866v2.pdf,5K,5.0,0.079528,1115917.137,125.5,318.85,147
1903.00866v2.pdf,5K,5.0,0.200864,887151.576,153.0,348.83,162
1903.00866v2.pdf,5K,5.0,0.319994,683265.457,180.0,382.95,163
1903.00866v2.pdf,5K,5.0,0.439124,561377.34,207.0,408.63,125
1903.00866v2.pdf,5K,5.0,0.558254,479416.683,234.0,429.25,115
1903.00866v2.pdf,5K,5.0,0.677384,419780.322,261.0,446.61,121
1903.00866v2.pdf,5K,5.0,0.796514,372798.394,288.0,462.12,117
1903.00866v2.pdf,5K,5.0,0.915644,336711.804,315.0,475.42,120
1903.00866v2.pdf,5K,5.0,1.034774,310957.831,342.0,485.82,96
1903.00866v2.pdf,5K,5.0,1.153904,287776.652,369.0,495.94,96
1903.00866v2.pdf,5K,5.0,1.273034,267263.773,396.0,505.61,103
1903.00866v2.pdf,5K,5.0,1.392164,250424.897,423.0,514.11,95
1903.00866v2.pdf,5K,5.0,1.511294,235219.612,450.0,522.3,107
1903.00866v2.pdf,5K,5.0,1.630424,222477.133,477.0,529.57,92
1903.00866v2.pdf,5K,5.0,1.749554,211101.98,504.0,536.43,107
1903.00866v2.pdf,5K,5.0,1.868684,201323.478,531.0,542.63,93
1903.00866v2.pdf,5K,5.0,1.987814,192388.33,558.0,548.56,100
1903.00866v2.pdf,5K,5.0,2.106944,184467.408,585.0,554.06,92
1903.00866v2.pdf,5K,5.0,2.226074,176787.399,612.0,559.61,111
1903.00866v2.pdf,5K,5.0,2.347411,169971.455,639.5,564.75,94
1903.00866v2.pdf,5K,5.0,2.464886,165672.829,666.12,568.1,80
1903.00866v2.pdf,5K,5.0,2.587877,158288.147,694.0,574.06,98
1903.00866v2.pdf,5K,5.0,2.691564,155265.464,717.5,576.58,55
1903.00866v2.pdf,5K,5.0,2.837816,149085.548,750.65,581.88,45
1903.00866v2.pdf,5K,5.0,2.929824,143771.585,771.5,586.62,65
1903.00866v2.pdf,5K,5.0,3.075427,139352.395,804.5,590.7,67
1903.00866v2.pdf,5K,5.0,3.134992,138506.672,818.0,591.5,10
1903.00866v2.pdf,5K,5.0,3.331336,131857.53,862.5,597.93,40
1903.00866v2.pdf,5K,5.0,3.417375,129644.804,882.0,600.14,84
1903.00866v2.pdf,5K,5.0,3.571803,126397.655,917.0,603.45,23
1903.00866v2.pdf,5K,5.0,3.626955,125390.427,929.5,604.5,16
1903.00866v2.pdf,5K,5.0,3.92478,117763.626,997.0,612.7,36
1903.00866v2.pdf,5K,5.0,4.019328,113702.565,1018.43,617.29,57
1903.00866v2.pdf,5K,5.0,4.136567,113935.301,1045.0,617.02,88
1903.00866v2.pdf,5K,5.0,4.254694,110074.896,1071.77,621.52,67
1903.00866v2.pdf,5K,5.0,4.374827,110203.313,1099.0,621.37,89
1903.00866v2.pdf,5K,5.0,4.492769,106461.18,1125.73,625.88,82
1903.00866v2.pdf,5K,5.0,4.613087,106684.244,1153.0,625.61,92
1903.00866v2.pdf,5K,5.0,4.730982,104075.07,1179.72,628.85,93
1903.00866v2.pdf,10K,10.0,0.079528,823970.436,125.5,358.48,364
1903.00866v2.pdf,10K,10.0,0.200864,589811.829,153.0,402.17,351
1903.00866v2.pdf,10K,10.0,0.319994,436149.909,180.0,441.61,368
1903.00866v2.pdf,10K,10.0,0.439124,354329.424,207.0,468.76,338
1903.00866v2.pdf,10K,10.0,0.558254,304863.457,234.0,488.41,339
1903.00866v2.pdf,10K,10.0,0.677384,266650.883,261.0,505.91,322
1903.00866v2.pdf,10K,10.0,0.796514,240682.335,288.0,519.3,295
1903.00866v2.pdf,10K,10.0,0.915644,218663.649,315.0,531.83,304
1903.00866v2.pdf,10K,10.0,1.034774,202755.105,342.0,541.7,245
1903.00866v2.pdf,10K,10.0,1.153904,188510.874,369.0,551.22,93
1903.00866v2.pdf,10K,10.0,1.273034,176764.017,396.0,559.63,269
1903.00866v2.pdf,10K,10.0,1.392164,166478.935,423.0,567.46,90
1903.00866v2.pdf,10K,10.0,1.500705,162405.523,447.6,570.7,62
1903.00866v2.pdf,10K,10.0,1.630424,149989.329,477.0,581.09,82
1903.00866v2.pdf,10K,10.0,1.70102,146352.567,493.0,584.3,12
1903.00866v2.pdf,10K,10.0,1.890745,136286.954,536.0,593.61,20
1903.00866v2.pdf,10K,10.0,2.001051,125390.427,561.0,604.5,30
1903.00866v2.pdf,10K,10.0,2.106944,127957.477,585.0,601.85,79
1903.00866v2.pdf,10K,10.0,2.226074,122700.864,612.0,607.33,213
1903.00866v2.pdf,10K,10.0,2.347411,119746.729,639.5,610.52,93
1903.00866v2.pdf,10K,10.0,2.468747,116053.828,667.0,614.61,266
1903.00866v2.pdf,10K,10.0,2.587877,113018.645,694.0,618.07,101
1903.00866v2.pdf,10K,10.0,2.707007,110140.86,721.0,621.44,239
1903.00866v2.pdf,10K,10.0,2.826137,107854.79,748.0,624.19,141
1903.00866v2.pdf,10K,10.0,2.945267,105406.83,775.0,627.19,201
1903.00866v2.pdf,10K,10.0,3.064397,103394.705,802.0,629.7,177
1903.00866v2.pdf,10K,10.0,3.183527,101033.654,829.0,632.72,140
