paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
2012.13723v3.pdf,4K,4.0,0.125074,847508.449,165.5,196.33,604
2012.13723v3.pdf,4K,4.0,0.300788,1928114.24,185.0,96.97,293
2012.13723v3.pdf,4K,4.0,0.471995,1563938.688,204.0,122.28,320
2012.13723v3.pdf,4K,4.0,0.643203,1520050.766,223.0,125.72,266
2012.13723v3.pdf,4K,4.0,0.814411,1381543.817,242.0,137.26,299
2012.13723v3.pdf,4K,4.0,0.990124,1039216.23,261.5,171.68,369
2012.13723v3.pdf,4K,4.0,1.165838,1152387.387,281.0,159.18,282
2012.13723v3.pdf,4K,4.0,1.337046,1077408.293,300.0,167.32,289
2012.13723v3.pdf,4K,4.0,1.508253,957205.363,319.0,181.61,288
2012.13723v3.pdf,4K,4.0,1.679461,959150.498,338.0,181.37,285
2012.13723v3.pdf,4K,4.0,1.850669,912301.933,357.0,187.42,257
2012.13723v3.pdf,4K,4.0,2.026382,739020.133,376.5,212.88,358
2012.13723v3.pdf,4K,4.0,2.202096,825897.105,396.0,199.45,272
2012.13723v3.pdf,4K,4.0,2.373304,791566.28,415.0,204.58,269
2012.13723v3.pdf,4K,4.0,2.544512,726896.926,434.0,214.88,289
2012.13723v3.pdf,4K,4.0,2.715719,733486.723,453.0,213.79,265
2012.13723v3.pdf,4K,4.0,2.886927,712861.665,472.0,217.24,272
2012.13723v3.pdf,4K,4.0,3.062641,592486.504,491.5,239.59,350
2012.13723v3.pdf,4K,4.0,3.238354,664451.486,511.0,225.74,273
2012.13723v3.pdf,4K,4.0,3.409562,635681.824,530.0,231.09,276
2012.13723v3.pdf,4K,4.0,3.58077,601966.219,549.0,237.67,284
2012.13723v3.pdf,4K,4.0,3.751977,609695.759,568.0,236.13,264
2012.13723v3.pdf,4K,4.0,3.927691,526284.765,587.5,253.91,348
2012.13723v3.pdf,4K,4.0,4.103404,578402.719,607.0,242.5,258
