paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
2511.19058v1.pdf,2K,2.0,0.098655,17165.532,336.5,184.5,96
2511.19058v1.pdf,2K,2.0,0.103678,17165.532,342.0,184.5,36
2511.19058v1.pdf,2K,2.0,0.193319,15732.916,411.0,191.5,36
2511.19058v1.pdf,2K,2.0,0.202247,15732.916,416.0,191.5,84
2511.19058v1.pdf,2K,2.0,0.209686,15732.916,420.0,191.5,12
2511.19058v1.pdf,2K,2.0,0.287623,14600.511,455.0,197.5,10
2511.19058v1.pdf,2K,2.0,0.298201,14691.681,459.0,197.0,77
2511.19058v1.pdf,2K,2.0,0.311973,14691.681,464.0,197.0,33
2511.19058v1.pdf,2K,2.0,0.390982,13719.357,489.0,202.5,58
2511.19058v1.pdf,2K,2.0,0.409039,13634.221,494.0,203.0,53
2511.19058v1.pdf,2K,2.0,0.48123,12574.355,512.0,209.5,8
2511.19058v1.pdf,2K,2.0,0.49893,12498.442,516.0,209.99,47
2511.19058v1.pdf,2K,2.0,0.521972,12627.894,521.0,209.16,23
2511.19058v1.pdf,2K,2.0,0.579089,11875.392,532.5,214.09,39
2511.19058v1.pdf,2K,2.0,0.608574,11895.304,538.0,213.96,49
2511.19058v1.pdf,2K,2.0,0.630957,12016.813,542.0,213.14,7
2511.19058v1.pdf,2K,2.0,0.690583,11102.406,552.0,219.5,70
2511.19058v1.pdf,2K,2.0,0.725745,11102.406,557.5,219.5,40
2511.19058v1.pdf,2K,2.0,0.79075,10531.793,567.0,223.74,40
2511.19058v1.pdf,2K,2.0,0.83666,10432.366,573.25,224.5,30
2511.19058v1.pdf,2K,2.0,0.897307,9741.932,581.0,230.0,77
2511.19058v1.pdf,2K,2.0,0.955855,9443.79,588.0,232.5,47
2511.19058v1.pdf,2K,2.0,1.018224,9109.913,595.0,235.39,49
2511.19058v1.pdf,2K,2.0,1.055673,9326.551,599.0,233.5,6
2511.19058v1.pdf,2K,2.0,1.19793,7594.652,613.0,250.0,9
2511.19058v1.pdf,2K,2.0,1.241989,7447.515,617.0,251.57,55
2511.19058v1.pdf,2K,2.0,1.299348,7487.913,622.0,251.14,22
2511.19058v1.pdf,2K,2.0,1.441529,6281.353,633.5,265.25,17
2511.19058v1.pdf,2K,2.0,1.501311,6321.981,638.0,264.73,66
2511.19058v1.pdf,2K,2.0,1.563571,6379.87,642.5,264.0,22
2511.19058v1.pdf,2K,2.0,1.719072,5159.202,653.0,281.06,47
2511.19058v1.pdf,2K,2.0,1.806603,5216.76,658.5,280.17,44
2511.19058v1.pdf,2K,2.0,1.959552,4429.003,667.5,293.32,38
2511.19058v1.pdf,2K,2.0,2.059328,4446.444,673.0,293.0,45
2511.19058v1.pdf,2K,2.0,2.213594,3708.746,681.0,307.57,67
2511.19058v1.pdf,2K,2.0,2.368699,3356.664,688.5,315.58,65
2511.19058v1.pdf,2K,2.0,2.534671,3094.355,696.0,322.12,64
2511.19058v1.pdf,2K,2.0,2.700055,2825.824,703.0,329.41,72
2511.19058v1.pdf,2K,2.0,2.876229,2569.67,710.0,337.04,74
2511.19058v1.pdf,2K,2.0,3.063899,2294.848,717.0,346.13,98
2511.19058v1.pdf,2K,2.0,3.278584,2046.695,724.5,355.32,81
2511.19058v1.pdf,2K,2.0,3.508311,1885.65,732.0,361.9,73
2511.19058v1.pdf,2K,2.0,3.737223,1673.004,739.0,371.51,113
2511.19058v1.pdf,2K,2.0,3.981072,1469.727,746.0,381.92,87
2511.19058v1.pdf,2K,2.0,4.240831,1323.172,753.0,390.36,98
2511.19058v1.pdf,2K,2.0,4.537982,1237.956,760.5,395.7,109
2511.19058v1.pdf,3K,3.0,0.097768,13195.849,335.5,205.62,62
2511.19058v1.pdf,3K,3.0,0.103678,13101.722,342.0,206.2,33
2511.19058v1.pdf,3K,3.0,0.192448,11815.482,410.5,214.5,8
2511.19058v1.pdf,3K,3.0,0.200429,12189.014,415.0,212.0,63
2511.19058v1.pdf,3K,3.0,0.209686,11790.99,420.0,214.67,11
2511.19058v1.pdf,3K,3.0,0.285037,10695.388,454.0,222.5,2
2511.19058v1.pdf,3K,3.0,0.295521,11161.803,458.0,219.07,62
2511.19058v1.pdf,3K,3.0,0.311973,10951.398,464.0,220.6,29
2511.19058v1.pdf,3K,3.0,0.387468,10024.919,488.0,227.7,28
2511.19058v1.pdf,3K,3.0,0.409039,10175.812,494.0,226.5,56
2511.19058v1.pdf,3K,3.0,0.424083,9802.763,498.0,229.5,2
2511.19058v1.pdf,3K,3.0,0.479062,9097.192,511.5,235.5,8
2511.19058v1.pdf,3K,3.0,0.49893,9426.61,516.0,232.64,68
2511.19058v1.pdf,3K,3.0,0.524334,9111.36,521.5,235.38,17
2511.19058v1.pdf,3K,3.0,0.57648,8337.951,532.0,242.5,12
2511.19058v1.pdf,3K,3.0,0.603104,8632.196,537.0,239.71,67
2511.19058v1.pdf,3K,3.0,0.639562,8145.569,543.5,244.38,15
2511.19058v1.pdf,3K,3.0,0.690583,7876.662,552.0,247.07,62
2511.19058v1.pdf,3K,3.0,0.729029,7757.102,558.0,248.3,32
2511.19058v1.pdf,3K,3.0,0.783642,7092.023,566.0,255.5,56
2511.19058v1.pdf,3K,3.0,0.834773,6905.323,573.0,257.64,45
2511.19058v1.pdf,3K,3.0,0.893265,6535.632,580.5,262.06,71
2511.19058v1.pdf,3K,3.0,0.955855,6014.418,588.0,268.74,46
2511.19058v1.pdf,3K,3.0,1.018224,5863.034,595.0,270.79,66
2511.19058v1.pdf,3K,3.0,1.06045,5633.045,599.5,274.0,6
2511.19058v1.pdf,3K,3.0,1.187162,4418.851,612.0,293.5,2
2511.19058v1.pdf,3K,3.0,1.236394,4612.066,616.5,290.06,71
2511.19058v1.pdf,3K,3.0,1.305228,4516.182,622.5,291.75,22
2511.19058v1.pdf,3K,3.0,1.435036,3561.152,633.0,310.83,10
2511.19058v1.pdf,3K,3.0,1.501311,3705.45,638.0,307.64,68
2511.19058v1.pdf,3K,3.0,1.577754,3581.53,643.5,310.38,17
2511.19058v1.pdf,3K,3.0,1.719072,2943.161,653.0,326.14,61
2511.19058v1.pdf,3K,3.0,1.82299,2890.85,659.5,327.58,35
2511.19058v1.pdf,3K,3.0,1.950725,2450.507,667.0,340.86,51
2511.19058v1.pdf,3K,3.0,2.078007,2418.036,674.0,341.93,50
2511.19058v1.pdf,3K,3.0,2.213594,2133.084,681.0,352.0,63
2511.19058v1.pdf,3K,3.0,2.368699,1960.5,688.5,358.78,63
2511.19058v1.pdf,3K,3.0,2.534671,1795.614,696.0,365.83,76
2511.19058v1.pdf,3K,3.0,2.700055,1492.28,703.0,380.7,66
2511.19058v1.pdf,3K,3.0,2.876229,1377.671,710.0,387.12,62
2511.19058v1.pdf,3K,3.0,3.063899,1290.785,717.0,392.35,72
2511.19058v1.pdf,3K,3.0,3.278584,1139.472,724.5,402.36,85
2511.19058v1.pdf,3K,3.0,3.508311,978.126,732.0,414.63,81
2511.19058v1.pdf,3K,3.0,3.737223,843.271,739.0,426.54,89
2511.19058v1.pdf,3K,3.0,3.981072,747.258,746.0,436.25,97
2511.19058v1.pdf,3K,3.0,4.240831,629.422,753.0,450.04,103
2511.19058v1.pdf,3K,3.0,4.537982,540.03,760.5,462.34,121
2511.19058v1.pdf,4K,4.0,0.098655,10497.509,336.5,224.0,56
2511.19058v1.pdf,4K,4.0,0.103211,10497.509,341.5,224.0,26
2511.19058v1.pdf,4K,4.0,0.192448,9254.262,410.5,234.12,15
2511.19058v1.pdf,4K,4.0,0.202247,9252.205,416.0,234.14,71
2511.19058v1.pdf,4K,4.0,0.286327,8209.198,454.5,243.75,7
2511.19058v1.pdf,4K,4.0,0.298201,8198.255,459.0,243.86,59
2511.19058v1.pdf,4K,4.0,0.310568,8183.687,463.5,244.0,26
2511.19058v1.pdf,4K,4.0,0.387468,7296.736,488.0,253.21,36
2511.19058v1.pdf,4K,4.0,0.407196,7293.493,493.5,253.25,46
2511.19058v1.pdf,4K,4.0,0.476904,6636.415,511.0,260.83,10
2511.19058v1.pdf,4K,4.0,0.49893,6622.659,516.0,261.0,63
2511.19058v1.pdf,4K,4.0,0.51962,6643.304,520.5,260.75,27
2511.19058v1.pdf,4K,4.0,0.57648,5732.087,532.0,272.6,23
2511.19058v1.pdf,4K,4.0,0.608574,5729.03,538.0,272.64,80
2511.19058v1.pdf,4K,4.0,0.663084,4989.147,547.5,283.75,5
2511.19058v1.pdf,4K,4.0,0.690583,5009.152,552.0,283.43,51
2511.19058v1.pdf,4K,4.0,0.730677,4798.271,558.25,286.88,42
2511.19058v1.pdf,4K,4.0,0.787188,4377.783,566.5,294.25,54
2511.19058v1.pdf,4K,4.0,0.842345,4107.183,574.0,299.38,31
2511.19058v1.pdf,4K,4.0,0.897307,3849.885,581.0,304.57,57
2511.19058v1.pdf,4K,4.0,0.955855,3519.177,588.0,311.79,48
2511.19058v1.pdf,4K,4.0,1.013637,3402.243,594.5,314.5,64
2511.19058v1.pdf,4K,4.0,1.192534,2635.874,612.5,335.0,6
2511.19058v1.pdf,4K,4.0,1.241989,2628.851,617.0,335.21,58
2511.19058v1.pdf,4K,4.0,1.293495,2635.874,621.5,335.0,26
2511.19058v1.pdf,4K,4.0,1.428571,2061.29,632.5,354.75,14
2511.19058v1.pdf,4K,4.0,1.501311,2062.207,638.0,354.71,67
2511.19058v1.pdf,4K,4.0,1.606506,1837.07,645.5,364.0,16
2511.19058v1.pdf,4K,4.0,1.719072,1629.251,653.0,373.64,46
2511.19058v1.pdf,4K,4.0,1.798465,1632.152,658.0,373.5,38
2511.19058v1.pdf,4K,4.0,1.950725,1354.121,667.0,388.5,40
2511.19058v1.pdf,4K,4.0,2.066779,1310.991,673.4,391.1,50
2511.19058v1.pdf,4K,4.0,2.213594,1150.753,681.0,401.57,49
2511.19058v1.pdf,4K,4.0,2.368699,868.799,688.5,424.15,76
2511.19058v1.pdf,4K,4.0,2.534671,708.78,696.0,440.5,113
2511.19058v1.pdf,4K,4.0,2.700055,699.727,703.0,441.53,55
2511.19058v1.pdf,4K,4.0,2.876229,707.327,710.0,440.66,81
2511.19058v1.pdf,4K,4.0,3.063899,634.304,717.0,449.42,82
2511.19058v1.pdf,4K,4.0,3.278584,514.842,724.5,466.18,76
2511.19058v1.pdf,4K,4.0,3.508311,409.107,732.0,484.64,68
2511.19058v1.pdf,4K,4.0,3.737223,356.186,739.0,495.77,80
2511.19058v1.pdf,4K,4.0,3.981072,288.66,746.0,512.65,96
2511.19058v1.pdf,4K,4.0,4.240831,225.499,753.0,532.49,102
2511.19058v1.pdf,4K,4.0,4.537982,182.357,760.5,549.54,109
2511.19058v1.pdf,5K,5.0,0.100453,7920.562,338.5,246.62,76
2511.19058v1.pdf,5K,5.0,0.105567,7932.898,344.0,246.5,8
2511.19058v1.pdf,5K,5.0,0.195073,6540.719,412.0,262.0,41
2511.19058v1.pdf,5K,5.0,0.204082,6558.192,417.0,261.79,54
2511.19058v1.pdf,5K,5.0,0.212545,6561.109,421.5,261.75,5
2511.19058v1.pdf,5K,5.0,0.290232,5598.088,456.0,274.5,14
2511.19058v1.pdf,5K,5.0,0.300906,5578.211,460.0,274.79,72
2511.19058v1.pdf,5K,5.0,0.316228,5563.349,465.5,275.0,16
2511.19058v1.pdf,5K,5.0,0.394529,4714.385,490.0,288.3,60
2511.19058v1.pdf,5K,5.0,0.416493,4715.224,496.0,288.29,35
2511.19058v1.pdf,5K,5.0,0.485595,3950.46,513.0,302.5,14
2511.19058v1.pdf,5K,5.0,0.503455,3939.935,517.0,302.71,63
2511.19058v1.pdf,5K,5.0,0.526706,3942.271,522.0,302.67,9
2511.19058v1.pdf,5K,5.0,0.586986,3263.942,534.0,317.83,38
2511.19058v1.pdf,5K,5.0,0.614095,3260.074,539.0,317.93,50
2511.19058v1.pdf,5K,5.0,0.636681,3257.177,543.0,318.0,3
2511.19058v1.pdf,5K,5.0,0.696847,2763.08,553.0,331.21,76
2511.19058v1.pdf,5K,5.0,0.735642,2756.699,559.0,331.4,19
2511.19058v1.pdf,5K,5.0,0.794328,2376.115,567.5,343.33,68
2511.19058v1.pdf,5K,5.0,0.843433,2331.463,574.14,344.86,41
2511.19058v1.pdf,5K,5.0,0.905446,2095.482,582.0,353.43,69
2511.19058v1.pdf,5K,5.0,0.964526,1972.523,589.0,358.29,53
2511.19058v1.pdf,5K,5.0,1.027459,1814.341,596.0,365.0,49
2511.19058v1.pdf,5K,5.0,1.065249,1814.341,600.0,365.0,3
2511.19058v1.pdf,5K,5.0,1.247609,1347.814,617.5,388.88,84
2511.19058v1.pdf,5K,5.0,1.317067,1349.913,623.5,388.75,14
2511.19058v1.pdf,5K,5.0,1.454605,1052.37,634.5,408.75,27
2511.19058v1.pdf,5K,5.0,1.514929,1050.968,639.0,408.86,61
2511.19058v1.pdf,5K,5.0,1.584893,1051.279,644.0,408.83,10
2511.19058v1.pdf,5K,5.0,1.734665,839.526,654.0,426.9,56
2511.19058v1.pdf,5K,5.0,1.82299,840.223,659.5,426.83,30
2511.19058v1.pdf,5K,5.0,1.986274,641.573,669.0,448.5,58
2511.19058v1.pdf,5K,5.0,2.096856,641.573,675.0,448.5,32
2511.19058v1.pdf,5K,5.0,2.233673,515.972,682.0,466.0,73
2511.19058v1.pdf,5K,5.0,2.375839,452.745,688.83,476.5,32
2511.19058v1.pdf,5K,5.0,2.534671,354.21,696.0,496.21,24
2511.19058v1.pdf,5K,5.0,2.712273,285.146,703.5,513.64,75
2511.19058v1.pdf,5K,5.0,2.876229,248.821,710.0,524.58,74
2511.19058v1.pdf,5K,5.0,3.077764,183.04,717.5,549.24,83
2511.19058v1.pdf,5K,5.0,3.29342,141.346,725.0,570.01,60
2511.19058v1.pdf,5K,5.0,3.43,139.606,729.5,571.0,6
2511.19058v1.pdf,5K,5.0,4.599865,152.889,762.0,563.7,26
2511.19058v1.pdf,6K,6.0,0.096889,5359.395,334.5,278.0,48
2511.19058v1.pdf,6K,6.0,0.102283,5331.665,340.5,278.42,65
2511.19058v1.pdf,6K,6.0,0.106045,5326.137,344.5,278.5,6
2511.19058v1.pdf,6K,6.0,0.189859,4024.926,409.0,301.0,3
2511.19058v1.pdf,6K,6.0,0.195955,4029.104,412.5,300.92,59
2511.19058v1.pdf,6K,6.0,0.206865,4020.753,418.5,301.08,49
2511.19058v1.pdf,6K,6.0,0.287623,3098.945,455.0,322.0,15
2511.19058v1.pdf,6K,6.0,0.299551,3102.162,459.5,321.92,71
2511.19058v1.pdf,6K,6.0,0.313385,3098.945,464.5,322.0,24
2511.19058v1.pdf,6K,6.0,0.378819,2400.895,485.5,342.5,6
2511.19058v1.pdf,6K,6.0,0.392751,2393.434,489.5,342.75,61
2511.19058v1.pdf,6K,6.0,0.414617,2390.952,495.5,342.83,46
2511.19058v1.pdf,6K,6.0,0.472618,1942.927,510.0,359.5,2
2511.19058v1.pdf,6K,6.0,0.485595,1952.627,513.0,359.1,44
2511.19058v1.pdf,6K,6.0,0.510321,1955.06,518.5,359.0,70
2511.19058v1.pdf,6K,6.0,0.52909,1955.06,522.5,359.0,8
2511.19058v1.pdf,6K,6.0,0.57648,1543.226,532.0,378.0,15
2511.19058v1.pdf,6K,6.0,0.600387,1543.226,536.5,378.0,72
2511.19058v1.pdf,6K,6.0,0.628115,1543.226,541.5,378.0,24
2511.19058v1.pdf,6K,6.0,0.675168,1203.074,549.5,398.0,24
2511.19058v1.pdf,6K,6.0,0.706349,1206.824,554.5,397.75,75
2511.19058v1.pdf,6K,6.0,0.743657,1173.488,560.2,400.0,23
2511.19058v1.pdf,6K,6.0,0.787188,1036.12,566.5,410.0,60
2511.19058v1.pdf,6K,6.0,0.831013,1030.759,572.5,410.42,48
2511.19058v1.pdf,6K,6.0,0.877278,892.335,578.5,422.0,48
2511.19058v1.pdf,6K,6.0,0.926119,884.172,584.5,422.74,62
2511.19058v1.pdf,6K,6.0,0.977679,749.381,590.5,436.02,58
2511.19058v1.pdf,6K,6.0,1.032109,740.329,596.5,437.0,60
2511.19058v1.pdf,6K,6.0,1.065249,740.329,600.0,437.0,3
2511.19058v1.pdf,6K,6.0,1.203351,538.952,613.5,462.5,42
2511.19058v1.pdf,6K,6.0,1.270345,538.952,619.5,462.5,74
2511.19058v1.pdf,6K,6.0,1.323027,538.952,624.0,462.5,12
2511.19058v1.pdf,6K,6.0,1.435036,385.092,633.0,489.5,12
2511.19058v1.pdf,6K,6.0,1.494548,386.293,637.5,489.25,71
2511.19058v1.pdf,6K,6.0,1.570646,388.947,643.0,488.7,32
2511.19058v1.pdf,6K,6.0,1.6807,290.107,650.5,512.25,22
2511.19058v1.pdf,6K,6.0,1.75832,291.616,655.5,511.83,74
2511.19058v1.pdf,6K,6.0,1.85119,265.73,661.2,519.3,22
2511.19058v1.pdf,6K,6.0,1.959552,181.134,667.5,550.08,59
2511.19058v1.pdf,6K,6.0,2.068646,181.322,673.5,550.0,48
2511.19058v1.pdf,6K,6.0,2.203623,109.174,680.5,590.75,14
2511.19058v1.pdf,6K,6.0,2.305394,109.742,685.5,590.33,26
2511.19058v1.pdf,7K,7.0,0.097327,2739.592,335.0,331.9,48
2511.19058v1.pdf,7K,7.0,0.101364,2748.988,339.5,331.62,47
2511.19058v1.pdf,7K,7.0,0.104618,2741.867,343.0,331.83,20
2511.19058v1.pdf,7K,7.0,0.192448,1699.546,410.5,370.25,30
2511.19058v1.pdf,7K,7.0,0.200429,1698.488,415.0,370.3,62
