paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,0.08215,1035.89,166.5,473.35,69
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,0.594298,839.77,240.6,534.98,71
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,0.714559,791.079,258.0,550.29,267
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,0.859702,630.743,279.0,600.68,233
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,1.008301,417.774,300.5,667.61,144
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,1.1569,319.318,322.0,698.55,234
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,1.302043,275.226,343.0,712.4,330
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,1.447186,249.119,364.0,720.61,392
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,1.592329,213.329,385.0,731.86,399
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,1.737472,188.783,406.0,739.57,401
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,1.882615,168.1,427.0,746.07,374
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,2.031214,152.418,448.5,751.0,374
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,2.179813,140.827,470.0,754.64,336
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,2.324956,133.023,491.0,757.1,333
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,2.470099,151.625,512.0,751.25,338
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,2.615242,120.977,533.0,760.88,324
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,2.760385,115.598,554.0,762.57,309
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,2.908984,110.98,575.5,764.02,327
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,3.057583,107.416,597.0,765.14,317
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,3.202726,103.401,618.0,766.4,320
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,3.347869,102.113,639.0,766.81,307
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,3.493012,100.446,660.0,767.33,325
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,3.638155,99.31,681.0,767.69,318
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,3.783299,96.128,702.0,768.69,304
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,3.931897,94.709,723.5,769.14,332
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,4.080496,94.537,745.0,769.19,309
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,4.225639,93.476,766.0,769.52,295
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,4.370783,91.961,787.0,770.0,315
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,4.515926,91.961,808.0,770.0,315
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,4.661069,100.92,829.0,767.18,317
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,4.806212,121.974,850.0,760.57,322
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,4.954811,117.764,871.5,761.89,314
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,5.10341,152.699,893.0,750.91,331
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,5.241641,128.463,913.0,758.53,292
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,5.462811,29.913,945.0,789.5,8
10.1016/j.ceramint.2024.10.058,LSCO-CS,5.0,5.884418,862.469,1006.0,527.85,55
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,0.641987,750.623,247.5,563.0,539
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,0.76294,643.092,265.0,596.79,868
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,0.880437,526.764,282.0,633.35,665
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,0.997934,447.309,299.0,658.32,536
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,1.11543,396.772,316.0,674.21,474
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,1.232927,355.407,333.0,687.21,404
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,1.350424,325.647,350.0,696.56,362
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,1.467921,290.926,367.0,707.47,455
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,1.585418,283.813,384.0,709.71,321
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,1.702914,271.647,401.0,713.53,303
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,1.820411,259.2,418.0,717.44,292
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,1.937908,249.467,435.0,720.5,288
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,2.055405,239.921,452.0,723.5,280
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,2.176357,232.585,469.5,725.81,289
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,2.29731,224.854,487.0,728.24,277
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,2.414807,219.987,504.0,729.76,269
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,2.532303,215.308,521.0,731.24,265
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,2.6498,211.565,538.0,732.41,269
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,2.767297,207.353,555.0,733.74,264
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,2.884794,211.003,572.0,732.59,343
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,3.002291,209.506,589.0,733.06,385
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,3.119787,197.807,606.0,736.74,264
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,3.237284,194.906,623.0,737.65,267
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,3.354781,193.034,640.0,738.24,263
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,3.472278,190.227,657.0,739.12,263
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,3.589774,187.513,674.0,739.97,256
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,3.710727,185.475,691.5,740.61,284
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,3.83168,184.05,709.0,741.06,257
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,3.949176,182.553,726.0,741.53,271
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,4.066673,181.243,743.0,741.94,257
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,4.18417,178.435,760.0,742.82,261
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,4.301667,177.78,777.0,743.03,254
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,4.419164,175.627,794.0,743.71,245
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,4.53666,174.598,811.0,744.03,256
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,4.654157,172.445,828.0,744.71,265
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,4.771654,171.51,845.0,745.0,255
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,4.889151,169.919,862.0,745.5,266
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,5.006647,168.328,879.0,746.0,255
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,5.124144,165.239,896.0,746.97,266
10.1016/j.ceramint.2024.10.058,Vac-1,5.0,5.245097,160.638,913.5,748.42,285
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,0.662722,1738.251,250.5,252.61,684
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,0.783675,1359.751,268.0,371.57,533
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,0.901172,1077.091,285.0,460.4,321
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,1.018668,896.431,302.0,517.18,159
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,1.136165,770.557,319.0,556.74,112
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,1.226016,712.145,332.0,575.09,26
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,1.630343,596.14,390.5,611.55,25
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,1.723649,565.415,404.0,621.21,56
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,1.823867,539.421,418.5,629.38,45
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,1.96901,504.25,439.5,640.43,63
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,2.076139,483.901,455.0,646.82,95
10.1016/j.ceramint.2024.10.058,Vac-2,5.0,2.193636,465.278,472.0,652.68,106
