paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
10.1016/j.jallcom.2013.04.183,N1,10.0,0.281458,93349.781,241.86,143.79,18
10.1016/j.jallcom.2013.04.183,N1,10.0,0.317824,91219.614,260.5,154.0,28
10.1016/j.jallcom.2013.04.183,N1,10.0,0.354887,87790.16,279.5,170.44,38
10.1016/j.jallcom.2013.04.183,N1,10.0,0.390974,83404.557,298.0,191.47,41
10.1016/j.jallcom.2013.04.183,N1,10.0,0.428037,78596.98,317.0,214.53,41
10.1016/j.jallcom.2013.04.183,N1,10.0,0.466706,74617.569,336.82,233.61,35
10.1016/j.jallcom.2013.04.183,N1,10.0,0.502621,71515.113,355.24,248.48,132
10.1016/j.jallcom.2013.04.183,N1,10.0,0.540998,69293.651,374.91,259.14,22
10.1016/j.jallcom.2013.04.183,N1,10.0,0.578238,67236.61,394.0,269.0,20
10.1016/j.jallcom.2013.04.183,N1,10.0,0.616861,65192.842,413.8,278.8,20
10.1016/j.jallcom.2013.04.183,N1,10.0,0.653989,63517.507,432.83,286.83,24
10.1016/j.jallcom.2013.04.183,N1,10.0,0.691377,61918.64,452.0,294.5,22
10.1016/j.jallcom.2013.04.183,N1,10.0,0.73039,60150.949,472.0,302.98,50
10.1016/j.jallcom.2013.04.183,N1,10.0,0.762051,59103.244,488.23,308.0,93
10.1016/j.jallcom.2013.04.183,N1,10.0,0.805491,57434.861,510.5,316.0,12
10.1016/j.jallcom.2013.04.183,N1,10.0,0.840711,56102.472,528.56,322.39,18
10.1016/j.jallcom.2013.04.183,N1,10.0,0.881567,54619.465,549.5,329.5,16
10.1016/j.jallcom.2013.04.183,N1,10.0,0.917097,53546.934,567.71,334.64,14
10.1016/j.jallcom.2013.04.183,N1,10.0,0.9545,52441.299,586.89,339.94,18
10.1016/j.jallcom.2013.04.183,N1,10.0,0.996377,51230.563,608.36,345.75,113
10.1016/j.jallcom.2013.04.183,N1,10.0,1.027758,50425.336,624.44,349.61,20
10.1016/j.jallcom.2013.04.183,N1,10.0,1.069806,49316.391,646.0,354.93,14
10.1016/j.jallcom.2013.04.183,N1,10.0,1.102967,48452.407,663.0,359.07,14
10.1016/j.jallcom.2013.04.183,N1,10.0,1.143095,47439.461,683.57,363.93,14
10.1016/j.jallcom.2013.04.183,N1,10.0,1.179879,46515.892,702.43,368.36,14
10.1016/j.jallcom.2013.04.183,N1,10.0,1.216106,45622.115,721.0,372.64,14
10.1016/j.jallcom.2013.04.183,N1,10.0,1.253169,44678.684,740.0,377.17,118
10.1016/j.jallcom.2013.04.183,N1,10.0,1.288002,43923.94,757.86,380.79,14
10.1016/j.jallcom.2013.04.183,N1,10.0,1.33087,42975.544,779.83,385.33,12
10.1016/j.jallcom.2013.04.183,N1,10.0,1.365471,42225.764,797.57,388.93,14
10.1016/j.jallcom.2013.04.183,N1,10.0,1.403045,41480.951,816.83,392.5,12
10.1016/j.jallcom.2013.04.183,N1,10.0,1.441826,40765.93,836.71,395.93,14
10.1016/j.jallcom.2013.04.183,N1,10.0,1.485883,39864.705,859.3,400.25,47
10.1016/j.jallcom.2013.04.183,N1,10.0,1.511632,39508.436,872.5,401.96,85
10.1016/j.jallcom.2013.04.183,N1,10.0,1.557751,38412.318,896.14,407.21,14
10.1016/j.jallcom.2013.04.183,N1,10.0,1.59356,37622.815,914.5,411.0,12
10.1016/j.jallcom.2013.04.183,N1,10.0,1.629369,36833.313,932.86,414.79,14
10.1016/j.jallcom.2013.04.183,N1,10.0,1.672237,35884.917,954.83,419.33,12
10.1016/j.jallcom.2013.04.183,N1,10.0,1.704163,35182.806,971.2,422.7,10
10.1016/j.jallcom.2013.04.183,N1,10.0,1.745468,34259.981,992.38,427.12,126
10.1016/j.jallcom.2013.04.183,N2,10.0,0.280318,44628.127,241.27,377.41,22
10.1016/j.jallcom.2013.04.183,N2,10.0,0.318669,43302.269,260.93,383.77,30
10.1016/j.jallcom.2013.04.183,N2,10.0,0.355082,41300.209,279.6,393.37,30
10.1016/j.jallcom.2013.04.183,N2,10.0,0.390974,38978.376,298.0,404.5,30
10.1016/j.jallcom.2013.04.183,N2,10.0,0.428281,36410.631,317.12,416.81,32
10.1016/j.jallcom.2013.04.183,N2,10.0,0.465657,33950.884,336.29,428.61,39
10.1016/j.jallcom.2013.04.183,N2,10.0,0.498121,32632.563,352.93,434.93,148
10.1016/j.jallcom.2013.04.183,N2,10.0,0.541175,30845.01,375.0,443.5,14
10.1016/j.jallcom.2013.04.183,N2,10.0,0.578238,29593.723,394.0,449.5,14
10.1016/j.jallcom.2013.04.183,N2,10.0,0.614911,28488.42,412.8,454.8,20
10.1016/j.jallcom.2013.04.183,N2,10.0,0.652718,27489.286,432.18,459.59,22
10.1016/j.jallcom.2013.04.183,N2,10.0,0.689426,26569.779,451.0,464.0,16
10.1016/j.jallcom.2013.04.183,N2,10.0,0.728139,25695.482,470.85,468.19,82
10.1016/j.jallcom.2013.04.183,N2,10.0,0.761183,25035.463,487.79,471.36,102
10.1016/j.jallcom.2013.04.183,N2,10.0,0.80276,23691.819,509.1,477.8,20
10.1016/j.jallcom.2013.04.183,N2,10.0,0.840603,22711.644,528.5,482.5,20
10.1016/j.jallcom.2013.04.183,N2,10.0,0.878641,21773.179,548.0,487.0,20
10.1016/j.jallcom.2013.04.183,N2,10.0,0.915508,21084.971,566.9,490.3,20
10.1016/j.jallcom.2013.04.183,N2,10.0,0.951791,20417.618,585.5,493.5,16
10.1016/j.jallcom.2013.04.183,N2,10.0,0.991091,20166.133,605.65,494.71,119
10.1016/j.jallcom.2013.04.183,N2,10.0,1.023965,19270.604,622.5,499.0,16
10.1016/j.jallcom.2013.04.183,N2,10.0,1.060486,18865.095,641.22,500.94,18
10.1016/j.jallcom.2013.04.183,N2,10.0,1.100583,18424.827,661.78,503.06,18
10.1016/j.jallcom.2013.04.183,N2,10.0,1.138079,18019.317,681.0,505.0,20
10.1016/j.jallcom.2013.04.183,N2,10.0,1.176117,17602.222,700.5,507.0,16
10.1016/j.jallcom.2013.04.183,N2,10.0,1.215131,17185.126,720.5,509.0,16
10.1016/j.jallcom.2013.04.183,N2,10.0,1.251218,17136.056,739.0,509.24,163
10.1016/j.jallcom.2013.04.183,N2,10.0,1.291207,16350.934,759.5,513.0,16
10.1016/j.jallcom.2013.04.183,N2,10.0,1.329245,15933.839,779.0,515.0,16
10.1016/j.jallcom.2013.04.183,N2,10.0,1.367283,15516.743,798.5,517.0,16
10.1016/j.jallcom.2013.04.183,N2,10.0,1.405321,15099.647,818.0,519.0,16
10.1016/j.jallcom.2013.04.183,N2,10.0,1.441547,14697.448,836.57,520.93,14
10.1016/j.jallcom.2013.04.183,N2,10.0,1.477495,14411.439,855.0,522.3,64
10.1016/j.jallcom.2013.04.183,N2,10.0,1.505855,14594.32,869.54,521.42,72
10.1016/j.jallcom.2013.04.183,N2,10.0,1.546419,13628.226,890.33,526.06,18
10.1016/j.jallcom.2013.04.183,N2,10.0,1.589659,13222.717,912.5,528.0,20
10.1016/j.jallcom.2013.04.183,N2,10.0,1.626721,12875.137,931.5,529.67,12
10.1016/j.jallcom.2013.04.183,N2,10.0,1.658691,12585.487,947.89,531.06,18
10.1016/j.jallcom.2013.04.183,N2,10.0,1.699676,12200.832,968.9,532.9,20
10.1016/j.jallcom.2013.04.183,N2,10.0,1.740975,12448.11,990.07,531.71,120
10.1016/j.jallcom.2013.04.183,N3,10.0,0.278486,42264.936,240.33,388.74,24
10.1016/j.jallcom.2013.04.183,N3,10.0,0.318583,41040.683,260.89,394.61,18
10.1016/j.jallcom.2013.04.183,N3,10.0,0.353911,39082.65,279.0,404.0,20
10.1016/j.jallcom.2013.04.183,N3,10.0,0.390835,36580.076,297.93,416.0,28
10.1016/j.jallcom.2013.04.183,N3,10.0,0.428187,33764.68,317.08,429.5,26
10.1016/j.jallcom.2013.04.183,N3,10.0,0.467917,31366.38,337.44,441.0,18
10.1016/j.jallcom.2013.04.183,N3,10.0,0.500471,29532.086,354.13,449.8,124
10.1016/j.jallcom.2013.04.183,N3,10.0,0.541175,28550.984,375.0,454.5,14
10.1016/j.jallcom.2013.04.183,N3,10.0,0.580676,27221.491,395.25,460.88,16
10.1016/j.jallcom.2013.04.183,N3,10.0,0.615858,26167.58,413.29,465.93,14
10.1016/j.jallcom.2013.04.183,N3,10.0,0.656265,25109.944,434.0,471.0,12
10.1016/j.jallcom.2013.04.183,N3,10.0,0.692157,24213.189,452.4,475.3,10
10.1016/j.jallcom.2013.04.183,N3,10.0,0.733121,22755.141,473.4,482.29,44
10.1016/j.jallcom.2013.04.183,N3,10.0,0.762351,22267.811,488.38,484.63,95
10.1016/j.jallcom.2013.04.183,N3,10.0,0.804515,21609.32,510.0,487.79,14
10.1016/j.jallcom.2013.04.183,N3,10.0,0.839627,21001.552,528.0,490.7,10
10.1016/j.jallcom.2013.04.183,N3,10.0,0.877665,20417.618,547.5,493.5,12
10.1016/j.jallcom.2013.04.183,N3,10.0,0.918142,19818.043,568.25,496.38,16
10.1016/j.jallcom.2013.04.183,N3,10.0,0.955692,19270.604,587.5,499.0,12
10.1016/j.jallcom.2013.04.183,N3,10.0,0.9949,18153.715,607.6,504.36,122
10.1016/j.jallcom.2013.04.183,N3,10.0,1.024383,18056.558,622.71,504.82,16
10.1016/j.jallcom.2013.04.183,N3,10.0,1.065347,17408.57,643.71,507.93,14
10.1016/j.jallcom.2013.04.183,N3,10.0,1.103357,16705.466,663.2,511.3,10
10.1016/j.jallcom.2013.04.183,N3,10.0,1.143931,16038.113,684.0,514.5,14
10.1016/j.jallcom.2013.04.183,N3,10.0,1.179043,15537.598,702.0,516.9,10
10.1016/j.jallcom.2013.04.183,N3,10.0,1.217081,14995.373,721.5,519.5,16
10.1016/j.jallcom.2013.04.183,N3,10.0,1.256095,14043.584,741.5,524.06,136
10.1016/j.jallcom.2013.04.183,N3,10.0,1.295693,14202.892,761.8,523.3,10
10.1016/j.jallcom.2013.04.183,N3,10.0,1.329245,13952.634,779.0,524.5,6
10.1016/j.jallcom.2013.04.183,N3,10.0,1.357529,13744.086,793.5,525.5,8
10.1016/j.jallcom.2013.04.183,N3,10.0,1.393617,13535.538,812.0,526.5,18
10.1016/j.jallcom.2013.04.183,N3,10.0,1.450186,13326.991,841.0,527.5,18
10.1016/j.jallcom.2013.04.183,N3,10.0,1.492125,12405.904,862.5,531.92,43
10.1016/j.jallcom.2013.04.183,N3,10.0,1.514233,12774.918,873.83,530.15,85
