paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
10.1016/j.jallcom.2023.170384,2K,2.0,0.014738,3885163.625,134.33,59.04,20
10.1016/j.jallcom.2023.170384,2K,2.0,0.545733,1140871.089,204.0,143.33,3
10.1016/j.jallcom.2023.170384,2K,2.0,0.980184,1444856.762,261.0,127.08,9
10.1016/j.jallcom.2023.170384,2K,2.0,1.498476,1050660.054,329.0,149.0,2
10.1016/j.jallcom.2023.170384,2K,2.0,2.047257,974168.294,401.0,154.2,5
10.1016/j.jallcom.2023.170384,2K,2.0,2.458842,804862.447,455.0,167.33,3
10.1016/j.jallcom.2023.170384,2K,2.0,3.457317,530573.46,586.0,196.0,3
10.1016/j.jallcom.2023.170384,2K,2.0,3.952743,374309.295,651.0,220.0,11
10.1016/j.jallcom.2023.170384,2K,2.0,4.547255,269889.124,729.0,242.5,12
10.1016/j.jallcom.2023.170384,2K,2.0,5.454267,136887.131,848.0,289.2,5
10.1016/j.jallcom.2023.170384,2K,2.0,6.12214,362045.407,935.62,222.29,32
10.1016/j.jallcom.2023.170384,5K,5.0,-0.010669,1532135.878,131.0,123.05,48
10.1016/j.jallcom.2023.170384,5K,5.0,0.046496,1522112.711,138.5,123.5,18
10.1016/j.jallcom.2023.170384,5K,5.0,0.469514,514517.235,194.0,198.11,25
10.1016/j.jallcom.2023.170384,5K,5.0,0.526678,509583.476,201.5,198.78,32
10.1016/j.jallcom.2023.170384,5K,5.0,0.953507,425079.757,257.5,211.25,11
10.1016/j.jallcom.2023.170384,5K,5.0,0.999239,423537.767,263.5,211.5,26
10.1016/j.jallcom.2023.170384,5K,5.0,1.048782,424565.137,270.0,211.33,11
10.1016/j.jallcom.2023.170384,5K,5.0,1.475611,253939.582,326.0,246.69,27
10.1016/j.jallcom.2023.170384,5K,5.0,1.528964,253719.951,333.0,246.75,28
10.1016/j.jallcom.2023.170384,5K,5.0,1.955793,132065.766,389.0,291.67,11
10.1016/j.jallcom.2023.170384,5K,5.0,2.006289,132205.824,395.62,291.59,20
10.1016/j.jallcom.2023.170384,5K,5.0,2.051068,131427.39,401.5,292.0,9
10.1016/j.jallcom.2023.170384,5K,5.0,2.477897,47236.515,457.5,362.39,33
10.1016/j.jallcom.2023.170384,5K,5.0,2.53125,46370.9,464.5,363.67,16
10.1016/j.jallcom.2023.170384,5K,5.0,2.958079,4985.486,520.5,517.08,5
10.1016/j.jallcom.2023.170384,5K,5.0,3.018293,4798.483,528.4,519.71,29
10.1016/j.jallcom.2023.170384,8K,8.0,-0.046238,783695.962,126.33,169.17,6
10.1016/j.jallcom.2023.170384,8K,8.0,0.008386,838196.407,133.5,164.54,9
10.1016/j.jallcom.2023.170384,8K,8.0,0.042685,794401.134,138.0,168.23,12
10.1016/j.jallcom.2023.170384,8K,8.0,0.461892,157615.853,193.0,279.5,2
10.1016/j.jallcom.2023.170384,8K,8.0,0.484758,167052.271,196.0,275.5,4
10.1016/j.jallcom.2023.170384,8K,8.0,0.538111,157615.853,203.0,279.5,2
10.1016/j.jallcom.2023.170384,8K,8.0,0.553355,146566.356,205.0,284.5,2
10.1016/j.jallcom.2023.170384,8K,8.0,0.945885,26209.306,256.5,402.92,5
10.1016/j.jallcom.2023.170384,8K,8.0,0.972562,27344.425,260.0,400.0,11
10.1016/j.jallcom.2023.170384,8K,8.0,1.006861,28511.431,264.5,397.12,9
10.1016/j.jallcom.2023.170384,8K,8.0,1.445123,2260.313,322.0,571.5,2
10.1016/j.jallcom.2023.170384,8K,8.0,1.498476,2466.307,329.0,565.5,2
10.1016/j.jallcom.2023.170384,8K,8.0,1.540397,2413.112,334.5,567.0,4
10.1016/j.jallcom.2023.170384,10K,10.0,-0.05259,506090.142,125.5,199.25,5
10.1016/j.jallcom.2023.170384,10K,10.0,-0.029724,488028.377,128.5,201.75,4
10.1016/j.jallcom.2023.170384,10K,10.0,-0.01448,475770.065,130.5,203.5,4
10.1016/j.jallcom.2023.170384,10K,10.0,0.000764,457680.198,132.5,206.17,8
10.1016/j.jallcom.2023.170384,10K,10.0,0.016008,475770.065,134.5,203.5,4
10.1016/j.jallcom.2023.170384,10K,10.0,0.031252,479240.678,136.5,203.0,6
10.1016/j.jallcom.2023.170384,10K,10.0,0.046496,499996.476,138.5,200.08,5
10.1016/j.jallcom.2023.170384,10K,10.0,0.057929,507932.683,140.0,199.0,3
10.1016/j.jallcom.2023.170384,10K,10.0,0.442837,2720.576,190.5,558.75,4
10.1016/j.jallcom.2023.170384,10K,10.0,0.45427,2671.587,192.0,560.0,2
10.1016/j.jallcom.2023.170384,10K,10.0,0.469514,2613.965,194.0,561.5,2
10.1016/j.jallcom.2023.170384,10K,10.0,0.500001,2502.421,198.0,564.5,2
10.1016/j.jallcom.2023.170384,10K,10.0,0.5343,2633.033,202.5,561.0,4
10.1016/j.jallcom.2023.170384,10K,10.0,0.549544,2700.873,204.5,559.25,5
