paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,0.080401,66633.505,136.1,144.1,22
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,0.197321,54449.247,164.17,151.83,12
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,0.240367,50127.947,174.5,155.0,4
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,0.359093,39115.064,203.0,164.5,2
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,0.521559,29349.266,242.0,175.5,2
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,0.623621,25093.055,266.5,181.5,4
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,0.742346,20629.985,295.0,189.0,4
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,1.017288,14501.087,361.0,202.5,6
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,1.225578,11071.696,411.0,212.83,6
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,1.425536,8601.777,459.0,222.5,2
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,1.429702,8601.777,460.0,222.5,2
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,1.645282,6329.012,511.75,234.25,18
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,1.726515,5590.723,531.25,239.0,8
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,1.82337,4954.703,554.5,243.62,9
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,1.937929,3828.503,582.0,253.5,2
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,2.023518,3273.296,602.55,259.5,22
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,2.099875,2882.039,620.88,264.38,16
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,2.223981,2275.945,650.67,273.42,13
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,2.312256,1749.083,671.86,283.5,14
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,2.397556,1366.799,692.33,292.94,20
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,2.479483,1083.675,712.0,301.83,12
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,2.580851,825.956,736.33,312.23,34
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,2.667985,581.27,757.25,325.69,16
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,2.76359,346.19,780.2,345.53,21
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,2.842205,253.046,799.07,357.54,31
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,2.931888,191.041,820.6,368.3,10
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,3.036033,138.319,845.6,380.67,31
elsevier_10.1016_j.matchemphys.2023.128348,X01,20.0,3.125181,104.237,867.0,391.5,8
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,0.079984,77125.878,136.0,138.5,64
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,0.173715,63232.841,158.5,146.11,70
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,0.272999,49801.769,182.33,155.25,30
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,0.365341,40354.297,204.5,163.31,53
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,0.44337,35023.901,223.23,168.73,26
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,0.554468,28705.011,249.9,176.35,23
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,0.637784,25456.042,269.9,180.95,39
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,0.717768,22457.216,289.1,185.75,27
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,0.80761,19815.975,310.67,190.54,39
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,0.900183,17561.641,332.89,195.17,22
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,1.002708,15303.494,357.5,200.44,17
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,1.096438,13610.029,380.0,204.93,14
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,1.178997,12280.979,399.82,208.86,22
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,1.279979,10731.24,424.06,214.03,36
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,1.365364,9632.319,444.56,218.17,18
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,1.476359,8380.069,471.2,223.5,10
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,1.555093,7519.414,490.1,227.65,21
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,1.661135,6510.609,515.56,233.17,18
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,1.752812,5687.354,537.56,238.34,35
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,1.836348,4990.912,557.62,243.35,26
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,1.943831,4069.026,583.42,251.17,24
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,2.022003,3540.032,602.18,256.5,22
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,2.119402,3009.419,625.56,262.72,35
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,2.19886,2631.095,644.64,267.86,24
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,2.305075,2020.98,670.13,277.97,30
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,2.399638,1577.895,692.83,287.44,50
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,2.48841,1264.337,714.14,295.93,14
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,2.587794,991.179,738.0,305.25,33
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,2.649144,803.204,752.73,313.3,26
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,2.763514,484.525,780.18,332.66,51
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,2.836492,377.18,797.7,342.25,25
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,2.95182,282.868,825.38,353.27,26
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,3.033854,231.392,845.08,360.96,26
elsevier_10.1016_j.matchemphys.2023.128348,X02,20.0,3.134901,181.162,869.33,370.33,12
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,0.06828,141889.269,133.19,115.15,60
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,0.162143,130935.572,155.72,118.23,58
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,0.260304,115366.483,179.29,123.08,67
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,0.352844,100975.191,201.5,128.18,83
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,0.445186,85383.613,223.67,134.6,70
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,0.536635,73459.669,245.62,140.37,79
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,0.631119,62773.934,268.3,146.38,63
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,0.711102,55546.839,287.5,151.07,43
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,0.814699,48412.677,312.37,156.33,51
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,0.915226,42629.613,336.5,161.2,61
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,1.001283,37871.935,357.16,165.74,43
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,1.09181,34079.31,378.89,169.78,19
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,1.188346,30671.467,402.06,173.81,32
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,1.289535,27158.698,426.35,178.47,37
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,1.370786,24906.538,445.86,181.79,30
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,1.472585,22106.408,470.29,186.35,37
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,1.566942,19794.427,492.94,190.58,41
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,1.644935,18124.596,511.67,193.96,25
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,1.748386,16052.695,536.5,198.61,29
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,1.844338,14139.627,559.53,203.47,31
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,1.944178,12375.046,583.5,208.57,32
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,2.029114,10943.945,603.89,213.28,42
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,2.117059,9692.393,625.0,217.93,30
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,2.180587,8887.18,640.25,221.25,8
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,2.415508,6206.267,696.64,235.0,30
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,2.486589,5380.103,713.71,240.47,37
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,2.595084,4319.957,739.75,248.88,34
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,2.677481,3749.931,759.53,254.29,35
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,2.777215,3159.673,783.47,260.85,38
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,2.86343,2378.334,804.17,271.73,39
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,2.956883,1550.101,826.6,288.12,43
elsevier_10.1016_j.matchemphys.2023.128348,X03,20.0,3.059223,973.367,851.17,305.94,40
