paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
10.1016/j.matpr.2019.05.078,multi-5K,5.0,0.141638,2050.597,251.0,129.0,3
10.1016/j.matpr.2019.05.078,multi-5K,5.0,0.30117,2386.972,271.5,117.21,109
10.1016/j.matpr.2019.05.078,multi-5K,5.0,0.398446,1796.433,284.0,139.27,103
10.1016/j.matpr.2019.05.078,multi-5K,5.0,0.499614,1467.848,297.0,154.95,108
10.1016/j.matpr.2019.05.078,multi-5K,5.0,0.600781,1243.704,310.0,167.82,99
10.1016/j.matpr.2019.05.078,multi-5K,5.0,0.714918,1015.128,324.67,183.58,108
10.1016/j.matpr.2019.05.078,multi-5K,5.0,0.815437,859.528,337.58,196.5,104
10.1016/j.matpr.2019.05.078,multi-5K,5.0,0.918549,825.517,350.83,199.63,103
10.1016/j.matpr.2019.05.078,multi-5K,5.0,1.013231,700.943,363.0,212.33,93
10.1016/j.matpr.2019.05.078,multi-5K,5.0,1.176655,608.337,384.0,223.33,23
10.1016/j.matpr.2019.05.078,multi-5K,5.0,1.215566,605.917,389.0,223.64,66
10.1016/j.matpr.2019.05.078,multi-5K,5.0,1.375098,502.799,409.5,238.12,29
10.1016/j.matpr.2019.05.078,multi-5K,5.0,1.421791,501.99,415.5,238.25,76
10.1016/j.matpr.2019.05.078,multi-5K,5.0,1.581324,417.807,436.0,252.5,40
10.1016/j.matpr.2019.05.078,multi-5K,5.0,1.628016,417.039,442.0,252.64,62
10.1016/j.matpr.2019.05.078,multi-5K,5.0,1.787549,380.146,462.5,259.83,52
10.1016/j.matpr.2019.05.078,multi-5K,5.0,1.830351,380.309,468.0,259.8,41
10.1016/j.matpr.2019.05.078,multi-5K,5.0,1.993774,324.105,489.0,272.21,78
10.1016/j.matpr.2019.05.078,multi-5K,5.0,2.036576,325.001,494.5,272.0,36
10.1016/j.matpr.2019.05.078,multi-5K,5.0,2.219455,260.524,518.0,289.17,14
10.1016/j.matpr.2019.05.078,multi-5K,5.0,2.270038,246.433,524.5,293.48,85
10.1016/j.matpr.2019.05.078,multi-5K,5.0,2.503501,188.107,554.5,314.45,89
10.1016/j.matpr.2019.05.078,multi-5K,5.0,2.546303,226.591,560.0,300.0,7
10.1016/j.matpr.2019.05.078,multi-5K,5.0,2.736964,186.779,584.5,315.0,36
10.1016/j.matpr.2019.05.078,multi-5K,5.0,2.779765,186.435,590.0,315.14,69
10.1016/j.matpr.2019.05.078,multi-5K,5.0,3.017119,153.714,620.5,330.12,99
10.1016/j.matpr.2019.05.078,multi-5K,5.0,3.250581,134.052,650.5,340.75,61
10.1016/j.matpr.2019.05.078,multi-5K,5.0,3.289492,133.836,655.5,340.88,39
10.1016/j.matpr.2019.05.078,multi-5K,5.0,3.472371,118.23,679.0,350.5,2
10.1016/j.matpr.2019.05.078,multi-5K,5.0,3.519063,119.273,685.0,349.82,93
10.1016/j.matpr.2019.05.078,multi-5K,5.0,3.760308,85.8,716.0,375.39,82
10.1016/j.matpr.2019.05.078,multi-5K,5.0,3.80311,86.231,721.5,375.0,14
10.1016/j.matpr.2019.05.078,multi-5K,5.0,3.947078,803.256,740.0,201.76,119
10.1016/j.matpr.2019.05.078,multi-5K,5.0,4.02879,75.322,750.5,385.5,74
10.1016/j.matpr.2019.05.078,multi-5K,5.0,4.270035,58.122,781.5,405.62,109
10.1016/j.matpr.2019.05.078,mono-5K,5.0,0.115897,391.357,247.69,257.58,125
10.1016/j.matpr.2019.05.078,mono-5K,5.0,0.240859,316.323,263.75,274.1,119
10.1016/j.matpr.2019.05.078,mono-5K,5.0,0.361332,205.029,279.23,307.76,128
10.1016/j.matpr.2019.05.078,mono-5K,5.0,0.480458,159.578,294.54,327.22,137
