paper_id,panel,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.008086,881567.304,105.0,25.0,1
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.018868,693810.512,106.0,44.0,17
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.02965,693810.512,107.0,44.0,17
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.040431,693810.512,108.0,44.0,17
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.051213,672287.048,109.0,46.5,16
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.061995,672287.048,110.0,46.5,16
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.072776,672287.048,111.0,46.5,16
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.083558,672287.048,112.0,46.5,16
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.09434,672287.048,113.0,46.5,16
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.105121,672287.048,114.0,46.5,16
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.115903,668063.152,115.0,47.0,17
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.126685,668063.152,116.0,47.0,17
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.137466,668063.152,117.0,47.0,17
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.148248,668063.152,118.0,47.0,17
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.15903,668063.152,119.0,47.0,17
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.169811,668063.152,120.0,47.0,17
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.180593,668063.152,121.0,47.0,17
10.1016/j.mtphys.2022.100783,Fig. 6(a),4.2K,4.2,0.191375,663865.794,122.0,47.5,18
