paper_id,panel,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.001799,98333.326,31.0,23.0,1
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.01259,98333.326,32.0,23.0,1
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.023381,84174.875,33.0,41.5,20
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.034173,83821.932,34.0,42.0,21
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.044964,83821.932,35.0,42.0,21
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.055755,83470.468,36.0,42.5,22
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.066547,98333.326,37.0,23.0,1
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.077338,98333.326,38.0,23.0,1
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.088129,98333.326,39.0,23.0,1
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.098921,98333.326,40.0,23.0,1
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.109712,98333.326,41.0,23.0,1
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.120504,98333.326,42.0,23.0,1
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.131295,80711.293,43.0,46.5,25
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.142086,80711.293,44.0,46.5,25
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.152878,80035.87,45.0,47.5,25
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.163669,79700.281,46.0,48.0,26
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.17446,78371.938,47.0,50.0,26
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.185252,78371.938,48.0,50.0,26
10.1016/j.mtphys.2022.100783,Fig. 6(b),4.2K,4.2,0.196043,77065.733,49.0,52.0,28
