paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
10.1016/j.phpro.2015.06.160,1.46K,1.46,0.325603,578066.196,144.67,129.94,42
10.1016/j.phpro.2015.06.160,1.46K,1.46,0.688287,495635.763,159.0,137.23,66
10.1016/j.phpro.2015.06.160,1.46K,1.46,0.953974,426399.33,169.5,144.35,59
10.1016/j.phpro.2015.06.160,1.46K,1.46,1.320876,392678.115,184.0,148.25,36
10.1016/j.phpro.2015.06.160,1.46K,1.46,1.616083,381100.708,195.67,149.67,26
10.1016/j.phpro.2015.06.160,1.46K,1.46,1.94503,366193.389,208.67,151.56,45
10.1016/j.phpro.2015.06.160,1.46K,1.46,2.300484,357338.613,222.71,152.71,31
10.1016/j.phpro.2015.06.160,1.46K,1.46,2.600512,351987.198,234.57,153.43,37
10.1016/j.phpro.2015.06.160,1.46K,1.46,2.92765,347763.825,247.5,154.0,40
10.1016/j.phpro.2015.06.160,1.46K,1.46,3.265031,347763.825,260.83,154.0,30
10.1016/j.phpro.2015.06.160,1.46K,1.46,3.557076,347763.825,272.38,154.0,40
10.1016/j.phpro.2015.06.160,1.46K,1.46,3.894607,347763.825,285.71,154.0,35
10.1016/j.phpro.2015.06.160,1.46K,1.46,4.194635,344629.584,297.57,154.43,29
10.1016/j.phpro.2015.06.160,1.46K,1.46,4.521773,344109.964,310.5,154.5,32
10.1016/j.phpro.2015.06.160,1.46K,1.46,4.868994,339297.797,324.22,155.17,40
10.1016/j.phpro.2015.06.160,1.46K,1.46,5.167014,336917.008,336.0,155.5,52
10.1016/j.phpro.2015.06.160,1.46K,1.46,5.49596,335006.265,349.0,155.77,59
10.1016/j.phpro.2015.06.160,1.46K,1.46,5.824906,331217.225,362.0,156.31,57
10.1016/j.phpro.2015.06.160,1.46K,1.46,6.1412,328136.881,374.5,156.75,54
10.1016/j.phpro.2015.06.160,1.46K,1.46,6.457494,323241.542,387.0,157.46,55
10.1016/j.phpro.2015.06.160,1.46K,1.46,6.78644,319585.566,400.0,158.0,65
10.1016/j.phpro.2015.06.160,1.46K,1.46,7.102734,319304.393,412.5,158.04,59
10.1016/j.phpro.2015.06.160,1.46K,1.46,7.419029,310373.235,425.0,159.38,65
10.1016/j.phpro.2015.06.160,1.46K,1.46,7.747975,303885.481,438.0,160.38,65
10.1016/j.phpro.2015.06.160,1.46K,1.46,8.076921,298017.217,451.0,161.31,65
10.1016/j.phpro.2015.06.160,1.46K,1.46,8.393215,293690.507,463.5,162.0,60
10.1016/j.phpro.2015.06.160,1.46K,1.46,8.709509,292024.912,476.0,162.27,72
10.1016/j.phpro.2015.06.160,1.46K,1.46,9.038455,287084.589,489.0,163.08,63
10.1016/j.phpro.2015.06.160,1.46K,1.46,9.367401,280855.356,502.0,164.12,62
10.1016/j.phpro.2015.06.160,1.46K,1.46,9.683696,272519.481,514.5,165.54,59
10.1016/j.phpro.2015.06.160,1.46K,1.46,9.99999,264681.791,527.0,166.92,65
