paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,2.88119,165188.722,363.0,243.22,75
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,3.076524,164875.624,371.0,243.36,58
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,4.846743,47907.841,443.5,331.25,65
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,5.017661,47781.696,450.5,331.44,115
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,5.139745,47739.721,455.5,331.5,12
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,5.872249,20069.858,485.5,393.12,94
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,6.067584,20087.504,493.5,393.06,97
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,6.800088,7513.237,523.5,463.0,14
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,6.934381,7519.108,529.0,462.94,128
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,7.105298,7523.809,536.0,462.9,52
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,7.825594,2758.754,565.5,534.25,36
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,7.984303,2757.676,572.0,534.28,132
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,8.130804,2761.988,578.0,534.17,22
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,8.863309,874.808,608.0,615.93,82
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,9.058643,875.296,616.0,615.89,111
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,1.989976,180927.834,326.5,236.75,63
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,2.88119,150172.156,363.0,250.0,15
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,3.125358,150383.471,373.0,249.9,14
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,3.870071,116591.218,403.5,268.0,6
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,4.071509,117207.638,411.75,267.62,9
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,4.94441,86984.02,447.5,288.83,16
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,5.139745,86475.871,455.5,289.25,7
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,5.884458,61403.45,486.0,313.6,31
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,6.055375,60631.26,493.0,314.5,72
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,7.959887,25895.913,571.0,375.0,15
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,8.045346,26032.825,574.5,374.62,17
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,8.997601,16404.999,613.5,407.46,111
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,9.937648,9284.731,652.0,447.94,80
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,10.108566,9461.929,659.0,446.6,31
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,10.853279,5249.307,689.5,488.5,8
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,11.024197,5073.921,696.5,490.92,106
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,11.964244,2780.883,735.0,533.68,92
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,12.135162,2867.522,742.0,531.5,12
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,12.867666,1468.318,772.0,579.1,26
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,13.050792,1428.603,779.5,581.05,91
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,14.003048,713.45,818.5,630.43,110
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,1.001095,188149.395,286.0,233.97,224
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,1.843475,152298.73,320.5,249.0,30
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,2.026601,152381.12,328.0,248.96,194
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,2.856773,115774.364,362.0,268.5,12
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,3.088733,115368.086,371.5,268.75,21
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,3.870071,88319.224,403.5,287.75,30
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,4.053197,86946.963,411.0,288.86,56
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,4.87116,64139.276,444.5,310.5,24
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,5.127536,64229.53,455.0,310.4,29
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,5.908874,33054.376,487.0,357.64,100
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,6.079792,33120.843,494.0,357.5,98
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,6.922172,14859.7,528.5,414.5,112
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,7.09309,14859.7,535.5,414.5,84
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,7.947678,6905.353,570.5,469.0,150
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,8.118596,6905.353,577.5,469.0,60
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,8.960976,3098.094,612.0,526.0,165
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,9.131894,3098.094,619.0,526.0,45
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,9.974274,1341.949,653.5,585.5,168
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,10.145191,1341.949,660.5,585.5,28
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,10.99978,581.27,695.5,645.0,210
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,2.930023,131109.656,365.0,259.65,154
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,3.149775,130473.034,374.0,260.0,35
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,3.906696,102142.336,405.0,277.41,126
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,4.126447,102731.599,414.0,277.0,63
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,4.883368,76047.507,445.0,298.39,88
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,5.10312,75632.784,454.0,298.78,95
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,5.847832,47739.721,484.5,331.5,42
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,6.067584,47488.648,493.5,331.88,147
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,6.848922,26355.109,525.5,373.75,5
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,7.019839,25820.162,532.5,375.21,65
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,7.788969,13850.827,564.0,419.5,2
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,7.959887,13850.827,571.0,419.5,158
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,8.16743,13850.827,579.5,419.5,20
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,8.924351,7052.55,610.5,467.5,138
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,9.144102,7052.55,619.5,467.5,42
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,9.888815,3119.952,650.0,525.5,90
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,10.108566,3119.952,659.0,525.5,90
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,10.865487,1460.082,690.0,579.5,56
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,11.085239,1460.082,699.0,579.5,124
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,11.84216,664.344,730.0,635.5,30
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,12.061911,664.344,739.0,635.5,150
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,3.430568,174800.86,385.5,239.2,86
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,3.613694,171876.035,393.0,240.4,31
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,3.918904,129672.836,405.5,260.44,65
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,4.10203,128393.041,413.0,261.14,47
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,4.87116,56415.56,444.5,319.62,23
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,5.029869,58445.474,451.0,317.11,97
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,5.164162,55335.262,456.5,321.0,6
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,5.9455,26336.586,488.5,373.8,94
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,6.128626,25606.236,496.0,375.8,27
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,6.897755,9953.238,527.5,443.0,42
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,7.068673,10085.317,534.5,442.06,71
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,7.850011,3907.13,566.5,509.5,8
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,7.996512,4075.477,572.5,506.5,100
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,8.143013,3907.13,578.5,509.5,8
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,8.912142,1571.335,610.0,574.28,76
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,9.107477,1555.457,618.0,575.0,49
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,9.876606,584.343,649.5,644.62,23
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,10.047524,598.69,656.5,642.9,92
