paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
10.1007/s10854-026-16566-9,5K,5.0,0.023556,83434.971,156.83,194.25,18
10.1007/s10854-026-16566-9,5K,5.0,0.454172,34711.655,201.67,220.39,8
10.1007/s10854-026-16566-9,5K,5.0,0.519805,31951.611,208.5,222.86,30
10.1007/s10854-026-16566-9,5K,5.0,0.976035,19010.99,256.0,238.33,7
10.1007/s10854-026-16566-9,5K,5.0,1.019256,19495.441,260.5,237.58,25
10.1007/s10854-026-16566-9,5K,5.0,1.302599,15985.294,290.0,243.5,2
10.1007/s10854-026-16566-9,5K,5.0,1.475485,13143.846,308.0,249.33,7
10.1007/s10854-026-16566-9,5K,5.0,1.518707,13403.625,312.5,248.75,27
10.1007/s10854-026-16566-9,5K,5.0,1.979739,9827.418,360.5,258.0,10
10.1007/s10854-026-16566-9,5K,5.0,2.018158,10262.672,364.5,256.71,23
10.1007/s10854-026-16566-9,5K,5.0,2.483992,8171.434,413.0,263.5,14
10.1007/s10854-026-16566-9,5K,5.0,2.527214,8557.237,417.5,262.12,19
10.1007/s10854-026-16566-9,5K,5.0,2.983443,6692.681,465.0,269.45,13
10.1007/s10854-026-16566-9,5K,5.0,3.026665,7055.855,469.5,267.88,21
10.1007/s10854-026-16566-9,5K,5.0,3.487696,6983.239,517.5,268.18,23
10.1007/s10854-026-16566-9,5K,5.0,3.526115,7145.191,521.5,267.5,10
10.1007/s10854-026-16566-9,5K,5.0,3.987147,6374.88,569.5,270.9,22
10.1007/s10854-026-16566-9,5K,5.0,4.047177,6488.165,575.75,270.38,15
10.1007/s10854-026-16566-9,5K,5.0,4.496203,4826.282,622.5,279.19,25
10.1007/s10854-026-16566-9,5K,5.0,4.52982,4940.052,626.0,278.5,4
10.1007/s10854-026-16566-9,5K,5.0,5.000456,4811.526,675.0,279.29,31
10.1007/s10854-026-16566-9,7K,7.0,0.005947,68248.779,155.0,200.24,41
10.1007/s10854-026-16566-9,7K,7.0,0.471781,24829.418,203.5,230.38,10
10.1007/s10854-026-16566-9,7K,7.0,0.510201,24111.088,207.5,231.25,35
10.1007/s10854-026-16566-9,7K,7.0,0.976035,14617.204,256.0,246.17,14
10.1007/s10854-026-16566-9,7K,7.0,1.014454,14600.866,260.0,246.2,31
10.1007/s10854-026-16566-9,7K,7.0,1.475485,9503.166,308.0,259.0,13
10.1007/s10854-026-16566-9,7K,7.0,1.513905,9471.335,312.0,259.1,30
10.1007/s10854-026-16566-9,7K,7.0,1.974936,6001.282,360.0,272.7,24
10.1007/s10854-026-16566-9,7K,7.0,2.02296,5861.979,365.0,273.4,25
10.1007/s10854-026-16566-9,7K,7.0,2.483992,4392.711,413.0,282.0,29
10.1007/s10854-026-16566-9,7K,7.0,2.527214,4411.172,417.5,281.88,17
10.1007/s10854-026-16566-9,7K,7.0,2.983443,3972.092,465.0,285.0,29
10.1007/s10854-026-16566-9,7K,7.0,3.026665,3955.468,469.5,285.12,21
10.1007/s10854-026-16566-9,7K,7.0,3.487696,3358.642,517.5,290.0,34
10.1007/s10854-026-16566-9,7K,7.0,3.526115,3358.642,521.5,290.0,10
10.1007/s10854-026-16566-9,7K,7.0,3.987147,3358.642,569.5,290.0,36
10.1007/s10854-026-16566-9,7K,7.0,4.025566,3302.769,573.5,290.5,10
10.1007/s10854-026-16566-9,7K,7.0,4.4914,2726.557,622.0,296.21,42
10.1007/s10854-026-16566-9,7K,7.0,4.52982,2792.689,626.0,295.5,4
10.1007/s10854-026-16566-9,7K,7.0,4.990851,2720.755,674.0,296.28,48
10.1007/s10854-026-16566-9,10K,10.0,0.005947,42579.174,155.0,214.3,20
10.1007/s10854-026-16566-9,10K,10.0,0.476584,16438.539,204.0,242.67,9
10.1007/s10854-026-16566-9,10K,10.0,0.510201,15785.432,207.5,243.88,15
10.1007/s10854-026-16566-9,10K,10.0,0.976035,7598.494,256.0,265.67,9
10.1007/s10854-026-16566-9,10K,10.0,1.004849,7185.258,259.0,267.33,11
10.1007/s10854-026-16566-9,10K,10.0,1.475485,4750.419,308.0,279.67,7
10.1007/s10854-026-16566-9,10K,10.0,1.5043,4723.929,311.0,279.83,12
10.1007/s10854-026-16566-9,10K,10.0,1.979739,2341.662,360.5,300.75,14
10.1007/s10854-026-16566-9,10K,10.0,2.008553,2226.73,363.5,302.25,9
10.1007/s10854-026-16566-9,10K,10.0,2.483992,1660.238,413.0,311.0,11
10.1007/s10854-026-16566-9,10K,10.0,2.508004,1646.37,415.5,311.25,7
10.1007/s10854-026-16566-9,10K,10.0,2.983443,959.788,465.0,327.33,11
10.1007/s10854-026-16566-9,10K,10.0,3.021862,944.877,469.0,327.8,15
10.1007/s10854-026-16566-9,10K,10.0,3.487696,737.448,517.5,335.19,15
10.1007/s10854-026-16566-9,10K,10.0,3.516511,742.102,520.5,335.0,6
10.1007/s10854-026-16566-9,10K,10.0,3.987147,732.823,569.5,335.38,15
10.1007/s10854-026-16566-9,10K,10.0,4.015961,723.661,572.5,335.75,7
10.1007/s10854-026-16566-9,10K,10.0,4.481795,565.506,621.0,343.1,20
10.1007/s10854-026-16566-9,10K,10.0,4.51061,557.968,624.0,343.5,4
10.1007/s10854-026-16566-9,10K,10.0,4.995654,315.428,674.5,360.5,16
