paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
10.1007/s10854-026-16566-9,5K,5.0,-0.002739,175343.712,150.0,172.11,27
10.1007/s10854-026-16566-9,5K,5.0,0.467575,66526.256,199.0,201.0,3
10.1007/s10854-026-16566-9,5K,5.0,0.505967,66845.884,203.0,200.86,31
10.1007/s10854-026-16566-9,5K,5.0,0.971482,44852.067,251.5,212.75,5
10.1007/s10854-026-16566-9,5K,5.0,1.009875,46068.563,255.5,211.95,28
10.1007/s10854-026-16566-9,5K,5.0,1.475389,34389.653,304.0,220.67,7
10.1007/s10854-026-16566-9,5K,5.0,1.513782,35073.264,308.0,220.08,25
10.1007/s10854-026-16566-9,5K,5.0,1.979296,30112.753,356.5,224.62,11
10.1007/s10854-026-16566-9,5K,5.0,2.022488,31355.133,361.0,223.42,24
10.1007/s10854-026-16566-9,5K,5.0,2.483203,27024.558,409.0,227.85,13
10.1007/s10854-026-16566-9,5K,5.0,2.521596,28435.321,413.0,226.33,17
10.1007/s10854-026-16566-9,5K,5.0,2.991909,22991.875,462.0,232.67,9
10.1007/s10854-026-16566-9,5K,5.0,3.020704,24314.178,465.0,231.0,19
10.1007/s10854-026-16566-9,5K,5.0,3.491017,20977.159,514.0,235.4,19
10.1007/s10854-026-16566-9,5K,5.0,3.52941,22357.94,518.0,233.5,12
10.1007/s10854-026-16566-9,5K,5.0,3.990125,20275.305,566.0,236.41,28
10.1007/s10854-026-16566-9,5K,5.0,4.033317,21082.997,570.5,235.25,7
10.1007/s10854-026-16566-9,5K,5.0,4.498832,18237.458,619.0,239.57,29
10.1007/s10854-026-16566-9,5K,5.0,5.002739,17166.599,671.5,241.38,33
10.1007/s10854-026-16566-9,7K,7.0,-0.002739,137846.097,150.0,179.29,41
10.1007/s10854-026-16566-9,7K,7.0,0.467575,48369.041,199.0,210.5,4
10.1007/s10854-026-16566-9,7K,7.0,0.501168,48640.272,202.5,210.33,38
10.1007/s10854-026-16566-9,7K,7.0,0.971482,32338.069,251.5,222.5,10
10.1007/s10854-026-16566-9,7K,7.0,1.009875,32338.069,255.5,222.5,34
10.1007/s10854-026-16566-9,7K,7.0,1.475389,22736.172,304.0,233.0,15
10.1007/s10854-026-16566-9,7K,7.0,1.513782,22736.172,308.0,233.0,31
10.1007/s10854-026-16566-9,7K,7.0,1.974497,18590.482,356.0,239.0,15
10.1007/s10854-026-16566-9,7K,7.0,2.01289,18652.96,360.0,238.9,28
10.1007/s10854-026-16566-9,7K,7.0,2.478404,14637.653,408.5,246.12,21
10.1007/s10854-026-16566-9,7K,7.0,2.516797,14760.947,412.5,245.88,21
10.1007/s10854-026-16566-9,7K,7.0,2.982311,13837.729,461.0,247.8,29
10.1007/s10854-026-16566-9,7K,7.0,3.020704,13668.539,465.0,248.17,18
10.1007/s10854-026-16566-9,7K,7.0,3.481419,13381.158,513.0,248.8,27
10.1007/s10854-026-16566-9,7K,7.0,3.519812,13366.202,517.0,248.83,18
10.1007/s10854-026-16566-9,7K,7.0,3.985326,12052.59,565.5,251.92,37
10.1007/s10854-026-16566-9,7K,7.0,4.023719,12018.939,569.5,252.0,12
10.1007/s10854-026-16566-9,7K,7.0,4.494033,10421.708,618.5,256.25,37
10.1007/s10854-026-16566-9,7K,7.0,4.527626,10334.658,622.0,256.5,4
10.1007/s10854-026-16566-9,7K,7.0,4.99794,9145.672,671.0,260.14,43
10.1007/s10854-026-16566-9,10K,10.0,0.00206,78019.99,150.5,196.25,16
10.1007/s10854-026-16566-9,10K,10.0,0.481972,26664.298,200.5,228.25,9
10.1007/s10854-026-16566-9,10K,10.0,0.505967,26441.579,203.0,228.5,12
10.1007/s10854-026-16566-9,10K,10.0,0.976281,14056.095,252.0,247.33,11
10.1007/s10854-026-16566-9,10K,10.0,1.005075,13745.185,255.0,248.0,11
10.1007/s10854-026-16566-9,10K,10.0,1.489786,9583.212,305.5,258.75,7
10.1007/s10854-026-16566-9,10K,10.0,1.513782,9556.455,308.0,258.83,10
10.1007/s10854-026-16566-9,10K,10.0,1.984095,6533.675,357.0,270.17,10
10.1007/s10854-026-16566-9,10K,10.0,2.01289,6533.675,360.0,270.17,12
10.1007/s10854-026-16566-9,10K,10.0,2.492801,4995.611,410.0,278.17,14
10.1007/s10854-026-16566-9,10K,10.0,2.516797,5023.624,412.5,278.0,6
10.1007/s10854-026-16566-9,10K,10.0,2.991909,4200.534,462.0,283.33,11
10.1007/s10854-026-16566-9,10K,10.0,3.011106,4107.621,464.0,284.0,3
10.1007/s10854-026-16566-9,10K,10.0,3.486218,4142.22,513.5,283.75,14
10.1007/s10854-026-16566-9,10K,10.0,3.515013,4142.22,516.5,283.75,5
10.1007/s10854-026-16566-9,10K,10.0,3.994925,3637.225,566.5,287.62,13
10.1007/s10854-026-16566-9,10K,10.0,4.01892,3652.511,569.0,287.5,2
10.1007/s10854-026-16566-9,10K,10.0,4.498832,3321.289,619.0,290.33,13
10.1007/s10854-026-16566-9,10K,10.0,5.002739,3344.586,671.5,290.12,15
