paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
10.1007/s10854-026-16566-9,5K,5.0,0.004806,640019.03,155.0,133.41,28
10.1007/s10854-026-16566-9,5K,5.0,0.475506,315695.958,204.0,154.5,2
10.1007/s10854-026-16566-9,5K,5.0,0.509128,326638.695,207.5,153.48,29
10.1007/s10854-026-16566-9,5K,5.0,0.979829,229607.953,256.5,164.0,4
10.1007/s10854-026-16566-9,5K,5.0,1.01345,239431.86,260.0,162.75,22
10.1007/s10854-026-16566-9,5K,5.0,1.479348,192560.797,308.5,169.25,5
10.1007/s10854-026-16566-9,5K,5.0,1.512969,196801.898,312.0,168.6,23
10.1007/s10854-026-16566-9,5K,5.0,1.98367,165140.209,361.0,173.83,8
10.1007/s10854-026-16566-9,5K,5.0,2.017292,175605.797,364.5,172.0,22
10.1007/s10854-026-16566-9,5K,5.0,2.483189,156168.275,413.0,175.5,14
10.1007/s10854-026-16566-9,5K,5.0,2.521614,165140.209,417.0,173.83,16
10.1007/s10854-026-16566-9,5K,5.0,2.987511,141229.292,465.5,178.5,12
10.1007/s10854-026-16566-9,5K,5.0,3.021133,148511.06,469.0,177.0,19
10.1007/s10854-026-16566-9,5K,5.0,3.491834,132871.808,518.0,180.32,19
10.1007/s10854-026-16566-9,5K,5.0,3.525455,138882.261,521.5,179.0,12
10.1007/s10854-026-16566-9,5K,5.0,3.991353,125260.537,570.0,182.08,21
10.1007/s10854-026-16566-9,5K,5.0,4.029777,132072.611,574.0,180.5,12
10.1007/s10854-026-16566-9,5K,5.0,4.495675,122205.666,622.5,182.82,27
10.1007/s10854-026-16566-9,5K,5.0,4.529297,127719.366,626.0,181.5,4
10.1007/s10854-026-16566-9,5K,5.0,4.999997,108531.582,675.0,186.36,26
10.1007/s10854-026-16566-9,7K,7.0,3e-06,477968.905,154.5,142.12,42
10.1007/s10854-026-16566-9,7K,7.0,0.4659,204193.02,203.0,167.5,2
10.1007/s10854-026-16566-9,7K,7.0,0.504325,200319.475,207.0,168.07,42
10.1007/s10854-026-16566-9,7K,7.0,0.970223,141229.292,255.5,178.5,8
10.1007/s10854-026-16566-9,7K,7.0,1.008647,141229.292,259.5,178.5,38
10.1007/s10854-026-16566-9,7K,7.0,1.474545,116148.8,308.0,184.33,13
10.1007/s10854-026-16566-9,7K,7.0,1.512969,114346.249,312.0,184.8,31
10.1007/s10854-026-16566-9,7K,7.0,1.974064,100447.396,360.0,188.67,13
10.1007/s10854-026-16566-9,7K,7.0,2.012489,100672.09,364.0,188.6,27
10.1007/s10854-026-16566-9,7K,7.0,2.478386,86505.384,412.5,193.12,21
10.1007/s10854-026-16566-9,7K,7.0,2.516811,87233.268,416.5,192.88,21
10.1007/s10854-026-16566-9,7K,7.0,2.982708,83164.853,465.0,194.3,30
10.1007/s10854-026-16566-9,7K,7.0,3.021133,83071.992,469.0,194.33,17
10.1007/s10854-026-16566-9,7K,7.0,3.482228,80423.657,517.0,195.3,26
10.1007/s10854-026-16566-9,7K,7.0,3.520652,79886.357,521.0,195.5,16
10.1007/s10854-026-16566-9,7K,7.0,3.98655,73260.451,569.5,198.08,35
10.1007/s10854-026-16566-9,7K,7.0,4.024974,72244.466,573.5,198.5,10
10.1007/s10854-026-16566-9,7K,7.0,4.490872,74350.033,622.0,197.64,42
10.1007/s10854-026-16566-9,7K,7.0,4.529297,74706.879,626.0,197.5,4
10.1007/s10854-026-16566-9,7K,7.0,4.999997,65647.166,675.0,201.36,42
10.1007/s10854-026-16566-9,10K,10.0,3e-06,237434.015,154.5,163.0,22
10.1007/s10854-026-16566-9,10K,10.0,0.504325,66884.543,207.0,200.8,21
10.1007/s10854-026-16566-9,10K,10.0,0.994238,46208.775,258.0,211.83,10
10.1007/s10854-026-16566-9,10K,10.0,1.508166,33985.555,311.5,221.0,16
10.1007/s10854-026-16566-9,10K,10.0,1.98367,27332.559,361.0,227.5,4
10.1007/s10854-026-16566-9,10K,10.0,2.012489,27794.464,364.0,227.0,17
10.1007/s10854-026-16566-9,10K,10.0,2.487992,24104.341,413.5,231.25,9
10.1007/s10854-026-16566-9,10K,10.0,2.512008,24037.11,416.0,231.33,11
10.1007/s10854-026-16566-9,10K,10.0,2.987511,22541.522,465.5,233.25,7
10.1007/s10854-026-16566-9,10K,10.0,3.011527,22228.914,468.0,233.67,11
10.1007/s10854-026-16566-9,10K,10.0,3.487031,18435.171,517.5,239.25,7
10.1007/s10854-026-16566-9,10K,10.0,3.506243,18746.715,519.5,238.75,9
10.1007/s10854-026-16566-9,10K,10.0,3.991353,17580.295,570.0,240.67,11
10.1007/s10854-026-16566-9,10K,10.0,4.010565,17384.979,572.0,241.0,3
10.1007/s10854-026-16566-9,10K,10.0,4.486069,18590.291,621.5,239.0,18
10.1007/s10854-026-16566-9,10K,10.0,4.51969,18383.753,625.0,239.33,11
10.1007/s10854-026-16566-9,10K,10.0,4.999997,17000.831,675.0,241.67,11
