paper_id,series,temperature_K,field_T,Jc_A_per_cm2,px,py,n_pixels
10.1007/s10854-026-16566-9,5K,5.0,-0.004108,1178912.484,154.0,115.29,33
10.1007/s10854-026-16566-9,5K,5.0,0.466463,836491.944,203.0,125.5,2
10.1007/s10854-026-16566-9,5K,5.0,0.504877,841861.574,207.0,125.31,30
10.1007/s10854-026-16566-9,5K,5.0,0.970645,618240.712,255.5,134.5,4
10.1007/s10854-026-16566-9,5K,5.0,1.004258,630404.673,259.0,133.92,23
10.1007/s10854-026-16566-9,5K,5.0,1.474828,525584.322,308.0,139.33,7
10.1007/s10854-026-16566-9,5K,5.0,1.513242,536525.709,312.0,138.72,25
10.1007/s10854-026-16566-9,5K,5.0,1.974209,475197.719,360.0,142.33,7
10.1007/s10854-026-16566-9,5K,5.0,2.017425,491432.301,364.5,141.33,26
10.1007/s10854-026-16566-9,5K,5.0,2.478392,441839.039,412.5,144.5,10
10.1007/s10854-026-16566-9,5K,5.0,2.516806,462726.577,416.5,143.12,19
10.1007/s10854-026-16566-9,5K,5.0,2.987377,427242.782,465.5,145.5,12
10.1007/s10854-026-16566-9,5K,5.0,3.020989,456933.961,469.0,143.5,18
10.1007/s10854-026-16566-9,5K,5.0,3.481956,407614.517,517.0,146.9,12
10.1007/s10854-026-16566-9,5K,5.0,3.525172,430846.007,521.5,145.25,22
10.1007/s10854-026-16566-9,5K,5.0,3.990941,399704.638,570.0,147.48,16
10.1007/s10854-026-16566-9,5K,5.0,4.024553,420126.483,573.5,146.0,12
10.1007/s10854-026-16566-9,5K,5.0,4.495123,371645.541,622.5,149.65,25
10.1007/s10854-026-16566-9,5K,5.0,4.528736,386283.965,626.0,148.5,4
10.1007/s10854-026-16566-9,5K,5.0,4.999306,321118.442,675.0,154.0,31
10.1007/s10854-026-16566-9,7K,7.0,0.000694,783781.295,154.5,127.44,41
10.1007/s10854-026-16566-9,7K,7.0,0.466463,464673.722,203.0,143.0,3
10.1007/s10854-026-16566-9,7K,7.0,0.504877,462449.08,207.0,143.14,39
10.1007/s10854-026-16566-9,7K,7.0,0.970645,337714.163,255.5,152.5,10
10.1007/s10854-026-16566-9,7K,7.0,1.009059,341517.051,259.5,152.17,34
10.1007/s10854-026-16566-9,7K,7.0,1.474828,293602.879,308.0,156.67,13
10.1007/s10854-026-16566-9,7K,7.0,1.513242,292290.745,312.0,156.8,31
10.1007/s10854-026-16566-9,7K,7.0,1.974209,266946.244,360.0,159.5,14
10.1007/s10854-026-16566-9,7K,7.0,2.012623,271467.905,364.0,159.0,29
10.1007/s10854-026-16566-9,7K,7.0,2.478392,266946.244,412.5,159.5,20
10.1007/s10854-026-16566-9,7K,7.0,2.521608,266946.244,417.0,159.5,24
10.1007/s10854-026-16566-9,7K,7.0,2.982575,262499.898,465.0,160.0,27
10.1007/s10854-026-16566-9,7K,7.0,3.020989,261034.302,469.0,160.17,16
10.1007/s10854-026-16566-9,7K,7.0,3.481956,266946.244,517.0,159.5,24
10.1007/s10854-026-16566-9,7K,7.0,3.52037,266946.244,521.0,159.5,16
10.1007/s10854-026-16566-9,7K,7.0,3.986139,256686.427,569.5,160.67,34
10.1007/s10854-026-16566-9,7K,7.0,4.024553,255968.855,573.5,160.75,11
10.1007/s10854-026-16566-9,7K,7.0,4.495123,242031.304,622.5,162.42,39
10.1007/s10854-026-16566-9,7K,7.0,4.533537,243390.206,626.5,162.25,7
10.1007/s10854-026-16566-9,7K,7.0,4.999306,221380.97,675.0,165.07,44
10.1007/s10854-026-16566-9,10K,10.0,0.000694,296493.747,154.5,156.38,13
10.1007/s10854-026-16566-9,10K,10.0,0.48567,115263.029,205.0,184.5,4
10.1007/s10854-026-16566-9,10K,10.0,0.509678,117215.408,207.5,184.0,16
10.1007/s10854-026-16566-9,10K,10.0,0.985051,85189.46,257.0,193.5,4
10.1007/s10854-026-16566-9,10K,10.0,1.009059,86632.439,259.5,193.0,14
10.1007/s10854-026-16566-9,10K,10.0,1.494035,69638.556,310.0,199.5,4
10.1007/s10854-026-16566-9,10K,10.0,1.50844,70225.865,311.5,199.25,9
10.1007/s10854-026-16566-9,10K,10.0,1.988615,62435.899,361.5,202.75,7
10.1007/s10854-026-16566-9,10K,10.0,2.007822,62962.462,363.5,202.5,8
10.1007/s10854-026-16566-9,10K,10.0,2.492797,65113.502,414.0,201.5,12
10.1007/s10854-026-16566-9,10K,10.0,2.512004,64028.95,416.0,202.0,3
10.1007/s10854-026-16566-9,10K,10.0,2.992178,66340.12,466.0,200.94,14
10.1007/s10854-026-16566-9,10K,10.0,3.016187,66774.873,468.5,200.75,7
10.1007/s10854-026-16566-9,10K,10.0,3.49156,62962.462,518.0,202.5,12
10.1007/s10854-026-16566-9,10K,10.0,3.510767,62962.462,520.0,202.5,4
10.1007/s10854-026-16566-9,10K,10.0,3.995742,62698.628,570.5,202.62,13
10.1007/s10854-026-16566-9,10K,10.0,4.024553,62435.899,573.5,202.75,5
10.1007/s10854-026-16566-9,10K,10.0,4.490322,60069.859,622.0,203.9,18
10.1007/s10854-026-16566-9,10K,10.0,4.523934,60882.483,625.5,203.5,4
10.1007/s10854-026-16566-9,10K,10.0,4.999306,56545.205,675.0,205.7,16
