arxiv_id,compound_formula,sample_form,synthesis_method,doping_or_composition,tc_K,hc2_T,temperature_K,field_T,Jc_A_per_cm2,figure_id,notes,primary_scan_direction,fixed_axis_value,extraction_method,confidence,repair,printed_axis
springer_10.1038_s41598-025-24806-x,Fe0.975Cu0.025Te0.66Se0.34,single_crystal,unknown,Fe0.975Cu0.025Te0.66Se0.34,13.0,47.0,5.07,0.0,120000.0,vision_pass_curve_1,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=Fe0.975Cu0.025Te0.66Se0.34; orient=H//c; method=magnetization; pressure_state=10 kbar (Cu-doped); B12 correction: T_fixed=5.07K (= 0.39×Tc per source caption); Tc=13.0K (Cu-doped at 10 kbar); pressure-induced Tc shift,H,5.07,vision_pass,High,"H x 0.1, Jc x 1","H_int (kOe), 0 to 46"
springer_10.1038_s41598-025-24806-x,Fe0.975Cu0.025Te0.66Se0.34,single_crystal,unknown,Fe0.975Cu0.025Te0.66Se0.34,13.0,47.0,5.07,1.0,100000.0,vision_pass_curve_1,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=Fe0.975Cu0.025Te0.66Se0.34; orient=H//c; method=magnetization; pressure_state=10 kbar (Cu-doped); B12 correction: T_fixed=5.07K (= 0.39×Tc per source caption); Tc=13.0K (Cu-doped at 10 kbar); pressure-induced Tc shift,H,5.07,vision_pass,High,"H x 0.1, Jc x 1","H_int (kOe), 0 to 46"
springer_10.1038_s41598-025-24806-x,Fe0.975Cu0.025Te0.66Se0.34,single_crystal,unknown,Fe0.975Cu0.025Te0.66Se0.34,13.0,47.0,5.07,2.0,80000.0,vision_pass_curve_1,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=Fe0.975Cu0.025Te0.66Se0.34; orient=H//c; method=magnetization; pressure_state=10 kbar (Cu-doped); B12 correction: T_fixed=5.07K (= 0.39×Tc per source caption); Tc=13.0K (Cu-doped at 10 kbar); pressure-induced Tc shift,H,5.07,vision_pass,High,"H x 0.1, Jc x 1","H_int (kOe), 0 to 46"
springer_10.1038_s41598-025-24806-x,Fe0.975Cu0.025Te0.66Se0.34,single_crystal,unknown,Fe0.975Cu0.025Te0.66Se0.34,13.0,47.0,5.07,3.0,60000.0,vision_pass_curve_1,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=Fe0.975Cu0.025Te0.66Se0.34; orient=H//c; method=magnetization; pressure_state=10 kbar (Cu-doped); B12 correction: T_fixed=5.07K (= 0.39×Tc per source caption); Tc=13.0K (Cu-doped at 10 kbar); pressure-induced Tc shift,H,5.07,vision_pass,High,"H x 0.1, Jc x 1","H_int (kOe), 0 to 46"
springer_10.1038_s41598-025-24806-x,Fe0.975Cu0.025Te0.66Se0.34,single_crystal,unknown,Fe0.975Cu0.025Te0.66Se0.34,13.0,47.0,5.07,4.0,40000.0,vision_pass_curve_1,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=Fe0.975Cu0.025Te0.66Se0.34; orient=H//c; method=magnetization; pressure_state=10 kbar (Cu-doped); B12 correction: T_fixed=5.07K (= 0.39×Tc per source caption); Tc=13.0K (Cu-doped at 10 kbar); pressure-induced Tc shift,H,5.07,vision_pass,High,"H x 0.1, Jc x 1","H_int (kOe), 0 to 46"
springer_10.1038_s41598-025-24806-x,Fe0.975Cu0.025Te0.66Se0.34,single_crystal,unknown,Fe0.99Te0.66Se0.34,17.6,47.0,6.86,0.0,100000.0,vision_pass_curve_2,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=Fe0.975Cu0.025Te0.66Se0.34; orient=H//c; method=magnetization; pressure_state=9.8 kbar (undoped); B12 correction: T_fixed=6.86K (= 0.39×Tc per source caption); Tc=17.6K (undoped at 9.8 kbar); pressure-induced Tc shift; doping label swapped from Cu-doped (vision-pass mis-extraction) to undoped per source,H,6.86,vision_pass,High,"H x 0.1, Jc x 1","H_int (kOe), 0 to 46"
springer_10.1038_s41598-025-24806-x,Fe0.975Cu0.025Te0.66Se0.34,single_crystal,unknown,Fe0.99Te0.66Se0.34,17.6,47.0,6.86,1.0,80000.0,vision_pass_curve_2,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=Fe0.975Cu0.025Te0.66Se0.34; orient=H//c; method=magnetization; pressure_state=9.8 kbar (undoped); B12 correction: T_fixed=6.86K (= 0.39×Tc per source caption); Tc=17.6K (undoped at 9.8 kbar); pressure-induced Tc shift; doping label swapped from Cu-doped (vision-pass mis-extraction) to undoped per source,H,6.86,vision_pass,High,"H x 0.1, Jc x 1","H_int (kOe), 0 to 46"
springer_10.1038_s41598-025-24806-x,Fe0.975Cu0.025Te0.66Se0.34,single_crystal,unknown,Fe0.99Te0.66Se0.34,17.6,47.0,6.86,2.0,60000.0,vision_pass_curve_2,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=Fe0.975Cu0.025Te0.66Se0.34; orient=H//c; method=magnetization; pressure_state=9.8 kbar (undoped); B12 correction: T_fixed=6.86K (= 0.39×Tc per source caption); Tc=17.6K (undoped at 9.8 kbar); pressure-induced Tc shift; doping label swapped from Cu-doped (vision-pass mis-extraction) to undoped per source,H,6.86,vision_pass,High,"H x 0.1, Jc x 1","H_int (kOe), 0 to 46"
springer_10.1038_s41598-025-24806-x,Fe0.975Cu0.025Te0.66Se0.34,single_crystal,unknown,Fe0.99Te0.66Se0.34,17.6,47.0,6.86,3.0,40000.0,vision_pass_curve_2,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=Fe0.975Cu0.025Te0.66Se0.34; orient=H//c; method=magnetization; pressure_state=9.8 kbar (undoped); B12 correction: T_fixed=6.86K (= 0.39×Tc per source caption); Tc=17.6K (undoped at 9.8 kbar); pressure-induced Tc shift; doping label swapped from Cu-doped (vision-pass mis-extraction) to undoped per source,H,6.86,vision_pass,High,"H x 0.1, Jc x 1","H_int (kOe), 0 to 46"
springer_10.1038_s41598-025-24806-x,Fe0.975Cu0.025Te0.66Se0.34,single_crystal,unknown,Fe0.99Te0.66Se0.34,17.6,47.0,6.86,4.0,20000.0,vision_pass_curve_2,Vision-pass first-pass extraction (sub-task 6.3-fu addendum); sample=Fe0.975Cu0.025Te0.66Se0.34; orient=H//c; method=magnetization; pressure_state=9.8 kbar (undoped); B12 correction: T_fixed=6.86K (= 0.39×Tc per source caption); Tc=17.6K (undoped at 9.8 kbar); pressure-induced Tc shift; doping label swapped from Cu-doped (vision-pass mis-extraction) to undoped per source,H,6.86,vision_pass,High,"H x 0.1, Jc x 1","H_int (kOe), 0 to 46"
